MGP_CAROLIEiJ_P0078261	MGP_CAROLIEiJ_G0029416	Mus_caroli_strain_CAROLI_EIJ
ENSFCAP00000000958	ENSFCAG00000001029	Felis_catus
ENSPMJP00000003496	ENSPMJG00000003053	Parus_major
ENSCPGP00000016355	ENSCPGG00000011504	Calidris_pygmaea
ENSCCEP00000016893	ENSCCEG00000015687	Cyanistes_caeruleus
ENSCHAP00000007309	ENSCHAG00000004537	Clupea_harengus
ENSCMIP00000002055	ENSCMIG00000001250	Callorhinchus_milii
ENSNPEP00000007037	ENSNPEG00000005282	Nothoprocta_perdicaria
ENSCAFP00020019485	ENSCAFG00020015497	Canis_lupus_dingo
ENSSDAP00000001114	ENSSDAG00000001124	Spermophilus_dauricus
ENSODEP00000001756	ENSODEG00000001382	Octodon_degus
ENSVVUP00000007747	ENSVVUG00000005865	Vulpes_vulpes
ENSAPLP00000032322	ENSAPLG00000017887	Anas_platyrhynchos_platyrhynchos
ENSMOCP00000004476	ENSMOCG00000003724	Microtus_ochrogaster
ENSMMUP00000007977	ENSMMUG00000006072	Macaca_mulatta
ENSGGOP00000010744	ENSGGOG00000011025	Gorilla_gorilla
ENSCANP00000015170	ENSCANG00000031034	Colobus_angolensis_palliatus
ENSAOWP00000028443	ENSAOWG00000019150	Apteryx_owenii
ENSMMMP00000023320	ENSMMMG00000020428	Marmota_marmota_marmota
ENSMICP00000018900	ENSMICG00000033409	Microcebus_murinus
ENSTBEP00000012955	ENSTBEG00000014929	Tupaia_belangeri
ENSDNVP00000020977	ENSDNVG00000014700	Dromaius_novaehollandiae
ENSMLEP00000003728	ENSMLEG00000016332	Mandrillus_leucophaeus
ENSOPRP00000013207	ENSOPRG00000014470	Ochotona_princeps
ENSPANP00000005393	ENSPANG00000023225	Papio_anubis
ENSSCAP00000022704	ENSSCAG00000016289	Serinus_canaria
ENSJJAP00000012786	ENSJJAG00000015728	Jaculus_jaculus
ENSSARP00000000712	ENSSARG00000000781	Sorex_araneus
ENSVURP00010026335	ENSVURG00010020155	Vombatus_ursinus
ENSMUGP00000016589	ENSMUGG00000014209	Meriones_unguiculatus
ENSJHYP00000020899	ENSJHYG00000015797	Junco_hyemalis
ENSSMRP00000003186	ENSSMRG00000002682	Salvator_merianae	ENSSMRT00000003797
ENSNLEP00000017115	ENSNLEG00000014093	Nomascus_leucogenys
