ENSMVIP00005016961	ENSMVIG00005012136	Manacus_vitellinus
ENSCGOP00000033085	ENSCGOG00000015367	Cottoperca_gobio
ENSCABP00000028158	ENSCABG00000020694	Chelonoidis_abingdonii
ENSPTIP00000014831	ENSPTIG00000014119	Panthera_tigris_altaica
ENSSTOP00000032296	ENSSTOG00000033123	Ictidomys_tridecemlineatus
ENSAHAP00000010832	ENSAHAG00000007822	Apteryx_haastii
ENSPCAP00000007049	ENSPCAG00000007562	Procavia_capensis
ENSPRNP00000001017	ENSPRNG00000000727	Parambassis_ranga
ENSDNOP00000026566	ENSDNOG00000047305	Dasypus_novemcinctus
ENSLCRP00005058646	ENSLCRG00005021768	Larimichthys_crocea
ENSCATP00000023919	ENSCATG00000035492	Cercocebus_atys
ENSORLP00000007284	ENSORLG00000005796	Oryzias_latipes_ASM223467v1
ENSPLAP00000009559	ENSPLAG00000012362	Poecilia_latipinna
ENSATEP00000036443	ENSATEG00000025041	Anabas_testudineus
ENSMAUP00000000907	ENSMAUG00000000698	Mesocricetus_auratus
ENSPANP00000000868	ENSPANG00000021348	Papio_anubis
ENSELUP00000041402	ENSELUG00000001072	Esox_lucius
ENSMFAP00000009346	ENSMFAG00000000862	Macaca_fascicularis
ENSOPRP00000015129	ENSOPRG00000016570	Ochotona_princeps
ENSLCAP00010028860	ENSLCAG00010013523	Lates_calcarifer
ENSPCIP00000034325	ENSPCIG00000025390	Phascolarctos_cinereus
ENSNLEP00000009642	ENSNLEG00000007902	Nomascus_leucogenys
ENSCGRP00001007905	ENSCGRG00001010270	Cricetulus_griseus_CHOK1GS_HDv1
ENSCCNP00000033326	ENSCCNG00000031550	Castor_canadensis
ENSEEEP00000019559	ENSEEEG00000009589	Electrophorus_electricus
ENSMAUP00000018004	ENSMAUG00000016716	Mesocricetus_auratus
ENSONIP00000014475	ENSONIG00000011500	Oreochromis_niloticus
ENSPLAP00000031210	ENSPLAG00000023052	Poecilia_latipinna
ENSOANP00000009233	ENSOANG00000005796	Ornithorhynchus_anatinus
ENSSARP00000010575	ENSSARG00000011709	Sorex_araneus
ENSAPLP00000026120	ENSAPLG00000024315	Anas_platyrhynchos_platyrhynchos
ENSBIXP00000015452	ENSBIXG00000003602	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMICP00000032439	ENSMICG00000036935	Microcebus_murinus
ENSABRP00000012335	ENSABRG00000011050	Anser_brachyrhynchus
ENSCGRP00001013091	ENSCGRG00001014322	Cricetulus_griseus_CHOK1GS_HDv1
ENSTSYP00000010645	ENSTSYG00000011606	Carlito_syrichta
ENSOGAP00000008589	ENSOGAG00000009604	Otolemur_garnettii
ENSCSAP00000009335	ENSCSAG00000013171	Chlorocebus_sabaeus
ENSLOCP00000018191	ENSLOCG00000014774	Lepisosteus_oculatus
ENSMFAP00000044973	ENSMFAG00000000231	Macaca_fascicularis
ENSMLEP00000020985	ENSMLEG00000034702	Mandrillus_leucophaeus
ENSLBEP00000015976	ENSLBEG00000012379	Labrus_bergylta
ENSCCAP00000024960	ENSCCAG00000030275	Cebus_capucinus_imitator
ENSP00000356256	ENSG00000134375	Homo_sapiens
ENSCANP00000001900	ENSCANG00000007097	Colobus_angolensis_palliatus
ENSPVIP00000009340	ENSPVIG00000007448	Pogona_vitticeps
ENSETEP00000005139	ENSETEG00000006334	Echinops_telfairi
ENSELUP00000023233	ENSELUG00000022125	Esox_lucius
ENSAMXP00005049654	ENSAMXG00005022596	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSNMEP00000009288	ENSNMEG00000009017	Numida_meleagris
ENSGAFP00000020934	ENSGAFG00000014110	Gambusia_affinis
ENSPPAP00000026935	ENSPPAG00000036547	Pan_paniscus
ENSLSDP00000015095	ENSLSDG00000010880	Lonchura_striata_domestica
ENSACLP00000029374	ENSACLG00000019907	Astatotilapia_calliptera
ENSBSLP00000055231	ENSBSLG00000025853	Betta_splendens
ENSLAFP00000006330	ENSLAFG00000007531	Loxodonta_africana
ENSCANP00000022329	ENSCANG00000034603	Colobus_angolensis_palliatus
ENSMLUP00000008333	ENSMLUG00000009148	Myotis_lucifugus
ENSSDUP00000027292	ENSSDUG00000019755	Seriola_dumerili
ENSSHAP00000001743	ENSSHAG00000001555	Sarcophilus_harrisii
ENSGMOP00000021145	ENSGMOG00000019658	Gadus_morhua
ENSBIXP00000000446	ENSBIXG00000029820	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSFHEP00000020488	ENSFHEG00000022408	Fundulus_heteroclitus
ENSTGEP00000025022	ENSTGEG00000020191	Theropithecus_gelada
ENSEBUP00000020891	ENSEBUG00000012905	Eptatretus_burgeri	ENSEBUT00000021467
ENSDCDP00000021412	ENSDCDG00000016774	Denticeps_clupeoides
ENSNVIP00000018521	ENSNVIG00000014506	Neovison_vison
ENSLACP00000012783	ENSLACG00000011261	Latimeria_chalumnae
ENSSFOP00015028810	ENSSFOG00015018495	Scleropages_formosus
ENSPMJP00000005278	ENSPMJG00000004588	Parus_major
ENSLCOP00000021050	ENSLCOG00000014901	Lepidothrix_coronata
ENSFALP00000002500	ENSFALG00000002401	Ficedula_albicollis
ENSSDAP00000005242	ENSSDAG00000004891	Spermophilus_dauricus
ENSCJAP00000061431	ENSCJAG00000002426	Callithrix_jacchus
ENSCANP00000026614	ENSCANG00000036724	Colobus_angolensis_palliatus
ENSIPUP00000021899	ENSIPUG00000014845	Ictalurus_punctatus
ENSDARP00000078852	ENSDARG00000060124	Danio_rerio
ENSAMEP00000012668	ENSAMEG00000012030	Ailuropoda_melanoleuca
ENSBTAP00000024618	ENSBTAG00000018496	Bos_taurus
ENSHHUP00000055526	ENSHHUG00000033189	Hucho_hucho
ENSXETP00000004674	ENSXETG00000003683	Xenopus_tropicalis	ENSXETT00000014801
ENSVPAP00000008913	ENSVPAG00000009578	Vicugna_pacos
ENSTBEP00000009457	ENSTBEG00000010939	Tupaia_belangeri
ENSNGAP00000021637	ENSNGAG00000020765	Nannospalax_galili
ENSCGRP00000007359	ENSCGRG00000005352	Cricetulus_griseus_CriGri_1.0
ENSBMUP00000006525	ENSBMUG00000005154	Bos_mutus
ENSCGOP00000025296	ENSCGOG00000011911	Cottoperca_gobio
ENSCCAP00000030324	ENSCCAG00000033195	Cebus_capucinus_imitator
ENSBIXP00000030695	ENSBIXG00000012749	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSSTOP00000012698	ENSSTOG00000014173	Ictidomys_tridecemlineatus
ENSPMEP00000022068	ENSPMEG00000002729	Poecilia_mexicana
ENSCHIP00000012022	ENSCHIG00000013967	Capra_hircus
ENSBIXP00005003594	ENSBIXG00005009725	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSEEEP00000004521	ENSEEEG00000002355	Electrophorus_electricus
ENSCPGP00000010200	ENSCPGG00000007265	Calidris_pygmaea
ENSDNVP00000000413	ENSDNVG00000000320	Dromaius_novaehollandiae
ENSCGRP00000011028	ENSCGRG00000008038	Cricetulus_griseus_CriGri_1.0
ENSPSIP00000017078	ENSPSIG00000015213	Pelodiscus_sinensis
ENSECRP00000014234	ENSECRG00000009503	Erpetoichthys_calabaricus
ENSMZEP00005007256	ENSMZEG00005005591	Maylandia_zebra
ENSMUSP00000079883	ENSMUSG00000062580	Mus_musculus_strain_reference_(CL57BL6)
ENSCAFP00000015634	ENSCAFG00000010612	Canis_lupus_familiaris
MGP_PahariEiJ_P0075321	MGP_PahariEiJ_G0027872	Mus_pahari_strain_PAHARI_EIJ
ENSCPRP00005009214	ENSCPRG00005006541	Crocodylus_porosus
ENSHGLP00000010183	ENSHGLG00000007307	Heterocephalus_glaber_HetGla_female_1.0
ENSSARP00000007965	ENSSARG00000008807	Sorex_araneus
ENSCPUP00000021552	ENSCPUG00000014694	Calidris_pugnax
ENSACIP00000013951	ENSACIG00000010854	Amphilophus_citrinellus
ENSCCAP00000022934	ENSCCAG00000029261	Cebus_capucinus_imitator
ENSORLP00020015398	ENSORLG00020016404	Oryzias_latipes_ASM223471v1
ENSSTOP00000026578	ENSSTOG00000031975	Ictidomys_tridecemlineatus
ENSVVUP00000034592	ENSVVUG00000024955	Vulpes_vulpes
ENSSTOP00000022753	ENSSTOG00000020213	Ictidomys_tridecemlineatus
ENSNBRP00000007352	ENSNBRG00000005748	Neolamprologus_brichardi
ENSANAP00000025144	ENSANAG00000030275	Aotus_nancymaae
ENSCATP00000017762	ENSCATG00000032755	Cercocebus_atys
ENSPNAP00000001807	ENSPNAG00000008377	Pygocentrus_nattereri
ENSSPAP00000020513	ENSSPAG00000015467	Stegastes_partitus
ENSCJAP00000058107	ENSCJAG00000041477	Callithrix_jacchus
ENSTNIP00000009841	ENSTNIG00000007041	Tetraodon_nigroviridis
ENSMNEP00000030124	ENSMNEG00000038509	Macaca_nemestrina
ENSLACP00000001472	ENSLACG00000001316	Latimeria_chalumnae
ENSCINP00000022199	ENSCING00000011660	Ciona_intestinalis	ENSCINT00000022445
