ENSVVUP00000004543	ENSVVUG00000003564	Vulpes_vulpes
ENSJJAP00000012914	ENSJJAG00000015826	Jaculus_jaculus
ENSMSIP00000038058	ENSMSIG00000031706	Mus_spicilegus	ENSMSIT00000048016
ENSPANP00000018954	ENSPANG00000025785	Papio_anubis
ENSDNOP00000029903	ENSDNOG00000038534	Dasypus_novemcinctus
ENSBIXP00000019119	ENSBIXG00000004454	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCABP00000000273	ENSCABG00000000255	Chelonoidis_abingdonii
ENSECAP00000031940	ENSECAG00000035262	Equus_caballus
ENSTGUP00000003601	ENSTGUG00000003499	Taeniopygia_guttata
ENSDNVP00000027500	ENSDNVG00000019103	Dromaius_novaehollandiae
ENSSARP00000004650	ENSSARG00000005145	Sorex_araneus
ENSECAP00000005812	ENSECAG00000036100	Equus_caballus
ENSCGRP00000011876	ENSCGRG00000008651	Cricetulus_griseus_CriGri_1.0
ENSP00000394936	ENSG00000228278	Homo_sapiens
ENSOARP00000006480	ENSOARG00000006050	Ovis_aries
ENSOCUP00000003988	ENSOCUG00000004625	Oryctolagus_cuniculus
ENSMNEP00000032587	ENSMNEG00000039615	Macaca_nemestrina
ENSMODP00000004728	ENSMODG00000003862	Monodelphis_domestica
ENSMPUP00000001602	ENSMPUG00000001619	Mustela_putorius_furo
ENSCPGP00000007390	ENSCPGG00000005291	Calidris_pygmaea
ENSCJPP00005025263	ENSCJPG00005019852	Coturnix_japonica
ENSCAFP00000004937	ENSCAFG00000003331	Canis_lupus_familiaris
ENSCCEP00000027633	ENSCCEG00000024116	Cyanistes_caeruleus
ENSMLUP00000017298	ENSMLUG00000024647	Myotis_lucifugus
ENSPSMP00000016879	ENSPSMG00000012044	Prolemur_simus
ENSMUSP00000030044	ENSMUSG00000039196	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000030044
ENSPTRP00000066020	ENSPTRG00000042989	Pan_troglodytes
ENSMMUP00000010511	ENSMMUG00000008015	Macaca_mulatta
ENSOGAP00000009004	ENSOGAG00000010078	Otolemur_garnettii
ENSPCAP00000000005	ENSPCAG00000000006	Procavia_capensis
ENSARWP00000027462	ENSARWG00000018554	Apteryx_rowi
ENSPVAP00000000046	ENSPVAG00000000049	Pteropus_vampyrus
ENSMLUP00000017829	ENSMLUG00000029558	Myotis_lucifugus
ENSSARP00000011108	ENSSARG00000012284	Sorex_araneus
ENSLSDP00000022937	ENSLSDG00000016175	Lonchura_striata_domestica
ENSNMEP00000006475	ENSNMEG00000006658	Numida_meleagris
