ENSSPAP00000027393	ENSSPAG00000020643	Stegastes_partitus
ENSAPOP00000028349	ENSAPOG00000013569	Acanthochromis_polyacanthus
ENSAPEP00000001831	ENSAPEG00000001344	Amphiprion_percula
ENSAPEP00000001122	ENSAPEG00000000826	Amphiprion_percula
ENSAOCP00000008610	ENSAOCG00000012658	Amphiprion_ocellaris
ENSXMAP00000041716	ENSXMAG00000006035	Xiphophorus_maculatus
ENSXCOP00000003784	ENSXCOG00000002965	Xiphophorus_couchianus
ENSPREP00000015314	ENSPREG00000010324	Poecilia_reticulata
ENSGAFP00000003765	ENSGAFG00000002561	Gambusia_affinis
ENSPLAP00000017402	ENSPLAG00000021780	Poecilia_latipinna
ENSCVAP00000003156	ENSCVAG00000004344	Cyprinodon_variegatus
ENSFHEP00000027161	ENSFHEG00000010505	Fundulus_heteroclitus
ENSOMEP00000007877	ENSOMEG00000009040	Oryzias_melastigma
ENSORLP00020012716	ENSORLG00020013644	Oryzias_latipes_ASM223471v1
ENSSDUP00000013794	ENSSDUG00000010019	Seriola_dumerili
ENSSLDP00000009918	ENSSLDG00000007894	Seriola_lalandi_dorsalis
ENSMAMP00000027719	ENSMAMG00000018642	Mastacembelus_armatus
ENSNBRP00000018172	ENSNBRG00000014009	Neolamprologus_brichardi
ENSPNYP00000004123	ENSPNYG00000003203	Pundamilia_nyererei
ENSACIP00000021095	ENSACIG00000016381	Amphilophus_citrinellus
ENSPRNP00000027151	ENSPRNG00000013594	Parambassis_ranga
ENSTRUP00000056289	ENSTRUG00000025219	Takifugu_rubripes
ENSCSEP00000029182	ENSCSEG00000018685	Cynoglossus_semilaevis
ENSLCAP00010034540	ENSLCAG00010016227	Lates_calcarifer
ENSAMXP00000039621	ENSAMXG00000037077	Astyanax_mexicanus_Astyanax_mexicanus-2.0
