ENSPSMP00000032257	ENSPSMG00000022343	Prolemur_simus
ENSPCOP00000015032	ENSPCOG00000019234	Propithecus_coquereli
ENSMICP00000016426	ENSMICG00000027119	Microcebus_murinus
ENSOGAP00000021847	ENSOGAG00000025632	Otolemur_garnettii
ENSCCAP00000012991	ENSCCAG00000024292	Cebus_capucinus_imitator
ENSSBOP00000023005	ENSSBOG00000028014	Saimiri_boliviensis_boliviensis
ENSANAP00000027022	ENSANAG00000031313	Aotus_nancymaae
ENSPTRP00000084591	ENSPTRG00000044107	Pan_troglodytes
ENSCCNP00000032993	ENSCCNG00000031261	Castor_canadensis
ENSDORP00000018065	ENSDORG00000026879	Dipodomys_ordii
ENSSTOP00000023958	ENSSTOG00000020085	Ictidomys_tridecemlineatus
ENSSDAP00000008547	ENSSDAG00000007794	Spermophilus_dauricus
ENSMMMP00000017967	ENSMMMG00000015941	Marmota_marmota_marmota
ENSUPAP00010027833	ENSUPAG00010021978	Urocitellus_parryii
ENSMSIP00000026876	ENSMSIG00000022656	Mus_spicilegus
MGP_SPRETEiJ_P0024009	MGP_SPRETEiJ_G0016124	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000070130	ENSMUSG00000038624	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0022868	MGP_CAROLIEiJ_G0015315	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0086047	MGP_PahariEiJ_G0030732	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000060467	ENSRNOG00000000410	Rattus_norvegicus
ENSMUGP00000013506	ENSMUGG00000011727	Meriones_unguiculatus
ENSCGRP00000008324	ENSCGRG00000006070	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015032695	ENSCGRG00015024656	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001009025	ENSCGRG00001011193	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000020197	ENSMAUG00000018286	Mesocricetus_auratus
ENSMOCP00000017104	ENSMOCG00000015809	Microtus_ochrogaster
ENSPEMP00000010382	ENSPEMG00000011390	Peromyscus_maniculatus_bairdii
ENSNGAP00000023516	ENSNGAG00000022059	Nannospalax_galili
ENSJJAP00000007489	ENSJJAG00000011885	Jaculus_jaculus
ENSCAPP00000002113	ENSCAPG00000004625	Cavia_aperea
ENSCPOP00000016116	ENSCPOG00000027426	Cavia_porcellus
ENSHGLP00100005426	ENSHGLG00100004117	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000006530	ENSHGLG00000004776	Heterocephalus_glaber_HetGla_female_1.0
ENSOCUP00000019707	ENSOCUG00000024042	Oryctolagus_cuniculus
ENSBIXP00000033217	ENSBIXG00000002311	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005030465	ENSBIXG00005000708	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000048314	ENSBTAG00000039574	Bos_taurus
ENSBMUP00000013242	ENSBMUG00000010125	Bos_mutus
ENSBBBP00000000849	ENSBBBG00000009991	Bison_bison_bison
ENSCHIP00000019378	ENSCHIG00000018408	Capra_hircus
ENSOARP00000009308	ENSOARG00000008676	Ovis_aries
ENSSSCP00000004591	ENSSSCG00000004252	Sus_scrofa_strain_reference
ENSECAP00000008654	ENSECAG00000010804	Equus_caballus
ENSEASP00005013103	ENSEASG00005009139	Equus_asinus_asinus
ENSUMAP00000003506	ENSUMAG00000002918	Ursus_maritimus
ENSUAMP00000005374	ENSUAMG00000004777	Ursus_americanus
ENSAMEP00000005835	ENSAMEG00000005537	Ailuropoda_melanoleuca
ENSMPUP00000014227	ENSMPUG00000014336	Mustela_putorius_furo
ENSNVIP00000025009	ENSNVIG00000019376	Neovison_vison
ENSCAFP00020027304	ENSCAFG00020021416	Canis_lupus_dingo
ENSCAFP00000001323	ENSCAFG00000000929	Canis_lupus_familiaris
ENSVVUP00000021649	ENSVVUG00000015913	Vulpes_vulpes
ENSPPRP00000004519	ENSPPRG00000000587	Panthera_pardus
ENSPTIP00000009570	ENSPTIG00000010605	Panthera_tigris_altaica
ENSFCAP00000021146	ENSFCAG00000025529	Felis_catus
ENSMLUP00000019156	ENSMLUG00000024056	Myotis_lucifugus
ENSLAFP00000025740	ENSLAFG00000025930	Loxodonta_africana
ENSDNOP00000024586	ENSDNOG00000044655	Dasypus_novemcinctus
ENSVURP00010030164	ENSVURG00010023067	Vombatus_ursinus
ENSPCIP00000031052	ENSPCIG00000023085	Phascolarctos_cinereus
ENSMODP00000022192	ENSMODG00000017800	Monodelphis_domestica
ENSSHAP00000016174	ENSSHAG00000013766	Sarcophilus_harrisii
ENSOANP00000006275	ENSOANG00000003967	Ornithorhynchus_anatinus
ENSABRP00000021374	ENSABRG00000018179	Anser_brachyrhynchus
ENSAPLP00000000010	ENSAPLG00000000593	Anas_platyrhynchos_platyrhynchos
ENSGALP00000023988	ENSGALG00000014900	Gallus_gallus
ENSCJPP00005010588	ENSCJPG00005009194	Coturnix_japonica
ENSMGAP00000014105	ENSMGAG00000013348	Meleagris_gallopavo
ENSNMEP00000026212	ENSNMEG00000022146	Numida_meleagris
ENSCPUP00000012527	ENSCPUG00000008886	Calidris_pugnax
ENSCPGP00000017605	ENSCPGG00000012340	Calidris_pygmaea
ENSMUNP00000015859	ENSMUNG00000012218	Melopsittacus_undulatus
ENSCCEP00000015826	ENSCCEG00000014921	Cyanistes_caeruleus
ENSPMJP00000018718	ENSPMJG00000014049	Parus_major
ENSFALP00000011621	ENSFALG00000011131	Ficedula_albicollis
ENSZALP00000006080	ENSZALG00000005590	Zonotrichia_albicollis
ENSJHYP00000022506	ENSJHYG00000016971	Junco_hyemalis
ENSSCAP00000020344	ENSSCAG00000014659	Serinus_canaria
ENSLSDP00000002028	ENSLSDG00000001605	Lonchura_striata_domestica
ENSTGUP00000012259	ENSTGUG00000011898	Taeniopygia_guttata
ENSLCOP00000023092	ENSLCOG00000016205	Lepidothrix_coronata
ENSMVIP00005025669	ENSMVIG00005017924	Manacus_vitellinus
ENSAOWP00000008852	ENSAOWG00000006069	Apteryx_owenii
ENSARWP00000015616	ENSARWG00000010769	Apteryx_rowi
ENSAHAP00000011097	ENSAHAG00000008034	Apteryx_haastii
ENSDNVP00000010027	ENSDNVG00000007080	Dromaius_novaehollandiae
ENSNPEP00000008068	ENSNPEG00000006051	Nothoprocta_perdicaria
ENSCPRP00005006044	ENSCPRG00005004319	Crocodylus_porosus
ENSGAGP00000002803	ENSGAGG00000002232	Gopherus_agassizii
ENSCABP00000000267	ENSCABG00000000245	Chelonoidis_abingdonii
ENSCPBP00000026499	ENSCPBG00000018824	Chrysemys_picta_bellii
ENSPSIP00000012263	ENSPSIG00000011049	Pelodiscus_sinensis
ENSPVIP00000005268	ENSPVIG00000004290	Pogona_vitticeps
ENSACAP00000014041	ENSACAG00000014319	Anolis_carolinensis
ENSSMRP00000016025	ENSSMRG00000012462	Salvator_merianae
ENSSPUP00000012450	ENSSPUG00000009559	Sphenodon_punctatus
ENSLACP00000007211	ENSLACG00000006396	Latimeria_chalumnae
ENSDCDP00000014276	ENSDCDG00000010690	Denticeps_clupeoides	ENSDCDT00000019170
ENSCHAP00000030691	ENSCHAG00000014735	Clupea_harengus	ENSCHAT00000033315
ENSAMXP00005040134	ENSAMXG00005018888	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000018470	ENSAMXG00000017923	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000018470
ENSPNAP00000028357	ENSPNAG00000014026	Pygocentrus_nattereri
ENSEEEP00000015027	ENSEEEG00000007480	Electrophorus_electricus
ENSIPUP00000031027	ENSIPUG00000020927	Ictalurus_punctatus
ENSHHUP00000043610	ENSHHUG00000026753	Hucho_hucho
ENSELUP00000022203	ENSELUG00000021167	Esox_lucius
ENSSFOP00015025247	ENSSFOG00015016247	Scleropages_formosus
ENSLOCP00000021191	ENSLOCG00000017147	Lepisosteus_oculatus
ENSECRP00000004261	ENSECRG00000002901	Erpetoichthys_calabaricus
ENSKMAP00000017778	ENSKMAG00000013252	Kryptolebias_marmoratus
ENSOMEP00000001807	ENSOMEG00000002748	Oryzias_melastigma
ENSCMIP00000012341	ENSCMIG00000006292	Callorhinchus_milii
