ENSPPAP00000034671	ENSPPAG00000040164	Pan_paniscus
ENSPTRP00000047375	ENSPTRG00000022005	Pan_troglodytes
ENSP00000363318	ENSG00000147168	Homo_sapiens
ENSP00000496673	ENSG00000285171	Homo_sapiens
ENSGGOP00000014314	ENSGGOG00000014674	Gorilla_gorilla
ENSPPYP00000022888	ENSPPYG00000020446	Pongo_abelii
ENSNLEP00000001373	ENSNLEG00000001139	Nomascus_leucogenys
ENSPANP00000003585	ENSPANG00000010096	Papio_anubis
ENSTGEP00000008016	ENSTGEG00000006558	Theropithecus_gelada
ENSMLEP00000013836	ENSMLEG00000031090	Mandrillus_leucophaeus
ENSCSAP00000007653	ENSCSAG00000011507	Chlorocebus_sabaeus
ENSMMUP00000023402	ENSMMUG00000017795	Macaca_mulatta
ENSMNEP00000013917	ENSMNEG00000031163	Macaca_nemestrina
ENSMFAP00000023898	ENSMFAG00000043570	Macaca_fascicularis
ENSCATP00000016312	ENSCATG00000032098	Cercocebus_atys
ENSPTEP00000008237	ENSPTEG00000009388	Piliocolobus_tephrosceles
ENSCANP00000033590	ENSCANG00000040457	Colobus_angolensis_palliatus
ENSRROP00000026100	ENSRROG00000036774	Rhinopithecus_roxellana
ENSRBIP00000017423	ENSRBIG00000032714	Rhinopithecus_bieti
ENSSBOP00000039105	ENSSBOG00000035608	Saimiri_boliviensis_boliviensis
ENSCCAP00000001671	ENSCCAG00000010709	Cebus_capucinus_imitator
ENSCJAP00000078428	ENSCJAG00000045011	Callithrix_jacchus
ENSANAP00000001969	ENSANAG00000016055	Aotus_nancymaae
ENSTSYP00000011603	ENSTSYG00000012650	Carlito_syrichta
ENSMICP00000012760	ENSMICG00000013995	Microcebus_murinus
ENSPSMP00000037009	ENSPSMG00000025459	Prolemur_simus
ENSPCOP00000020647	ENSPCOG00000022304	Propithecus_coquereli
ENSOGAP00000022059	ENSOGAG00000027643	Otolemur_garnettii
MGP_SPRETEiJ_P0096065	MGP_SPRETEiJ_G0034447	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000002259	ENSMSIG00000002150	Mus_spicilegus
ENSMUSP00000033664	ENSMUSG00000031304	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0092301	MGP_CAROLIEiJ_G0033283	Mus_caroli_strain_CAROLI_EIJ
ENSMSIP00000008130	ENSMSIG00000007209	Mus_spicilegus
MGP_PahariEiJ_P0089917	MGP_PahariEiJ_G0031821	Mus_pahari_strain_PAHARI_EIJ
ENSMUSP00000112905	ENSMUSG00000092463	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0096064	MGP_SPRETEiJ_G0034446	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0092300	MGP_CAROLIEiJ_G0033282	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0089916	MGP_PahariEiJ_G0031820	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000005343	ENSRNOG00000003954	Rattus_norvegicus
ENSMUGP00000028553	ENSMUGG00000023669	Meriones_unguiculatus
ENSCGRP00000013349	ENSCGRG00000009697	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001011618	ENSCGRG00001013221	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015015044	ENSCGRG00015011502	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000010543	ENSMAUG00000011396	Mesocricetus_auratus
ENSMOCP00000011083	ENSMOCG00000011326	Microtus_ochrogaster
ENSPEMP00000002494	ENSPEMG00000002794	Peromyscus_maniculatus_bairdii
ENSNGAP00000013176	ENSNGAG00000014836	Nannospalax_galili
ENSJJAP00000009249	ENSJJAG00000013180	Jaculus_jaculus
