ENSVURP00010009042	ENSVURG00010006993	Vombatus_ursinus	ENSVURT00010010253
ENSPCIP00000014442	ENSPCIG00000011283	Phascolarctos_cinereus	ENSPCIT00000017835
ENSSHAP00000015987	ENSSHAG00000013612	Sarcophilus_harrisii	ENSSHAT00000016119
ENSMODP00000027638	ENSMODG00000011445	Monodelphis_domestica	ENSMODT00000029178
ENSECAP00000002213	ENSECAG00000003264	Equus_caballus
ENSEASP00005001725	ENSEASG00005001387	Equus_asinus_asinus
ENSPVAP00000013504	ENSPVAG00000014330	Pteropus_vampyrus	ENSPVAT00000014328
ENSBIXP00005018927	ENSBIXG00005022197	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000012566	ENSBIXG00000017632	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000056507	ENSBTAG00000025266	Bos_taurus
ENSBMUP00000000160	ENSBMUG00000000175	Bos_mutus
ENSBBBP00000015146	ENSBBBG00000022946	Bison_bison_bison
ENSCHIP00000031648	ENSCHIG00000025920	Capra_hircus
ENSOARP00000020521	ENSOARG00000019107	Ovis_aries
ENSTTRP00000009010	ENSTTRG00000009511	Tursiops_truncatus
ENSVPAP00000011334	ENSVPAG00000012192	Vicugna_pacos
ENSSSCP00000015619	ENSSSCG00000014691	Sus_scrofa_strain_reference
ENSUMAP00000000286	ENSUMAG00000000399	Ursus_maritimus
ENSUAMP00000002005	ENSUAMG00000001871	Ursus_americanus
ENSAMEP00000020038	ENSAMEG00000018979	Ailuropoda_melanoleuca
ENSNVIP00000022986	ENSNVIG00000017931	Neovison_vison
ENSMPUP00000010034	ENSMPUG00000010110	Mustela_putorius_furo
ENSCAFP00000037993	ENSCAFG00000006213	Canis_lupus_familiaris
ENSCAFP00020011300	ENSCAFG00020009147	Canis_lupus_dingo
ENSVVUP00000021295	ENSVVUG00000015658	Vulpes_vulpes
ENSPTIP00000002745	ENSPTIG00000005698	Panthera_tigris_altaica
ENSPPRP00000029018	ENSPPRG00000021409	Panthera_pardus
ENSFCAP00000016612	ENSFCAG00000013895	Felis_catus
ENSSARP00000001433	ENSSARG00000001597	Sorex_araneus
ENSCLAP00000025753	ENSCLAG00000017877	Chinchilla_lanigera
ENSCPOP00000007057	ENSCPOG00000007838	Cavia_porcellus
ENSFDAP00000000752	ENSFDAG00000010913	Fukomys_damarensis
ENSSDAP00000001062	ENSSDAG00000001075	Spermophilus_dauricus
ENSSTOP00000022807	ENSSTOG00000027136	Ictidomys_tridecemlineatus
ENSMMMP00000014908	ENSMMMG00000013282	Marmota_marmota_marmota
MGP_SPRETEiJ_P0084587	MGP_SPRETEiJ_G0031287	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000055229	ENSMUSG00000051618	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000000205	ENSMSIG00000000241	Mus_spicilegus
MGP_CAROLIEiJ_P0081223	MGP_CAROLIEiJ_G0030179	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0018048	MGP_PahariEiJ_G0013395	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000034011	ENSRNOG00000023833	Rattus_norvegicus
ENSMUGP00000024160	ENSMUGG00000020202	Meriones_unguiculatus
ENSCGRP00000026583	ENSCGRG00000019667	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001002148	ENSCGRG00001002236	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000016561	ENSMAUG00000015661	Mesocricetus_auratus
ENSMOCP00000022116	ENSMOCG00000019253	Microtus_ochrogaster
ENSPEMP00000024675	ENSPEMG00000021327	Peromyscus_maniculatus_bairdii
ENSNGAP00000023834	ENSNGAG00000022270	Nannospalax_galili
ENSOCUP00000007837	ENSOCUG00000009078	Oryctolagus_cuniculus
ENSPSMP00000000791	ENSPSMG00000000594	Prolemur_simus
ENSOGAP00000013404	ENSOGAG00000014976	Otolemur_garnettii
ENSPTRP00000048280	ENSPTRG00000028729	Pan_troglodytes
ENSPPAP00000005830	ENSPPAG00000023702	Pan_paniscus
ENSP00000347997	ENSG00000175520	Homo_sapiens
ENSGGOP00000002016	ENSGGOG00000002050	Gorilla_gorilla
ENSPPYP00000004095	ENSPPYG00000003569	Pongo_abelii
ENSNLEP00000021070	ENSNLEG00000017366	Nomascus_leucogenys
ENSCATP00000005252	ENSCATG00000017472	Cercocebus_atys
ENSCSAP00000018851	ENSCSAG00000019342	Chlorocebus_sabaeus
ENSMMUP00000036875	ENSMMUG00000021337	Macaca_mulatta
ENSMNEP00000007492	ENSMNEG00000028316	Macaca_nemestrina
ENSMFAP00000012340	ENSMFAG00000023673	Macaca_fascicularis
ENSTGEP00000026898	ENSTGEG00000021687	Theropithecus_gelada
ENSPTEP00000013133	ENSPTEG00000014744	Piliocolobus_tephrosceles
ENSCJAP00000037522	ENSCJAG00000020177	Callithrix_jacchus
ENSTBEP00000003866	ENSTBEG00000004490	Tupaia_belangeri
ENSCHOP00000004900	ENSCHOG00000005541	Choloepus_hoffmanni	ENSCHOT00000005550
ENSDNOP00000026767	ENSDNOG00000034112	Dasypus_novemcinctus	ENSDNOT00000038830
ENSLAFP00000024922	ENSLAFG00000009217	Loxodonta_africana	ENSLAFT00000009215
ENSPCAP00000002168	ENSPCAG00000002350	Procavia_capensis	ENSPCAT00000002305
ENSETEP00000006961	ENSETEG00000008567	Echinops_telfairi	ENSETET00000008565
ENSPMAP00000008958	ENSPMAG00000008142	Petromyzon_marinus
