ENSMAUP00000012492	ENSMAUG00000012783	Mesocricetus_auratus	ENSMAUT00000016398
ENSCGRP00000023926	ENSCGRG00000017338	Cricetulus_griseus_CriGri_1.0
ENSJJAP00000002216	ENSJJAG00000003638	Jaculus_jaculus
MGP_SPRETEiJ_P0041502	MGP_SPRETEiJ_G0021127	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0039669	MGP_CAROLIEiJ_G0020230	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0043021	MGP_PahariEiJ_G0020233	Mus_pahari_strain_PAHARI_EIJ
ENSMOCP00000009289	ENSMOCG00000009420	Microtus_ochrogaster
ENSNGAP00000012393	ENSNGAG00000014255	Nannospalax_galili
ENSSTOP00000032264	ENSSTOG00000005852	Ictidomys_tridecemlineatus
ENSCPOP00000026736	ENSCPOG00000040584	Cavia_porcellus
ENSODEP00000004336	ENSODEG00000003309	Octodon_degus
ENSHGLP00000009585	ENSHGLG00000006875	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100025297	ENSHGLG00100018560	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000017617	ENSFDAG00000006154	Fukomys_damarensis
ENSDORP00000002449	ENSDORG00000002609	Dipodomys_ordii
