ENSAOWP00000023237	ENSAOWG00000015681	Apteryx_owenii	ENSAOWT00000026322
ENSAHAP00000010335	ENSAHAG00000007499	Apteryx_haastii	ENSAHAT00000011452
ENSARWP00000019417	ENSARWG00000013304	Apteryx_rowi	ENSARWT00000022038
ENSDNVP00000016564	ENSDNVG00000011608	Dromaius_novaehollandiae
ENSNPEP00000016971	ENSNPEG00000012641	Nothoprocta_perdicaria
ENSMVIP00005001666	ENSMVIG00005001312	Manacus_vitellinus
ENSLCOP00000014403	ENSLCOG00000010335	Lepidothrix_coronata
ENSTGUP00000013630	ENSTGUG00000013236	Taeniopygia_guttata
ENSLSDP00000002955	ENSLSDG00000002288	Lonchura_striata_domestica
ENSSCAP00000019589	ENSSCAG00000014137	Serinus_canaria
ENSZALP00000020831	ENSZALG00000016363	Zonotrichia_albicollis
ENSJHYP00000006104	ENSJHYG00000004953	Junco_hyemalis
ENSFALP00000001581	ENSFALG00000001512	Ficedula_albicollis
ENSCCEP00000000541	ENSCCEG00000000715	Cyanistes_caeruleus
ENSPMJP00000017239	ENSPMJG00000012982	Parus_major
ENSCPGP00000008300	ENSCPGG00000005909	Calidris_pygmaea
ENSCPUP00000014638	ENSCPUG00000010268	Calidris_pugnax
ENSMUNP00000013573	ENSMUNG00000010597	Melopsittacus_undulatus
ENSABRP00000003208	ENSABRG00000002882	Anser_brachyrhynchus
ENSAPLP00000012825	ENSAPLG00000013008	Anas_platyrhynchos_platyrhynchos
ENSCPRP00005001047	ENSCPRG00005000814	Crocodylus_porosus
ENSCABP00000016414	ENSCABG00000012196	Chelonoidis_abingdonii
ENSGAGP00000027468	ENSGAGG00000019964	Gopherus_agassizii
ENSCPBP00000030809	ENSCPBG00000021665	Chrysemys_picta_bellii
ENSPSIP00000019335	ENSPSIG00000017173	Pelodiscus_sinensis
ENSCCNP00000002070	ENSCCNG00000002282	Castor_canadensis
ENSDORP00000002393	ENSDORG00000002547	Dipodomys_ordii
ENSMUSP00000024705	ENSMUSG00000023912	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0046738	MGP_SPRETEiJ_G0022545	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0044842	MGP_CAROLIEiJ_G0021633	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0044367	MGP_PahariEiJ_G0020625	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000039207	ENSRNOG00000010592	Rattus_norvegicus
ENSMUGP00000009074	ENSMUGG00000008124	Meriones_unguiculatus
ENSCGRP00000024342	ENSCGRG00000017644	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015007691	ENSCGRG00015005976	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001021714	ENSCGRG00001020482	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000013449	ENSMAUG00000013492	Mesocricetus_auratus
