ENSVURP00010001716	ENSVURG00010001444	Vombatus_ursinus	ENSVURT00010001966
ENSVURP00010020888	ENSVURG00010015986	Vombatus_ursinus	ENSVURT00010023781
ENSPCIP00000015317	ENSPCIG00000011922	Phascolarctos_cinereus	ENSPCIT00000018937
ENSMEUP00000002206	ENSMEUG00000002416	Notamacropus_eugenii	ENSMEUT00000002423
ENSMODP00000039415	ENSMODG00000018755	Monodelphis_domestica	ENSMODT00000042523
ENSSHAP00000022040	ENSSHAG00000018655	Sarcophilus_harrisii	ENSSHAT00000022216
ENSPVAP00000013631	ENSPVAG00000014463	Pteropus_vampyrus
ENSMLUP00000015429	ENSMLUG00000016925	Myotis_lucifugus
ENSTTRP00000016222	ENSTTRG00000017112	Tursiops_truncatus
ENSTSYP00000015557	ENSTSYG00000013551	Carlito_syrichta
ENSTBEP00000012745	ENSTBEG00000014689	Tupaia_belangeri
ENSCAPP00000004927	ENSCAPG00000007370	Cavia_aperea
ENSCJAP00000078912	ENSCJAG00000002161	Callithrix_jacchus
ENSEEUP00000006654	ENSEEUG00000007312	Erinaceus_europaeus
ENSUMAP00000014033	ENSUMAG00000010334	Ursus_maritimus
ENSUAMP00000028366	ENSUAMG00000021937	Ursus_americanus
ENSAMEP00000018629	ENSAMEG00000017638	Ailuropoda_melanoleuca
ENSNVIP00000031503	ENSNVIG00000024212	Neovison_vison
ENSMPUP00000000809	ENSMPUG00000000813	Mustela_putorius_furo
ENSCAFP00000016786	ENSCAFG00000011405	Canis_lupus_familiaris
ENSCAFP00020025312	ENSCAFG00020019925	Canis_lupus_dingo
ENSVVUP00000010200	ENSVVUG00000007524	Vulpes_vulpes
ENSPPRP00000015438	ENSPPRG00000008047	Panthera_pardus
ENSPTIP00000007670	ENSPTIG00000009240	Panthera_tigris_altaica
ENSFCAP00000023477	ENSFCAG00000029919	Felis_catus
ENSP00000462521	ENSG00000265972	Homo_sapiens	ENST00000582401
ENSPTRP00000002043	ENSPTRG00000001197	Pan_troglodytes
ENSGGOP00000011548	ENSGGOG00000011838	Gorilla_gorilla
ENSPPYP00000001080	ENSPPYG00000000926	Pongo_abelii
ENSNLEP00000007046	ENSNLEG00000005808	Nomascus_leucogenys
ENSRBIP00000030363	ENSRBIG00000039040	Rhinopithecus_bieti
ENSRROP00000028967	ENSRROG00000038277	Rhinopithecus_roxellana
ENSCANP00000031474	ENSCANG00000039401	Colobus_angolensis_palliatus
ENSPTEP00000010274	ENSPTEG00000011656	Piliocolobus_tephrosceles
ENSMLEP00000005603	ENSMLEG00000024506	Mandrillus_leucophaeus
ENSCSAP00000016246	ENSCSAG00000001782	Chlorocebus_sabaeus
ENSPANP00000011901	ENSPANG00000010865	Papio_anubis
ENSTGEP00000013100	ENSTGEG00000010658	Theropithecus_gelada
ENSMNEP00000039922	ENSMNEG00000042880	Macaca_nemestrina
ENSMMUP00000076642	ENSMMUG00000007338	Macaca_mulatta
ENSMFAP00000040339	ENSMFAG00000046327	Macaca_fascicularis
ENSCATP00000025100	ENSCATG00000036044	Cercocebus_atys
ENSCCAP00000021171	ENSCCAG00000028414	Cebus_capucinus_imitator
ENSSBOP00000017612	ENSSBOG00000025441	Saimiri_boliviensis_boliviensis
ENSANAP00000023373	ENSANAG00000029418	Aotus_nancymaae
ENSPCAP00000006044	ENSPCAG00000006503	Procavia_capensis
ENSBMUP00000009362	ENSBMUG00000007292	Bos_mutus
ENSBTAP00000026724	ENSBTAG00000020060	Bos_taurus
ENSBIXP00005041934	ENSBIXG00005025179	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000040526	ENSBIXG00000024600	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBBBP00000006107	ENSBBBG00000014714	Bison_bison_bison
ENSOARP00000022201	ENSOARG00000020658	Ovis_aries
ENSCHIP00000018140	ENSCHIG00000017689	Capra_hircus
ENSSSCP00000035217	ENSSSCG00000031262	Sus_scrofa_strain_reference
ENSVPAP00000009868	ENSVPAG00000010604	Vicugna_pacos
ENSECAP00000025098	ENSECAG00000028144	Equus_caballus
ENSEASP00005010535	ENSEASG00005007477	Equus_asinus_asinus
ENSEEUP00000009603	ENSEEUG00000010526	Erinaceus_europaeus
ENSSARP00000011989	ENSSARG00000013282	Sorex_araneus
ENSCGRP00001007795	ENSCGRG00001010170	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000008447	ENSCGRG00000006152	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015032465	ENSCGRG00015024489	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000012533	ENSMAUG00000012817	Mesocricetus_auratus
ENSMOCP00000016485	ENSMOCG00000015375	Microtus_ochrogaster
ENSPEMP00000009503	ENSPEMG00000010784	Peromyscus_maniculatus_bairdii
ENSNGAP00000004263	ENSNGAG00000005485	Nannospalax_galili
ENSMUSP00000102710	ENSMUSG00000038393	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000025407	ENSMSIG00000021449	Mus_spicilegus
