ENSPNAP00000008149	ENSPNAG00000002937	Pygocentrus_nattereri
ENSAMXP00000000760	ENSAMXG00000000744	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSDARP00000115246	ENSDARG00000079631	Danio_rerio
ENSCHAP00000026923	ENSCHAG00000013103	Clupea_harengus
ENSDCDP00000045537	ENSDCDG00000028701	Denticeps_clupeoides
ENSMMOP00000009380	ENSMMOG00000007257	Mola_mola
ENSTNIP00000008870	ENSTNIG00000006126	Tetraodon_nigroviridis
ENSPNYP00000030331	ENSPNYG00000022860	Pundamilia_nyererei
ENSNBRP00000019565	ENSNBRG00000015065	Neolamprologus_brichardi
ENSONIP00000011399	ENSONIG00000009063	Oreochromis_niloticus
ENSACIP00000014874	ENSACIG00000011549	Amphilophus_citrinellus
ENSLCAP00010003544	ENSLCAG00010001840	Lates_calcarifer
ENSCGOP00000004975	ENSCGOG00000002562	Cottoperca_gobio
ENSTRUP00000050576	ENSTRUG00000024385	Takifugu_rubripes
ENSAOCP00000017128	ENSAOCG00000022179	Amphiprion_ocellaris
ENSAPEP00000025648	ENSAPEG00000018269	Amphiprion_percula
ENSAPOP00000026883	ENSAPOG00000011003	Acanthochromis_polyacanthus
ENSSPAP00000001755	ENSSPAG00000001363	Stegastes_partitus
ENSMZEP00005031706	ENSMZEG00005023657	Maylandia_zebra
ENSACLP00000024936	ENSACLG00000016966	Astatotilapia_calliptera
ENSHBUP00000022983	ENSHBUG00000003547	Haplochromis_burtoni
ENSPRNP00000014651	ENSPRNG00000007914	Parambassis_ranga
ENSPFOP00000007905	ENSPFOG00000007955	Poecilia_formosa
ENSPLAP00000001123	ENSPLAG00000002093	Poecilia_latipinna
ENSPMEP00000015058	ENSPMEG00000017514	Poecilia_mexicana
ENSPREP00000012517	ENSPREG00000008509	Poecilia_reticulata
ENSXMAP00000032097	ENSXMAG00000022840	Xiphophorus_maculatus
ENSGAFP00000030524	ENSGAFG00000020569	Gambusia_affinis
ENSCVAP00000017128	ENSCVAG00000020171	Cyprinodon_variegatus
ENSFHEP00000006805	ENSFHEG00000007874	Fundulus_heteroclitus
ENSKMAP00000000095	ENSKMAG00000000085	Kryptolebias_marmoratus
ENSGWIP00000056592	ENSGWIG00000026790	Gouania_willdenowi
ENSORLP00015022939	ENSORLG00015002621	Oryzias_latipes_ASM223469v1
ENSORLP00020035263	ENSORLG00020022112	Oryzias_latipes_ASM223471v1
ENSORLP00000027938	ENSORLG00000027161	Oryzias_latipes_ASM223467v1
ENSOMEP00000009448	ENSOMEG00000010644	Oryzias_melastigma
ENSGACP00000021409	ENSGACG00000016227	Gasterosteus_aculeatus
ENSCSEP00000007017	ENSCSEG00000004541	Cynoglossus_semilaevis
ENSMAMP00000028404	ENSMAMG00000019124	Mastacembelus_armatus
ENSMALP00000007135	ENSMALG00000005073	Monopterus_albus
ENSATEP00000026522	ENSATEG00000018384	Anabas_testudineus
ENSBSLP00000027406	ENSBSLG00000013767	Betta_splendens
ENSSLDP00000004089	ENSSLDG00000003245	Seriola_lalandi_dorsalis
ENSSDUP00000000042	ENSSDUG00000000083	Seriola_dumerili
ENSSMAP00000015831	ENSSMAG00000009695	Scophthalmus_maximus
ENSLCRP00005020205	ENSLCRG00005008232	Larimichthys_crocea
ENSLBEP00000010828	ENSLBEG00000008373	Labrus_bergylta
ENSHCOP00000017895	ENSHCOG00000002035	Hippocampus_comes
ENSPMGP00000022913	ENSPMGG00000018542	Periophthalmus_magnuspinnatus
ENSHHUP00000028230	ENSHHUG00000017952	Hucho_hucho
ENSHHUP00000046906	ENSHHUG00000028529	Hucho_hucho
ENSELUP00000024089	ENSELUG00000022897	Esox_lucius
ENSIPUP00000003163	ENSIPUG00000002257	Ictalurus_punctatus
ENSGMOP00000015873	ENSGMOG00000014815	Gadus_morhua
ENSSLDP00000016102	ENSSLDG00000012763	Seriola_lalandi_dorsalis
ENSCSEP00000004185	ENSCSEG00000002727	Cynoglossus_semilaevis
ENSGACP00000025691	ENSGACG00000019434	Gasterosteus_aculeatus
ENSPNYP00000001230	ENSPNYG00000001010	Pundamilia_nyererei
ENSACLP00000004673	ENSACLG00000003125	Astatotilapia_calliptera
ENSMZEP00005000490	ENSMZEG00005000478	Maylandia_zebra
ENSHBUP00000019105	ENSHBUG00000021263	Haplochromis_burtoni
ENSNBRP00000013594	ENSNBRG00000010534	Neolamprologus_brichardi
ENSACIP00000014939	ENSACIG00000011617	Amphilophus_citrinellus
ENSLCRP00005009234	ENSLCRG00005004322	Larimichthys_crocea
ENSLBEP00000037670	ENSLBEG00000028110	Labrus_bergylta
ENSLCAP00010049103	ENSLCAG00010022843	Lates_calcarifer
ENSSDUP00000015180	ENSSDUG00000011088	Seriola_dumerili
ENSSMAP00000018048	ENSSMAG00000011064	Scophthalmus_maximus
ENSCGOP00000025117	ENSCGOG00000011893	Cottoperca_gobio
ENSATEP00000027176	ENSATEG00000018803	Anabas_testudineus
ENSPRNP00000025076	ENSPRNG00000012738	Parambassis_ranga
ENSLBEP00000028163	ENSLBEG00000021337	Labrus_bergylta
ENSMMOP00000016285	ENSMMOG00000012430	Mola_mola
ENSSFOP00015001342	ENSSFOG00015000965	Scleropages_formosus
ENSPKIP00000007807	ENSPKIG00000023563	Paramormyrops_kingsleyae
ENSSFOP00015020124	ENSSFOG00015012941	Scleropages_formosus
ENSPKIP00000021331	ENSPKIG00000005785	Paramormyrops_kingsleyae
ENSLOCP00000008512	ENSLOCG00000007033	Lepisosteus_oculatus
ENSECRP00000010011	ENSECRG00000006687	Erpetoichthys_calabaricus
ENSLAFP00000009613	ENSLAFG00000011508	Loxodonta_africana
ENSPCAP00000011081	ENSPCAG00000011859	Procavia_capensis
ENSETEP00000004324	ENSETEG00000005316	Echinops_telfairi
ENSP00000339030	ENSG00000186660	Homo_sapiens
ENSP00000455911	ENSG00000255073	Homo_sapiens
ENSPTRP00000006355	ENSPTRG00000029949	Pan_troglodytes
ENSPPAP00000002138	ENSPPAG00000009518	Pan_paniscus
ENSGGOP00000026338	ENSGGOG00000026119	Gorilla_gorilla
ENSPPYP00000003732	ENSPPYG00000003246	Pongo_abelii
ENSNLEP00000033014	ENSNLEG00000013034	Nomascus_leucogenys
ENSPANP00000005780	ENSPANG00000010800	Papio_anubis
ENSCSAP00000002326	ENSCSAG00000006026	Chlorocebus_sabaeus
ENSCATP00000023528	ENSCATG00000035319	Cercocebus_atys
ENSTGEP00000025771	ENSTGEG00000020753	Theropithecus_gelada
ENSMMUP00000015376	ENSMMUG00000011714	Macaca_mulatta
ENSMFAP00000022709	ENSMFAG00000043036	Macaca_fascicularis
ENSMNEP00000031457	ENSMNEG00000039121	Macaca_nemestrina
ENSMLEP00000007314	ENSMLEG00000027667	Mandrillus_leucophaeus
ENSRROP00000043648	ENSRROG00000044848	Rhinopithecus_roxellana
ENSRBIP00000011220	ENSRBIG00000029404	Rhinopithecus_bieti
ENSCANP00000031244	ENSCANG00000039292	Colobus_angolensis_palliatus
ENSPTEP00000030760	ENSPTEG00000029898	Piliocolobus_tephrosceles
ENSSBOP00000004867	ENSSBOG00000019103	Saimiri_boliviensis_boliviensis
ENSCCAP00000035982	ENSCCAG00000035891	Cebus_capucinus_imitator
ENSANAP00000026341	ENSANAG00000030875	Aotus_nancymaae
ENSTSYP00000019768	ENSTSYG00000010631	Carlito_syrichta
ENSMICP00000026631	ENSMICG00000033772	Microcebus_murinus
ENSPCOP00000025129	ENSPCOG00000024785	Propithecus_coquereli
ENSPSMP00000014801	ENSPSMG00000010608	Prolemur_simus
ENSOGAP00000018176	ENSOGAG00000032105	Otolemur_garnettii
ENSCGRP00000007931	ENSCGRG00000005780	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015007778	ENSCGRG00015006072	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001023075	ENSCGRG00001021401	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000010101	ENSMAUG00000011095	Mesocricetus_auratus
ENSPEMP00000021039	ENSPEMG00000018801	Peromyscus_maniculatus_bairdii
ENSMOCP00000020945	ENSMOCG00000018468	Microtus_ochrogaster
ENSMUSP00000037971	ENSMUSG00000024695	Mus_musculus_strain_reference_(CL57BL6)
ENSMUSP00000124424	ENSMUSG00000118491	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000018280	ENSMSIG00000015554	Mus_spicilegus
MGP_SPRETEiJ_P0050272	MGP_SPRETEiJ_G0023674	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0048291	MGP_CAROLIEiJ_G0022763	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0021268	MGP_PahariEiJ_G0014253	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000016804	ENSRNOG00000012524	Rattus_norvegicus
ENSMUGP00000006432	ENSMUGG00000005892	Meriones_unguiculatus
ENSNGAP00000010083	ENSNGAG00000012598	Nannospalax_galili
ENSJJAP00000021620	ENSJJAG00000021920	Jaculus_jaculus
ENSCCNP00000012628	ENSCCNG00000013115	Castor_canadensis
ENSDORP00000020187	ENSDORG00000013985	Dipodomys_ordii
ENSSTOP00000014125	ENSSTOG00000015783	Ictidomys_tridecemlineatus
ENSMMMP00000022237	ENSMMMG00000019529	Marmota_marmota_marmota
ENSUPAP00010021865	ENSUPAG00010017389	Urocitellus_parryii
ENSSDAP00000014404	ENSSDAG00000012986	Spermophilus_dauricus
ENSOCUP00000004670	ENSOCUG00000005385	Oryctolagus_cuniculus
ENSOPRP00000000278	ENSOPRG00000000311	Ochotona_princeps
ENSTBEP00000009701	ENSTBEG00000011227	Tupaia_belangeri
ENSCHOP00000005031	ENSCHOG00000005674	Choloepus_hoffmanni
ENSHGLP00100023323	ENSHGLG00100017138	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000008838	ENSHGLG00000006352	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00000005300	ENSHGLG00000003878	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00000006415	ENSHGLG00000004685	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100008537	ENSHGLG00100006359	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000017431	ENSFDAG00000006009	Fukomys_damarensis
ENSCLAP00000003672	ENSCLAG00000002619	Chinchilla_lanigera
ENSODEP00000016411	ENSODEG00000012079	Octodon_degus
ENSCAPP00000015118	ENSCAPG00000015329	Cavia_aperea
ENSCPOP00000010569	ENSCPOG00000011753	Cavia_porcellus
ENSSARP00000011877	ENSSARG00000013155	Sorex_araneus
ENSDNOP00000021824	ENSDNOG00000043611	Dasypus_novemcinctus
ENSMLUP00000008995	ENSMLUG00000009869	Myotis_lucifugus
ENSPVAP00000006961	ENSPVAG00000007378	Pteropus_vampyrus
ENSEEUP00000002153	ENSEEUG00000002360	Erinaceus_europaeus
ENSTTRP00000002843	ENSTTRG00000003028	Tursiops_truncatus
ENSVPAP00000005861	ENSVPAG00000006317	Vicugna_pacos
ENSUAMP00000033031	ENSUAMG00000025174	Ursus_americanus
