ENSAOWP00000025902	ENSAOWG00000017487	Apteryx_owenii
ENSARWP00000007317	ENSARWG00000005126	Apteryx_rowi
ENSAHAP00000009415	ENSAHAG00000006837	Apteryx_haastii
ENSDNVP00000010655	ENSDNVG00000007528	Dromaius_novaehollandiae
ENSNPEP00000015250	ENSNPEG00000011378	Nothoprocta_perdicaria
ENSCCEP00000004922	ENSCCEG00000005402	Cyanistes_caeruleus
ENSPMJP00000025960	ENSPMJG00000018986	Parus_major
ENSFALP00000010112	ENSFALG00000009701	Ficedula_albicollis
ENSJHYP00000016835	ENSJHYG00000012843	Junco_hyemalis
ENSZALP00000011532	ENSZALG00000009722	Zonotrichia_albicollis
ENSSCAP00000008195	ENSSCAG00000006269	Serinus_canaria
ENSTGUP00000004887	ENSTGUG00000004745	Taeniopygia_guttata
ENSLSDP00000016623	ENSLSDG00000011970	Lonchura_striata_domestica
ENSMVIP00005014316	ENSMVIG00005010322	Manacus_vitellinus
ENSLCOP00000004274	ENSLCOG00000003250	Lepidothrix_coronata
ENSCPGP00000001709	ENSCPGG00000001299	Calidris_pygmaea
ENSCPUP00000006474	ENSCPUG00000004713	Calidris_pugnax
ENSABRP00000002303	ENSABRG00000002268	Anser_brachyrhynchus
ENSAPLP00000019770	ENSAPLG00000006470	Anas_platyrhynchos_platyrhynchos
ENSGALP00000067252	ENSGALG00000002081	Gallus_gallus
ENSCJPP00005011515	ENSCJPG00005009900	Coturnix_japonica
ENSMGAP00000003750	ENSMGAG00000003978	Meleagris_gallopavo
ENSNMEP00000017207	ENSNMEG00000015088	Numida_meleagris
ENSCPRP00005007873	ENSCPRG00005005593	Crocodylus_porosus
ENSCABP00000003133	ENSCABG00000002406	Chelonoidis_abingdonii
ENSGAGP00000030655	ENSGAGG00000022065	Gopherus_agassizii
ENSCPBP00000040476	ENSCPBG00000027821	Chrysemys_picta_bellii
ENSPSIP00000015667	ENSPSIG00000013884	Pelodiscus_sinensis
ENSPVIP00000012581	ENSPVIG00000009794	Pogona_vitticeps	ENSPVIT00000015842
ENSNSUP00000012320	ENSNSUG00000009243	Notechis_scutatus
ENSSMRP00000004648	ENSSMRG00000003832	Salvator_merianae
ENSSPUP00000007792	ENSSPUG00000006018	Sphenodon_punctatus
ENSVURP00010020818	ENSVURG00010015920	Vombatus_ursinus
ENSVURP00010016479	ENSVURG00010012627	Vombatus_ursinus
ENSPCIP00000004557	ENSPCIG00000003781	Phascolarctos_cinereus
ENSMEUP00000014498	ENSMEUG00000015871	Notamacropus_eugenii
ENSMODP00000023867	ENSMODG00000019124	Monodelphis_domestica
ENSSHAP00000004934	ENSSHAG00000004324	Sarcophilus_harrisii
ENSUAMP00000010541	ENSUAMG00000008643	Ursus_americanus
ENSUAMP00000005575	ENSUAMG00000004943	Ursus_americanus
ENSAMEP00000015643	ENSAMEG00000014834	Ailuropoda_melanoleuca
ENSNVIP00000026266	ENSNVIG00000020319	Neovison_vison
ENSMPUP00000014816	ENSMPUG00000014927	Mustela_putorius_furo
