ENSPTRP00000001613	ENSPTRG00000000934	Pan_troglodytes	ENSPTRT00000001767
ENSPPAP00000014017	ENSPPAG00000030124	Pan_paniscus	ENSPPAT00000036692
ENSP00000359512	ENSG00000117226	Homo_sapiens	ENST00000370481
ENSGGOP00000022061	ENSGGOG00000002661	Gorilla_gorilla
ENSPPYP00000001361	ENSPPYG00000001175	Pongo_abelii
ENSNLEP00000012474	ENSNLEG00000010234	Nomascus_leucogenys
ENSMFAP00000035434	ENSMFAG00000035480	Macaca_fascicularis
ENSMMUP00000025296	ENSMMUG00000000662	Macaca_mulatta
ENSMNEP00000023614	ENSMNEG00000035409	Macaca_nemestrina
ENSCATP00000029694	ENSCATG00000038072	Cercocebus_atys
ENSMLEP00000006789	ENSMLEG00000027289	Mandrillus_leucophaeus
ENSTGEP00000027238	ENSTGEG00000021998	Theropithecus_gelada
ENSPANP00000002690	ENSPANG00000007479	Papio_anubis
ENSCSAP00000016576	ENSCSAG00000001447	Chlorocebus_sabaeus
ENSRBIP00000003066	ENSRBIG00000014676	Rhinopithecus_bieti
ENSRROP00000035067	ENSRROG00000041059	Rhinopithecus_roxellana
ENSCANP00000016260	ENSCANG00000031571	Colobus_angolensis_palliatus
ENSPTEP00000029784	ENSPTEG00000029135	Piliocolobus_tephrosceles
ENSCCAP00000023068	ENSCCAG00000029326	Cebus_capucinus_imitator
ENSCJAP00000003666	ENSCJAG00000044560	Callithrix_jacchus
ENSTSYP00000008437	ENSTSYG00000009181	Carlito_syrichta
ENSPSMP00000011250	ENSPSMG00000008074	Prolemur_simus
ENSPPRP00000000874	ENSPPRG00000024538	Panthera_pardus
ENSNVIP00000030488	ENSNVIG00000023491	Neovison_vison
ENSBBBP00000027098	ENSBBBG00000000373	Bison_bison_bison
ENSCPGP00000019337	ENSCPGG00000013542	Calidris_pygmaea
