ENSPPAP00000024267	ENSPPAG00000035273	Pan_paniscus
ENSPTRP00000081538	ENSPTRG00000004680	Pan_troglodytes
ENSGGOP00000000247	ENSGGOG00000000251	Gorilla_gorilla
ENSP00000075503	ENSG00000060140	Homo_sapiens
ENSPPYP00000004885	ENSPPYG00000004278	Pongo_abelii
ENSNLEP00000004131	ENSNLEG00000003369	Nomascus_leucogenys
ENSCATP00000043495	ENSCATG00000044283	Cercocebus_atys
ENSPANP00000010288	ENSPANG00000003492	Papio_anubis
ENSTGEP00000003234	ENSTGEG00000002775	Theropithecus_gelada
ENSMLEP00000030132	ENSMLEG00000039257	Mandrillus_leucophaeus
ENSMMUP00000020311	ENSMMUG00000015484	Macaca_mulatta
ENSMNEP00000039240	ENSMNEG00000042579	Macaca_nemestrina
ENSMFAP00000016344	ENSMFAG00000031360	Macaca_fascicularis
ENSCSAP00000005022	ENSCSAG00000008767	Chlorocebus_sabaeus
ENSCANP00000037374	ENSCANG00000042358	Colobus_angolensis_palliatus
ENSPTEP00000004967	ENSPTEG00000005775	Piliocolobus_tephrosceles
ENSRROP00000024795	ENSRROG00000036194	Rhinopithecus_roxellana
ENSRBIP00000011884	ENSRBIG00000029850	Rhinopithecus_bieti
ENSSBOP00000030783	ENSSBOG00000031655	Saimiri_boliviensis_boliviensis
ENSCJAP00000062955	ENSCJAG00000038521	Callithrix_jacchus
ENSCCAP00000009269	ENSCCAG00000022386	Cebus_capucinus_imitator
ENSANAP00000031548	ENSANAG00000033509	Aotus_nancymaae
ENSTSYP00000009489	ENSTSYG00000010368	Carlito_syrichta
ENSPCOP00000027437	ENSPCOG00000026210	Propithecus_coquereli
ENSMICP00000047276	ENSMICG00000042466	Microcebus_murinus
ENSOGAP00000005577	ENSOGAG00000006243	Otolemur_garnettii
ENSTBEP00000012874	ENSTBEG00000014838	Tupaia_belangeri
ENSSDAP00000023625	ENSSDAG00000021504	Spermophilus_dauricus
ENSSTOP00000000752	ENSSTOG00000000838	Ictidomys_tridecemlineatus
ENSMMMP00000024810	ENSMMMG00000021717	Marmota_marmota_marmota
ENSUPAP00010004763	ENSUPAG00010003837	Urocitellus_parryii
ENSCCNP00000033629	ENSCCNG00000031785	Castor_canadensis
ENSPEMP00000012647	ENSPEMG00000012920	Peromyscus_maniculatus_bairdii
ENSMOCP00000014581	ENSMOCG00000014041	Microtus_ochrogaster
ENSCGRP00015036255	ENSCGRG00015027173	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001016769	ENSCGRG00001017006	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000005182	ENSCGRG00000003797	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000007317	ENSMAUG00000009017	Mesocricetus_auratus
ENSMUSP00000044098	ENSMUSG00000032899	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000010042	ENSMSIG00000008773	Mus_spicilegus
