ENSCGRP00015012216	ENSCGRG00015009396	Cricetulus_griseus_CriGri-PICR
ENSPTRP00000071578	ENSPTRG00000046935	Pan_troglodytes
ENSLSDP00000016140	ENSLSDG00000011632	Lonchura_striata_domestica
ENSACAP00000010800	ENSACAG00000011018	Anolis_carolinensis
ENSUAMP00000002909	ENSUAMG00000002664	Ursus_americanus
ENSEBUP00000017028	ENSEBUG00000010659	Eptatretus_burgeri
ENSOGAP00000004990	ENSOGAG00000005579	Otolemur_garnettii
ENSACLP00000009052	ENSACLG00000006181	Astatotilapia_calliptera
ENSMAMP00000014650	ENSMAMG00000009919	Mastacembelus_armatus
ENSORLP00020027822	ENSORLG00020010938	Oryzias_latipes_ASM223471v1
ENSPTEP00000041937	ENSPTEG00000038332	Piliocolobus_tephrosceles
ENSATEP00000008304	ENSATEG00000005847	Anabas_testudineus
ENSSSCP00000047826	ENSSSCG00000035324	Sus_scrofa_strain_reference
ENSMLUP00000003788	ENSMLUG00000004165	Myotis_lucifugus
ENSATEP00000009300	ENSATEG00000006536	Anabas_testudineus
ENSAPOP00000027336	ENSAPOG00000011792	Acanthochromis_polyacanthus
ENSPFOP00000015394	ENSPFOG00000015347	Poecilia_formosa
ENSECRP00000008121	ENSECRG00000005418	Erpetoichthys_calabaricus	ENSECRT00000008253
ENSAPEP00000022755	ENSAPEG00000016214	Amphiprion_percula
ENSEASP00005002101	ENSEASG00005001656	Equus_asinus_asinus
ENSMZEP00005029624	ENSMZEG00005022094	Maylandia_zebra
ENSPMGP00000015522	ENSPMGG00000012718	Periophthalmus_magnuspinnatus
ENSSPUP00000003155	ENSSPUG00000002451	Sphenodon_punctatus
ENSMPUP00000009519	ENSMPUG00000009596	Mustela_putorius_furo
ENSPNYP00000012525	ENSPNYG00000009513	Pundamilia_nyererei
ENSSTOP00000015720	ENSSTOG00000025941	Ictidomys_tridecemlineatus
ENSMEUP00000014130	ENSMEUG00000015487	Notamacropus_eugenii
ENSCAFP00020006482	ENSCAFG00020005257	Canis_lupus_dingo
ENSHHUP00000019861	ENSHHUG00000012434	Hucho_hucho
ENSRNOP00000008951	ENSRNOG00000006846	Rattus_norvegicus
ENSPMJP00000006036	ENSPMJG00000005161	Parus_major
ENSCPOP00000020433	ENSCPOG00000024572	Cavia_porcellus
ENSHCOP00000009444	ENSHCOG00000011924	Hippocampus_comes
ENSCGOP00000004860	ENSCGOG00000002509	Cottoperca_gobio
ENSORLP00020030032	ENSORLG00020014272	Oryzias_latipes_ASM223471v1
ENSVURP00010011688	ENSVURG00010009048	Vombatus_ursinus
ENSMALP00000030689	ENSMALG00000021206	Monopterus_albus
ENSDNOP00000030088	ENSDNOG00000037306	Dasypus_novemcinctus
ENSSMRP00000018473	ENSSMRG00000014368	Salvator_merianae
ENSDARP00000028905	ENSDARG00000026599	Danio_rerio
ENSSLDP00000025404	ENSSLDG00000019738	Seriola_lalandi_dorsalis
ENSCJPP00005002876	ENSCJPG00005003153	Coturnix_japonica
ENSHGLP00100012035	ENSHGLG00100008918	Heterocephalus_glaber_HetGla_1.0
ENSXCOP00000015159	ENSXCOG00000011487	Xiphophorus_couchianus
ENSMZEP00005020539	ENSMZEG00005015410	Maylandia_zebra
ENSDCDP00000038191	ENSDCDG00000025689	Denticeps_clupeoides
ENSCSAP00000002789	ENSCSAG00000006501	Chlorocebus_sabaeus
ENSORLP00000010083	ENSORLG00000008039	Oryzias_latipes_ASM223467v1
ENSCJAP00000063262	ENSCJAG00000039807	Callithrix_jacchus
ENSAPOP00000016106	ENSAPOG00000019167	Acanthochromis_polyacanthus
ENSAPLP00000021574	ENSAPLG00000016775	Anas_platyrhynchos_platyrhynchos
ENSAMEP00000001283	ENSAMEG00000001224	Ailuropoda_melanoleuca
ENSTTRP00000012998	ENSTTRG00000013702	Tursiops_truncatus
ENSFALP00000007188	ENSFALG00000006888	Ficedula_albicollis
ENSFHEP00000014574	ENSFHEG00000016151	Fundulus_heteroclitus
ENSJJAP00000014402	ENSJJAG00000016874	Jaculus_jaculus
ENSTRUP00000045839	ENSTRUG00000017873	Takifugu_rubripes
ENSGACP00000005096	ENSGACG00000003888	Gasterosteus_aculeatus
ENSPSIP00000016682	ENSPSIG00000014871	Pelodiscus_sinensis
ENSLCRP00005062815	ENSLCRG00005023058	Larimichthys_crocea
ENSCPRP00005007417	ENSCPRG00005005248	Crocodylus_porosus
ENSCCAP00000035155	ENSCCAG00000035505	Cebus_capucinus_imitator
ENSRROP00000012660	ENSRROG00000030628	Rhinopithecus_roxellana
ENSORLP00000013077	ENSORLG00000010437	Oryzias_latipes_ASM223467v1
ENSSDUP00000005230	ENSSDUG00000003861	Seriola_dumerili
ENSCGRP00001019942	ENSCGRG00001019240	Cricetulus_griseus_CHOK1GS_HDv1
ENSHGLP00000008306	ENSHGLG00000006011	Heterocephalus_glaber_HetGla_female_1.0
ENSSPAP00000014813	ENSSPAG00000011166	Stegastes_partitus
ENSOANP00000009822	ENSOANG00000006149	Ornithorhynchus_anatinus
ENSPEMP00000030748	ENSPEMG00000027515	Peromyscus_maniculatus_bairdii
ENSGAGP00000009366	ENSGAGG00000007416	Gopherus_agassizii
ENSEEEP00000001533	ENSEEEG00000000993	Electrophorus_electricus	ENSEEET00000001568
MGP_PahariEiJ_P0048505	MGP_PahariEiJ_G0021810	Mus_pahari_strain_PAHARI_EIJ
ENSPMGP00000002084	ENSPMGG00000001861	Periophthalmus_magnuspinnatus
ENSNMEP00000007399	ENSNMEG00000007419	Numida_meleagris
ENSSDUP00000009142	ENSSDUG00000006720	Seriola_dumerili
ENSTNIP00000021310	ENSTNIG00000018144	Tetraodon_nigroviridis
ENSELUP00000004973	ENSELUG00000006065	Esox_lucius
ENSAMXP00005053704	ENSAMXG00005024053	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSMAMP00000005590	ENSMAMG00000003793	Mastacembelus_armatus
ENSCPGP00000006983	ENSCPGG00000005010	Calidris_pygmaea
ENSGWIP00000030180	ENSGWIG00000015724	Gouania_willdenowi
ENSCHAP00000061122	ENSCHAG00000027282	Clupea_harengus	ENSCHAT00000065788
ENSCSEP00000001451	ENSCSEG00000000982	Cynoglossus_semilaevis
ENSHHUP00000030434	ENSHHUG00000019387	Hucho_hucho	ENSHHUT00000031702
ENSGACP00000019023	ENSGACG00000014426	Gasterosteus_aculeatus
ENSJHYP00000006639	ENSJHYG00000005314	Junco_hyemalis
ENSGGOP00000025106	ENSGGOG00000022981	Gorilla_gorilla
ENSEBUP00000018749	ENSEBUG00000011699	Eptatretus_burgeri
ENSLACP00000001649	ENSLACG00000001475	Latimeria_chalumnae
ENSACLP00000041007	ENSACLG00000027625	Astatotilapia_calliptera
ENSOCUP00000002121	ENSOCUG00000002453	Oryctolagus_cuniculus
ENSGWIP00000030169	ENSGWIG00000015717	Gouania_willdenowi
ENSMAUP00000020232	ENSMAUG00000018311	Mesocricetus_auratus
ENSORLP00015027923	ENSORLG00015010287	Oryzias_latipes_ASM223469v1
ENSPVIP00000003961	ENSPVIG00000003232	Pogona_vitticeps
ENSOMEP00000002111	ENSOMEG00000003030	Oryzias_melastigma
ENSMOCP00000017145	ENSMOCG00000015841	Microtus_ochrogaster
ENSMMOP00000005643	ENSMMOG00000004444	Mola_mola
ENSMODP00000006129	ENSMODG00000004978	Monodelphis_domestica
ENSPLAP00000006698	ENSPLAG00000008897	Poecilia_latipinna
ENSMUSP00000036761	ENSMUSG00000039095	Mus_musculus_strain_reference_(CL57BL6)
ENSPMEP00000011356	ENSPMEG00000013421	Poecilia_mexicana
ENSLCRP00005037941	ENSLCRG00005014755	Larimichthys_crocea
ENSLCOP00000021526	ENSLCOG00000015230	Lepidothrix_coronata
ENSLAFP00000022144	ENSLAFG00000032115	Loxodonta_africana
ENSOMEP00000003462	ENSOMEG00000004380	Oryzias_melastigma
ENSFCAP00000042073	ENSFCAG00000044734	Felis_catus
ENSSPAP00000001534	ENSSPAG00000001183	Stegastes_partitus
ENSMICP00000039379	ENSMICG00000036243	Microcebus_murinus
ENSNPEP00000017159	ENSNPEG00000012778	Nothoprocta_perdicaria
ENSGAFP00000022270	ENSGAFG00000015042	Gambusia_affinis
ENSHCOP00000009334	ENSHCOG00000011750	Hippocampus_comes
ENSMFAP00000024170	ENSMFAG00000043679	Macaca_fascicularis
ENSCCNP00000012502	ENSCCNG00000012994	Castor_canadensis
ENSPKIP00000003407	ENSPKIG00000020924	Paramormyrops_kingsleyae	ENSPKIT00000027368
ENSKMAP00000022778	ENSKMAG00000016905	Kryptolebias_marmoratus
ENSPNAP00000013393	ENSPNAG00000019229	Pygocentrus_nattereri
ENSXMAP00000002495	ENSXMAG00000002496	Xiphophorus_maculatus
ENSLBEP00000023439	ENSLBEG00000017995	Labrus_bergylta
ENSBIXP00000040336	ENSBIXG00000004918	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCVAP00000020945	ENSCVAG00000002672	Cyprinodon_variegatus
ENSPCIP00000000494	ENSPCIG00000000313	Phascolarctos_cinereus
ENSHBUP00000013034	ENSHBUG00000014756	Haplochromis_burtoni
ENSAMXP00005005776	ENSAMXG00005003500	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSXETP00000041094	ENSXETG00000019195	Xenopus_tropicalis
ENSMNEP00000016177	ENSMNEG00000032127	Macaca_nemestrina
ENSTNIP00000015750	ENSTNIG00000012777	Tetraodon_nigroviridis
ENSCVAP00000006192	ENSCVAG00000007683	Cyprinodon_variegatus
ENSPANP00000006654	ENSPANG00000022097	Papio_anubis
ENSTGUP00000000705	ENSTGUG00000000695	Taeniopygia_guttata
ENSNGAP00000019607	ENSNGAG00000019365	Nannospalax_galili
ENSPTRP00000073091	ENSPTRG00000028339	Pan_troglodytes
ENSCATP00000010373	ENSCATG00000029457	Cercocebus_atys
ENSUPAP00010015284	ENSUPAG00010012234	Urocitellus_parryii
ENSLBEP00000011679	ENSLBEG00000009002	Labrus_bergylta
ENSMUGP00000004290	ENSMUGG00000003990	Meriones_unguiculatus
ENSBBBP00000004917	ENSBBBG00000008741	Bison_bison_bison
ENSMGAP00000018338	ENSMGAG00000012331	Meleagris_gallopavo
ENSCABP00000025000	ENSCABG00000018407	Chelonoidis_abingdonii
ENSCHIP00000016937	ENSCHIG00000017008	Capra_hircus
ENSOARP00000007199	ENSOARG00000006722	Ovis_aries
ENSUMAP00000019831	ENSUMAG00000014512	Ursus_maritimus
ENSEEEP00000019454	ENSEEEG00000009533	Electrophorus_electricus
ENSSFOP00015006356	ENSSFOG00015004175	Scleropages_formosus	ENSSFOT00015006456
ENSSMAP00000028123	ENSSMAG00000017219	Scophthalmus_maximus
ENSPCOP00000001498	ENSPCOG00000004831	Propithecus_coquereli
ENSIPUP00000008472	ENSIPUG00000005817	Ictalurus_punctatus
ENSETEP00000004068	ENSETEG00000004995	Echinops_telfairi
