ENSPPAP00000037310	ENSPPAG00000041409	Pan_paniscus
ENSCJPP00005014719	ENSCJPG00005012258	Coturnix_japonica
ENSUPAP00010009381	ENSUPAG00010007599	Urocitellus_parryii
ENSBIXP00005009879	ENSBIXG00005014665	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSUMAP00000018032	ENSUMAG00000013241	Ursus_maritimus
ENSVVUP00000017573	ENSVVUG00000012947	Vulpes_vulpes
ENSMUGP00000028506	ENSMUGG00000023635	Meriones_unguiculatus
ENSABRP00000016277	ENSABRG00000014280	Anser_brachyrhynchus
ENSOCUP00000003648	ENSOCUG00000004218	Oryctolagus_cuniculus
ENSMLUP00000002884	ENSMLUG00000003174	Myotis_lucifugus
ENSTTRP00000005261	ENSTTRG00000005577	Tursiops_truncatus
ENSZALP00000021159	ENSZALG00000016596	Zonotrichia_albicollis
ENSVPAP00000002270	ENSVPAG00000002457	Vicugna_pacos
ENSACAP00000012751	ENSACAG00000013008	Anolis_carolinensis	ENSACAT00000013007
ENSFCAP00000001187	ENSFCAG00000001278	Felis_catus
MGP_PahariEiJ_P0039013	MGP_PahariEiJ_G0018866	Mus_pahari_strain_PAHARI_EIJ
ENSBBBP00000003107	ENSBBBG00000012180	Bison_bison_bison
ENSCPUP00000016120	ENSCPUG00000011167	Calidris_pugnax
ENSTSYP00000000552	ENSTSYG00000000598	Carlito_syrichta
ENSLSDP00000019299	ENSLSDG00000013753	Lonchura_striata_domestica
ENSPCIP00000044016	ENSPCIG00000031240	Phascolarctos_cinereus
ENSUAMP00000001501	ENSUAMG00000001438	Ursus_americanus
ENSAPLP00000014201	ENSAPLG00000014377	Anas_platyrhynchos_platyrhynchos
ENSCCEP00000015506	ENSCCEG00000014677	Cyanistes_caeruleus
ENSPPRP00000022273	ENSPPRG00000012838	Panthera_pardus
ENSRNOP00000023977	ENSRNOG00000017819	Rattus_norvegicus
ENSMFAP00000012746	ENSMFAG00000025943	Macaca_fascicularis
ENSVURP00010022683	ENSVURG00010017392	Vombatus_ursinus
