ENSHHUP00000002218	ENSHHUG00000001438	Hucho_hucho	ENSHHUT00000002293
ENSHHUP00000018738	ENSHHUG00000011684	Hucho_hucho	ENSHHUT00000019413
ENSEEEP00000007629	ENSEEEG00000003989	Electrophorus_electricus	ENSEEET00000007735
ENSLAFP00000002803	ENSLAFG00000003368	Loxodonta_africana	ENSLAFT00000003368
ENSPCAP00000012102	ENSPCAG00000012954	Procavia_capensis	ENSPCAT00000012956
ENSETEP00000015739	ENSETEG00000019371	Echinops_telfairi	ENSETET00000019371
ENSCHOP00000001828	ENSCHOG00000002068	Choloepus_hoffmanni	ENSCHOT00000002077
ENSDNOP00000010480	ENSDNOG00000013498	Dasypus_novemcinctus	ENSDNOT00000013511
ENSPPAP00000026166	ENSPPAG00000036197	Pan_paniscus	ENSPPAT00000048999
ENSPTRP00000058601	ENSPTRG00000009361	Pan_troglodytes	ENSPTRT00000067020
ENSP00000377043	ENSG00000170703	Homo_sapiens
ENSGGOP00000001918	ENSGGOG00000001947	Gorilla_gorilla
ENSPPYP00000009989	ENSPPYG00000008906	Pongo_abelii
ENSNLEP00000003152	ENSNLEG00000002601	Nomascus_leucogenys
ENSTGEP00000036581	ENSTGEG00000029113	Theropithecus_gelada
ENSPANP00000020113	ENSPANG00000022885	Papio_anubis
ENSMLEP00000005320	ENSMLEG00000023683	Mandrillus_leucophaeus
ENSCATP00000011058	ENSCATG00000029768	Cercocebus_atys
ENSMMUP00000069747	ENSMMUG00000003436	Macaca_mulatta
ENSMFAP00000021208	ENSMFAG00000035518	Macaca_fascicularis
ENSMNEP00000022796	ENSMNEG00000035034	Macaca_nemestrina
ENSCSAP00000015535	ENSCSAG00000002511	Chlorocebus_sabaeus
ENSCANP00000006485	ENSCANG00000021665	Colobus_angolensis_palliatus
ENSPTEP00000034719	ENSPTEG00000032903	Piliocolobus_tephrosceles
ENSRROP00000042097	ENSRROG00000044208	Rhinopithecus_roxellana
ENSRBIP00000024040	ENSRBIG00000035925	Rhinopithecus_bieti
ENSCCAP00000027800	ENSCCAG00000031760	Cebus_capucinus_imitator
ENSSBOP00000024877	ENSSBOG00000028908	Saimiri_boliviensis_boliviensis
ENSCJAP00000013765	ENSCJAG00000007395	Callithrix_jacchus
ENSANAP00000026771	ENSANAG00000031133	Aotus_nancymaae
ENSTSYP00000012665	ENSTSYG00000013796	Carlito_syrichta
ENSPCOP00000018936	ENSPCOG00000021391	Propithecus_coquereli
ENSMICP00000006870	ENSMICG00000007549	Microcebus_murinus
ENSPSMP00000029131	ENSPSMG00000020243	Prolemur_simus
ENSOGAP00000010473	ENSOGAG00000011701	Otolemur_garnettii
ENSCGRP00015026565	ENSCGRG00015020103	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001018746	ENSCGRG00001018398	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000005502	ENSCGRG00000004028	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000024006	ENSMAUG00000020973	Mesocricetus_auratus
ENSMOCP00000024781	ENSMOCG00000021089	Microtus_ochrogaster
ENSPEMP00000025525	ENSPEMG00000021918	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0030834	MGP_SPRETEiJ_G0017868	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000127778	ENSMUSG00000038756	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000022264	ENSMSIG00000018881	Mus_spicilegus
MGP_CAROLIEiJ_P0029414	MGP_CAROLIEiJ_G0017022	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0036129	MGP_PahariEiJ_G0018152	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000006594	ENSRNOG00000004939	Rattus_norvegicus
ENSMUGP00000012937	ENSMUGG00000011206	Meriones_unguiculatus
ENSMUGP00000012543	ENSMUGG00000010868	Meriones_unguiculatus
ENSNGAP00000008920	ENSNGAG00000011763	Nannospalax_galili
ENSJJAP00000005336	ENSJJAG00000010253	Jaculus_jaculus
ENSCCNP00000005810	ENSCCNG00000006156	Castor_canadensis
ENSUPAP00010007799	ENSUPAG00010006267	Urocitellus_parryii
ENSSTOP00000005377	ENSSTOG00000006016	Ictidomys_tridecemlineatus
ENSMMMP00000001112	ENSMMMG00000001013	Marmota_marmota_marmota
ENSSDAP00000013360	ENSSDAG00000012019	Spermophilus_dauricus
ENSHGLP00000026985	ENSHGLG00000019187	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100015088	ENSHGLG00100011165	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000021412	ENSFDAG00000007723	Fukomys_damarensis
ENSCLAP00000019721	ENSCLAG00000013529	Chinchilla_lanigera
ENSODEP00000023381	ENSODEG00000017145	Octodon_degus
ENSCAPP00000010675	ENSCAPG00000011888	Cavia_aperea
ENSCPOP00000011254	ENSCPOG00000012509	Cavia_porcellus
ENSOCUP00000005436	ENSOCUG00000006289	Oryctolagus_cuniculus
ENSOPRP00000009252	ENSOPRG00000010130	Ochotona_princeps
ENSTBEP00000002686	ENSTBEG00000003108	Tupaia_belangeri
ENSBIXP00005028145	ENSBIXG00005029447	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000000900	ENSBMUG00000000753	Bos_mutus
ENSBIXP00000005689	ENSBIXG00000011849	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000056215	ENSBTAG00000009332	Bos_taurus
ENSBBBP00000025984	ENSBBBG00000021540	Bison_bison_bison
ENSOARP00000007274	ENSOARG00000006786	Ovis_aries
ENSCHIP00000026232	ENSCHIG00000022654	Capra_hircus
ENSSSCP00000018590	ENSSSCG00000017542	Sus_scrofa_strain_reference
ENSTTRP00000006921	ENSTTRG00000007316	Tursiops_truncatus
ENSVPAP00000007114	ENSVPAG00000007650	Vicugna_pacos
ENSSARP00000002434	ENSSARG00000002673	Sorex_araneus
ENSEEUP00000013431	ENSEEUG00000014728	Erinaceus_europaeus
ENSEASP00005000515	ENSEASG00005000438	Equus_asinus_asinus
ENSECAP00000048543	ENSECAG00000014417	Equus_caballus
ENSPVAP00000010824	ENSPVAG00000011483	Pteropus_vampyrus
ENSMLUP00000012795	ENSMLUG00000014065	Myotis_lucifugus
ENSUMAP00000021582	ENSUMAG00000015764	Ursus_maritimus
ENSUAMP00000003143	ENSUAMG00000002860	Ursus_americanus
ENSAMEP00000005286	ENSAMEG00000005000	Ailuropoda_melanoleuca
ENSMPUP00000015225	ENSMPUG00000015335	Mustela_putorius_furo
ENSNVIP00000007733	ENSNVIG00000006132	Neovison_vison
ENSCAFP00020029955	ENSCAFG00020023324	Canis_lupus_dingo
ENSCAFP00000024820	ENSCAFG00000016875	Canis_lupus_familiaris
ENSVVUP00000004308	ENSVVUG00000003393	Vulpes_vulpes
ENSPPRP00000008073	ENSPPRG00000003004	Panthera_pardus
ENSPTIP00000009551	ENSPTIG00000010570	Panthera_tigris_altaica
ENSFCAP00000009854	ENSFCAG00000010617	Felis_catus
ENSMEUP00000002402	ENSMEUG00000002630	Notamacropus_eugenii
ENSPCIP00000041371	ENSPCIG00000030247	Phascolarctos_cinereus
ENSMODP00000038498	ENSMODG00000025670	Monodelphis_domestica
ENSSHAP00000015718	ENSSHAG00000013396	Sarcophilus_harrisii
ENSOANP00000011638	ENSOANG00000007312	Ornithorhynchus_anatinus
ENSPVIP00000021673	ENSPVIG00000016450	Pogona_vitticeps
ENSACAP00000006247	ENSACAG00000006363	Anolis_carolinensis
ENSNSUP00000009732	ENSNSUG00000007439	Notechis_scutatus
ENSSMRP00000028396	ENSSMRG00000021833	Salvator_merianae
ENSSPUP00000008320	ENSSPUG00000006396	Sphenodon_punctatus
ENSCABP00000003620	ENSCABG00000002759	Chelonoidis_abingdonii
ENSGAGP00000003233	ENSGAGG00000002615	Gopherus_agassizii
ENSCPBP00000039691	ENSCPBG00000027332	Chrysemys_picta_bellii
ENSPSIP00000006977	ENSPSIG00000006379	Pelodiscus_sinensis
ENSCPRP00005010181	ENSCPRG00005007263	Crocodylus_porosus
ENSLACP00000018059	ENSLACG00000015912	Latimeria_chalumnae
