ENSXCOP00000017979	ENSXCOG00000013539	Xiphophorus_couchianus
ENSCVAP00000018773	ENSCVAG00000000816	Cyprinodon_variegatus
ENSAOCP00000030650	ENSAOCG00000021783	Amphiprion_ocellaris
ENSHHUP00000042447	ENSHHUG00000026140	Hucho_hucho
ENSAMXP00005035578	ENSAMXG00005017065	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSECRP00000028126	ENSECRG00000019049	Erpetoichthys_calabaricus
ENSNGAP00000020962	ENSNGAG00000020291	Nannospalax_galili
ENSNGAP00000016177	ENSNGAG00000016988	Nannospalax_galili
ENSMSIP00000022886	ENSMSIG00000019444	Mus_spicilegus
ENSPTEP00000003166	ENSPTEG00000003756	Piliocolobus_tephrosceles
ENSCANP00000019691	ENSCANG00000033292	Colobus_angolensis_palliatus
ENSRBIP00000016711	ENSRBIG00000032382	Rhinopithecus_bieti
ENSCJAP00000065671	ENSCJAG00000046933	Callithrix_jacchus
