ENSMEUP00000012505	ENSMEUG00000013696	Notamacropus_eugenii	ENSMEUT00000013746
ENSVURP00010017352	ENSVURG00010013248	Vombatus_ursinus	ENSVURT00010019708
ENSSHAP00000018705	ENSSHAG00000015879	Sarcophilus_harrisii	ENSSHAT00000018860
ENSMODP00000020105	ENSMODG00000016102	Monodelphis_domestica	ENSMODT00000020462
ENSMICP00000051595	ENSMICG00000048868	Microcebus_murinus	ENSMICT00000073064
ENSPCOP00000009170	ENSPCOG00000015937	Propithecus_coquereli	ENSPCOT00000019733
ENSPSMP00000035000	ENSPSMG00000024118	Prolemur_simus	ENSPSMT00000040360
ENSOGAP00000008468	ENSOGAG00000009457	Otolemur_garnettii	ENSOGAT00000009460
ENSPTRP00000089420	ENSPTRG00000015608	Pan_troglodytes	ENSPTRT00000111095
ENSPPAP00000020976	ENSPPAG00000033721	Pan_paniscus	ENSPPAT00000043775
ENSP00000325978	ENSG00000114248	Homo_sapiens	ENST00000316428
ENSGGOP00000032556	ENSGGOG00000007988	Gorilla_gorilla
ENSPPYP00000015964	ENSPPYG00000014283	Pongo_abelii
ENSNLEP00000006230	ENSNLEG00000005128	Nomascus_leucogenys
ENSPTEP00000035231	ENSPTEG00000033274	Piliocolobus_tephrosceles
ENSCANP00000003736	ENSCANG00000013246	Colobus_angolensis_palliatus
ENSRROP00000001969	ENSRROG00000007953	Rhinopithecus_roxellana
ENSRBIP00000014029	ENSRBIG00000031104	Rhinopithecus_bieti
ENSCATP00000011393	ENSCATG00000029917	Cercocebus_atys
ENSMLEP00000016257	ENSMLEG00000032313	Mandrillus_leucophaeus
ENSPANP00000004753	ENSPANG00000016721	Papio_anubis
ENSTGEP00000035019	ENSTGEG00000027907	Theropithecus_gelada
ENSMNEP00000034353	ENSMNEG00000040375	Macaca_nemestrina
ENSMFAP00000033732	ENSMFAG00000003366	Macaca_fascicularis
ENSMMUP00000028825	ENSMMUG00000021889	Macaca_mulatta
ENSCSAP00000008784	ENSCSAG00000012622	Chlorocebus_sabaeus
ENSSBOP00000025133	ENSSBOG00000029022	Saimiri_boliviensis_boliviensis
ENSCJAP00000004731	ENSCJAG00000002610	Callithrix_jacchus
ENSCCAP00000008817	ENSCCAG00000022156	Cebus_capucinus_imitator
ENSANAP00000028761	ENSANAG00000032184	Aotus_nancymaae
ENSSDAP00000005300	ENSSDAG00000004925	Spermophilus_dauricus
ENSUPAP00010026586	ENSUPAG00010021018	Urocitellus_parryii
ENSMMMP00000007973	ENSMMMG00000007135	Marmota_marmota_marmota
ENSSTOP00000013971	ENSSTOG00000015600	Ictidomys_tridecemlineatus
ENSCCNP00000001931	ENSCCNG00000002133	Castor_canadensis
ENSTBEP00000007840	ENSTBEG00000009051	Tupaia_belangeri
ENSBIXP00000040686	ENSBIXG00000024807	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005033910	ENSBIXG00005002090	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000020934	ENSBMUG00000015753	Bos_mutus
ENSCHIP00000020738	ENSCHIG00000019300	Capra_hircus
ENSOARP00000000606	ENSOARG00000000581	Ovis_aries
ENSTTRP00000001770	ENSTTRG00000001888	Tursiops_truncatus
ENSSSCP00000043710	ENSSSCG00000032225	Sus_scrofa_strain_reference
ENSNVIP00000017026	ENSNVIG00000013341	Neovison_vison
ENSMPUP00000016989	ENSMPUG00000017097	Mustela_putorius_furo
ENSAMEP00000004836	ENSAMEG00000004595	Ailuropoda_melanoleuca
ENSCAFP00000021737	ENSCAFG00000014735	Canis_lupus_familiaris
ENSVVUP00000000732	ENSVVUG00000000681	Vulpes_vulpes
ENSPPRP00000013197	ENSPPRG00000006481	Panthera_pardus
ENSPTIP00000011807	ENSPTIG00000012093	Panthera_tigris_altaica
ENSFCAP00000004065	ENSFCAG00000004403	Felis_catus
ENSMLUP00000004198	ENSMLUG00000004615	Myotis_lucifugus
ENSPVAP00000001647	ENSPVAG00000001744	Pteropus_vampyrus
ENSECAP00000010084	ENSECAG00000012330	Equus_caballus
ENSDNOP00000012362	ENSDNOG00000015945	Dasypus_novemcinctus
ENSCHOP00000004721	ENSCHOG00000005322	Choloepus_hoffmanni
ENSLAFP00000012371	ENSLAFG00000014773	Loxodonta_africana
ENSPCAP00000013164	ENSPCAG00000014096	Procavia_capensis
ENSMUSP00000120802	ENSMUSG00000074653	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000010018	ENSMSIG00000008769	Mus_spicilegus
MGP_CAROLIEiJ_P0057174	MGP_CAROLIEiJ_G0024904	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0068177	MGP_PahariEiJ_G0026349	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000034599	ENSRNOG00000027971	Rattus_norvegicus
ENSMUGP00000007832	ENSMUGG00000007090	Meriones_unguiculatus
ENSCGRP00000013178	ENSCGRG00000009585	Cricetulus_griseus_CriGri_1.0
ENSNGAP00000007996	ENSNGAG00000011091	Nannospalax_galili
ENSEEUP00000014064	ENSEEUG00000015410	Erinaceus_europaeus
ENSOANP00000005892	ENSOANG00000003718	Ornithorhynchus_anatinus
ENSCPGP00000010551	ENSCPGG00000007513	Calidris_pygmaea
ENSCPUP00000013469	ENSCPUG00000009536	Calidris_pugnax
ENSZALP00000006275	ENSZALG00000005749	Zonotrichia_albicollis
ENSMVIP00005024809	ENSMVIG00005017384	Manacus_vitellinus
ENSTGUP00000011330	ENSTGUG00000010993	Taeniopygia_guttata
ENSFALP00000008993	ENSFALG00000008620	Ficedula_albicollis
ENSCCEP00000006091	ENSCCEG00000006585	Cyanistes_caeruleus
ENSPMJP00000005577	ENSPMJG00000004849	Parus_major
ENSMGAP00000010648	ENSMGAG00000010272	Meleagris_gallopavo
ENSGALP00000038513	ENSGALG00000023616	Gallus_gallus
ENSCJPP00005022515	ENSCJPG00005017911	Coturnix_japonica
ENSNMEP00000019273	ENSNMEG00000016658	Numida_meleagris
ENSABRP00000012003	ENSABRG00000010788	Anser_brachyrhynchus
ENSAPLP00000007772	ENSAPLG00000008135	Anas_platyrhynchos_platyrhynchos
ENSAOWP00000023687	ENSAOWG00000015976	Apteryx_owenii
ENSAHAP00000020350	ENSAHAG00000014333	Apteryx_haastii
ENSARWP00000025470	ENSARWG00000017301	Apteryx_rowi
ENSDNVP00000014616	ENSDNVG00000010290	Dromaius_novaehollandiae
ENSCPRP00005013002	ENSCPRG00005009225	Crocodylus_porosus
ENSGAGP00000020692	ENSGAGG00000015240	Gopherus_agassizii
ENSPSIP00000015592	ENSPSIG00000013934	Pelodiscus_sinensis
ENSACAP00000015493	ENSACAG00000015767	Anolis_carolinensis
ENSPVIP00000026860	ENSPVIG00000019988	Pogona_vitticeps
ENSSMRP00000030857	ENSSMRG00000023661	Salvator_merianae
ENSXETP00000043365	ENSXETG00000018122	Xenopus_tropicalis
ENSLACP00000017892	ENSLACG00000015763	Latimeria_chalumnae
ENSAMXP00000004359	ENSAMXG00000004256	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005042187	ENSAMXG00005019705	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000023981	ENSPNAG00000008448	Pygocentrus_nattereri
ENSIPUP00000025297	ENSIPUG00000017113	Ictalurus_punctatus
ENSDARP00000138735	ENSDARG00000057392	Danio_rerio
ENSCHAP00000030372	ENSCHAG00000014557	Clupea_harengus
ENSDCDP00000063096	ENSDCDG00000035624	Denticeps_clupeoides
ENSTNIP00000007214	ENSTNIG00000004565	Tetraodon_nigroviridis
ENSTRUP00000015349	ENSTRUG00000006284	Takifugu_rubripes
ENSCSEP00000024529	ENSCSEG00000015669	Cynoglossus_semilaevis
ENSGWIP00000035481	ENSGWIG00000018310	Gouania_willdenowi
ENSXMAP00000011912	ENSXMAG00000011895	Xiphophorus_maculatus
ENSXCOP00000021139	ENSXCOG00000015812	Xiphophorus_couchianus
ENSGAFP00000006816	ENSGAFG00000004656	Gambusia_affinis
ENSPFOP00000009481	ENSPFOG00000009396	Poecilia_formosa
ENSPMEP00000020926	ENSPMEG00000024408	Poecilia_mexicana
ENSPLAP00000006382	ENSPLAG00000008498	Poecilia_latipinna
ENSPREP00000016445	ENSPREG00000011127	Poecilia_reticulata
ENSCVAP00000028730	ENSCVAG00000015983	Cyprinodon_variegatus
ENSFHEP00000024804	ENSFHEG00000000176	Fundulus_heteroclitus
ENSKMAP00000023363	ENSKMAG00000017336	Kryptolebias_marmoratus
ENSORLP00020028853	ENSORLG00020012547	Oryzias_latipes_ASM223471v1
ENSORLP00015027393	ENSORLG00015009433	Oryzias_latipes_ASM223469v1
ENSORLP00000043595	ENSORLG00000002722	Oryzias_latipes_ASM223467v1
ENSOMEP00000017923	ENSOMEG00000019633	Oryzias_melastigma
ENSBSLP00000049267	ENSBSLG00000023430	Betta_splendens
ENSMZEP00005027795	ENSMZEG00005020725	Maylandia_zebra
ENSACLP00000021822	ENSACLG00000014820	Astatotilapia_calliptera
ENSHBUP00000010177	ENSHBUG00000011717	Haplochromis_burtoni
ENSACLP00000017909	ENSACLG00000012249	Astatotilapia_calliptera
ENSMZEP00005038035	ENSMZEG00005028446	Maylandia_zebra
ENSACLP00000019327	ENSACLG00000013138	Astatotilapia_calliptera
ENSMZEP00005033240	ENSMZEG00005024809	Maylandia_zebra
ENSNBRP00000011531	ENSNBRG00000008983	Neolamprologus_brichardi
ENSONIP00000010375	ENSONIG00000008244	Oreochromis_niloticus
ENSACIP00000012355	ENSACIG00000009634	Amphilophus_citrinellus
ENSPRNP00000048417	ENSPRNG00000023209	Parambassis_ranga
ENSSLDP00000011178	ENSSLDG00000008895	Seriola_lalandi_dorsalis
ENSSDUP00000005343	ENSSDUG00000003953	Seriola_dumerili
ENSLCAP00010056839	ENSLCAG00010026530	Lates_calcarifer
ENSSMAP00000016677	ENSSMAG00000010225	Scophthalmus_maximus
ENSMALP00000024889	ENSMALG00000017327	Monopterus_albus
ENSMAMP00000013095	ENSMAMG00000008892	Mastacembelus_armatus
ENSATEP00000030986	ENSATEG00000021387	Anabas_testudineus
ENSLCRP00005030063	ENSLCRG00005011957	Larimichthys_crocea
ENSLBEP00000021439	ENSLBEG00000016465	Labrus_bergylta
ENSAOCP00000018204	ENSAOCG00000023369	Amphiprion_ocellaris
ENSAPEP00000006738	ENSAPEG00000004810	Amphiprion_percula
ENSAPOP00000021164	ENSAPOG00000001568	Acanthochromis_polyacanthus
ENSSPAP00000022865	ENSSPAG00000017266	Stegastes_partitus
ENSGACP00000016749	ENSGACG00000012676	Gasterosteus_aculeatus
ENSGMOP00000004552	ENSGMOG00000004302	Gadus_morhua
ENSHHUP00000003403	ENSHHUG00000002156	Hucho_hucho
ENSELUP00000012771	ENSELUG00000012983	Esox_lucius
ENSPMGP00000013556	ENSPMGG00000011143	Periophthalmus_magnuspinnatus
ENSPKIP00000040936	ENSPKIG00000017690	Paramormyrops_kingsleyae
ENSSFOP00015012425	ENSSFOG00015008027	Scleropages_formosus
ENSLOCP00000008671	ENSLOCG00000007167	Lepisosteus_oculatus
ENSECRP00000010607	ENSECRG00000007064	Erpetoichthys_calabaricus
ENSCMIP00000017774	ENSCMIG00000008437	Callorhinchus_milii
