ENSPVAP00000016654	ENSPVAG00000017655	Pteropus_vampyrus
ENSMLUP00000020364	ENSMLUG00000024118	Myotis_lucifugus
ENSECAP00000016967	ENSECAG00000019495	Equus_caballus
ENSEASP00005011237	ENSEASG00005007907	Equus_asinus_asinus
ENSUMAP00000009055	ENSUMAG00000006856	Ursus_maritimus
ENSUAMP00000026314	ENSUAMG00000020402	Ursus_americanus
ENSAMEP00000004858	ENSAMEG00000004616	Ailuropoda_melanoleuca
ENSMPUP00000000778	ENSMPUG00000000780	Mustela_putorius_furo
ENSNVIP00000013954	ENSNVIG00000010983	Neovison_vison
ENSCAFP00000038034	ENSCAFG00000030133	Canis_lupus_familiaris
ENSCAFP00020026226	ENSCAFG00020020595	Canis_lupus_dingo
ENSPPRP00000009800	ENSPPRG00000004147	Panthera_pardus
ENSPTIP00000016082	ENSPTIG00000014969	Panthera_tigris_altaica
ENSFCAP00000043313	ENSFCAG00000044655	Felis_catus
ENSOARP00000011797	ENSOARG00000011004	Ovis_aries	ENSOART00000011969
ENSCHIP00000033557	ENSCHIG00000027076	Capra_hircus	ENSCHIT00000041436
ENSBIXP00000043320	ENSBIXG00000005756	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005020087	ENSBIXG00005023212	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000041118	ENSBTAG00000030809	Bos_taurus
ENSTTRP00000008957	ENSTTRG00000009449	Tursiops_truncatus
ENSSSCP00000004113	ENSSSCG00000003803	Sus_scrofa_strain_reference
ENSEEUP00000010752	ENSEEUG00000011785	Erinaceus_europaeus
ENSSARP00000003568	ENSSARG00000003930	Sorex_araneus
ENSMMMP00000013695	ENSMMMG00000012198	Marmota_marmota_marmota
ENSUPAP00010017407	ENSUPAG00010013858	Urocitellus_parryii
ENSCGRP00000014499	ENSCGRG00000010493	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001021913	ENSCGRG00001020618	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000004223	ENSMAUG00000005226	Mesocricetus_auratus
ENSPEMP00000011859	ENSPEMG00000012355	Peromyscus_maniculatus_bairdii
ENSMOCP00000012901	ENSMOCG00000012861	Microtus_ochrogaster
ENSMSIP00000010941	ENSMSIG00000009567	Mus_spicilegus
MGP_SPRETEiJ_P0065717	MGP_SPRETEiJ_G0027189	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000030245	ENSMUSG00000028520	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0063234	MGP_CAROLIEiJ_G0026220	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0078357	MGP_PahariEiJ_G0028556	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000035060	ENSRNOG00000022890	Rattus_norvegicus
ENSCLAP00000008381	ENSCLAG00000005867	Chinchilla_lanigera
ENSCPOP00000017624	ENSCPOG00000027017	Cavia_porcellus
ENSOCUP00000018250	ENSOCUG00000012268	Oryctolagus_cuniculus
ENSOPRP00000010404	ENSOPRG00000011407	Ochotona_princeps
ENSTBEP00000002904	ENSTBEG00000003370	Tupaia_belangeri
ENSPTRP00000052214	ENSPTRG00000030574	Pan_troglodytes
ENSPPAP00000005621	ENSPPAG00000023141	Pan_paniscus
ENSGGOP00000002588	ENSGGOG00000002630	Gorilla_gorilla
ENSP00000360046	ENSG00000203963	Homo_sapiens
ENSPPYP00000001465	ENSPPYG00000001259	Pongo_abelii
ENSNLEP00000025144	ENSNLEG00000034319	Nomascus_leucogenys
ENSRROP00000034690	ENSRROG00000040890	Rhinopithecus_roxellana
ENSRBIP00000016742	ENSRBIG00000032392	Rhinopithecus_bieti
ENSPTEP00000012252	ENSPTEG00000013769	Piliocolobus_tephrosceles
ENSCANP00000008761	ENSCANG00000027793	Colobus_angolensis_palliatus
ENSTGEP00000017319	ENSTGEG00000013996	Theropithecus_gelada
ENSPANP00000006025	ENSPANG00000010612	Papio_anubis
ENSMNEP00000030285	ENSMNEG00000038606	Macaca_nemestrina
ENSMFAP00000025269	ENSMFAG00000044140	Macaca_fascicularis
ENSMMUP00000043790	ENSMMUG00000000647	Macaca_mulatta
ENSMLEP00000016456	ENSMLEG00000032420	Mandrillus_leucophaeus
ENSCATP00000013211	ENSCATG00000030751	Cercocebus_atys
ENSCSAP00000016655	ENSCSAG00000001362	Chlorocebus_sabaeus
ENSSBOP00000008048	ENSSBOG00000020938	Saimiri_boliviensis_boliviensis
ENSCCAP00000039798	ENSCCAG00000037706	Cebus_capucinus_imitator
ENSCJAP00000032051	ENSCJAG00000017398	Callithrix_jacchus
ENSANAP00000024258	ENSANAG00000029861	Aotus_nancymaae
ENSTSYP00000005340	ENSTSYG00000005843	Carlito_syrichta
ENSPSMP00000007464	ENSPSMG00000005542	Prolemur_simus
ENSPCOP00000015397	ENSPCOG00000019432	Propithecus_coquereli
ENSMICP00000004087	ENSMICG00000004483	Microcebus_murinus
ENSLAFP00000017725	ENSLAFG00000022401	Loxodonta_africana
ENSPCAP00000004062	ENSPCAG00000004358	Procavia_capensis
ENSETEP00000003746	ENSETEG00000004582	Echinops_telfairi
ENSCHOP00000012197	ENSCHOG00000013779	Choloepus_hoffmanni
ENSDNOP00000025851	ENSDNOG00000031369	Dasypus_novemcinctus
