ENSSPAP00000002836	ENSSPAG00000002178	Stegastes_partitus	ENSSPAT00000002879
ENSSPAP00000014379	ENSSPAG00000010849	Stegastes_partitus	ENSSPAT00000014620
ENSAOCP00000031987	ENSAOCG00000024028	Amphiprion_ocellaris	ENSAOCT00000028477
ENSAPEP00000018714	ENSAPEG00000013330	Amphiprion_percula	ENSAPET00000019228
ENSAPOP00000030013	ENSAPOG00000016396	Acanthochromis_polyacanthus	ENSAPOT00000021694
ENSBSLP00000055204	ENSBSLG00000025647	Betta_splendens
ENSMALP00000022668	ENSMALG00000015806	Monopterus_albus
ENSMAMP00000009982	ENSMAMG00000006677	Mastacembelus_armatus
ENSATEP00000028689	ENSATEG00000019751	Anabas_testudineus
ENSTRUP00000020903	ENSTRUG00000008349	Takifugu_rubripes
ENSTNIP00000017903	ENSTNIG00000014861	Tetraodon_nigroviridis
ENSMMOP00000027804	ENSMMOG00000021018	Mola_mola
ENSLCRP00005060165	ENSLCRG00005022225	Larimichthys_crocea
ENSGACP00000021975	ENSGACG00000016643	Gasterosteus_aculeatus
ENSCGOP00000011505	ENSCGOG00000004942	Cottoperca_gobio
ENSLBEP00000018141	ENSLBEG00000013943	Labrus_bergylta
ENSSLDP00000028734	ENSSLDG00000022193	Seriola_lalandi_dorsalis
ENSSDUP00000011805	ENSSDUG00000008589	Seriola_dumerili
ENSLCAP00010053409	ENSLCAG00010024649	Lates_calcarifer
ENSPRNP00000056202	ENSPRNG00000026275	Parambassis_ranga
ENSGWIP00000038583	ENSGWIG00000018817	Gouania_willdenowi
ENSMZEP00005032642	ENSMZEG00005024318	Maylandia_zebra
ENSPNYP00000007511	ENSPNYG00000005728	Pundamilia_nyererei
ENSHBUP00000026005	ENSHBUG00000008437	Haplochromis_burtoni
ENSACLP00000011983	ENSACLG00000008126	Astatotilapia_calliptera
ENSNBRP00000018650	ENSNBRG00000014296	Neolamprologus_brichardi
ENSONIP00000023253	ENSONIG00000018471	Oreochromis_niloticus
ENSACIP00000026674	ENSACIG00000020634	Amphilophus_citrinellus
ENSSMAP00000020952	ENSSMAG00000012787	Scophthalmus_maximus
ENSCSEP00000026401	ENSCSEG00000016832	Cynoglossus_semilaevis
ENSFHEP00000023310	ENSFHEG00000004272	Fundulus_heteroclitus
ENSCVAP00000002508	ENSCVAG00000003638	Cyprinodon_variegatus
ENSXMAP00000020932	ENSXMAG00000000852	Xiphophorus_maculatus
ENSXCOP00000025830	ENSXCOG00000019305	Xiphophorus_couchianus
ENSGAFP00000031080	ENSGAFG00000020954	Gambusia_affinis
ENSPMEP00000026574	ENSPMEG00000010384	Poecilia_mexicana
ENSPFOP00000002285	ENSPFOG00000001905	Poecilia_formosa
ENSPLAP00000010554	ENSPLAG00000013551	Poecilia_latipinna
ENSPREP00000015051	ENSPREG00000010140	Poecilia_reticulata
ENSKMAP00000027068	ENSKMAG00000020084	Kryptolebias_marmoratus
ENSORLP00000041269	ENSORLG00000003950	Oryzias_latipes_ASM223467v1
ENSORLP00015026227	ENSORLG00015007785	Oryzias_latipes_ASM223469v1
ENSORLP00020004142	ENSORLG00020004975	Oryzias_latipes_ASM223471v1
ENSOMEP00000019262	ENSOMEG00000021123	Oryzias_melastigma
ENSPMGP00000002392	ENSPMGG00000002002	Periophthalmus_magnuspinnatus
ENSGMOP00000013211	ENSGMOG00000012345	Gadus_morhua
ENSHHUP00000059192	ENSHHUG00000035180	Hucho_hucho
ENSHHUP00000059193	ENSHHUG00000035184	Hucho_hucho
ENSHHUP00000018894	ENSHHUG00000011778	Hucho_hucho
ENSHHUP00000026159	ENSHHUG00000016562	Hucho_hucho
ENSELUP00000029899	ENSELUG00000006963	Esox_lucius
ENSHHUP00000074993	ENSHHUG00000043946	Hucho_hucho
ENSAMXP00000048102	ENSAMXG00000011998	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005051006	ENSAMXG00005023068	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000029045	ENSPNAG00000014966	Pygocentrus_nattereri
ENSIPUP00000025922	ENSIPUG00000017496	Ictalurus_punctatus
ENSEEEP00000048244	ENSEEEG00000022715	Electrophorus_electricus
ENSDARP00000090875	ENSDARG00000069029	Danio_rerio
ENSCHAP00000050871	ENSCHAG00000023037	Clupea_harengus
ENSDCDP00000060098	ENSDCDG00000034543	Denticeps_clupeoides
ENSPKIP00000026055	ENSPKIG00000008671	Paramormyrops_kingsleyae
ENSSFOP00015020722	ENSSFOG00015013300	Scleropages_formosus
ENSLOCP00000003108	ENSLOCG00000002610	Lepisosteus_oculatus
ENSECRP00000009626	ENSECRG00000006456	Erpetoichthys_calabaricus
ENSXETP00000031423	ENSXETG00000011628	Xenopus_tropicalis
