ENSELUP00000016444	ENSELUG00000016247	Esox_lucius
ENSHHUP00000014059	ENSHHUG00000008586	Hucho_hucho
ENSAOCP00000006365	ENSAOCG00000010018	Amphiprion_ocellaris
ENSAPEP00000018862	ENSAPEG00000013438	Amphiprion_percula
ENSAPOP00000026046	ENSAPOG00000009597	Acanthochromis_polyacanthus
ENSSPAP00000010925	ENSSPAG00000008297	Stegastes_partitus
ENSPRNP00000021931	ENSPRNG00000010826	Parambassis_ranga
ENSXMAP00000020912	ENSXMAG00000012893	Xiphophorus_maculatus
ENSXCOP00000019211	ENSXCOG00000014437	Xiphophorus_couchianus
ENSGAFP00000015554	ENSGAFG00000010492	Gambusia_affinis
ENSPFOP00000004412	ENSPFOG00000004443	Poecilia_formosa
ENSPMEP00000028788	ENSPMEG00000014064	Poecilia_mexicana
ENSPREP00000000561	ENSPREG00000000420	Poecilia_reticulata
ENSPLAP00000024528	ENSPLAG00000010802	Poecilia_latipinna
ENSFHEP00000008228	ENSFHEG00000009440	Fundulus_heteroclitus
ENSCVAP00000032890	ENSCVAG00000023320	Cyprinodon_variegatus
ENSKMAP00000025141	ENSKMAG00000018627	Kryptolebias_marmoratus
ENSOMEP00000011867	ENSOMEG00000013195	Oryzias_melastigma
ENSORLP00015023656	ENSORLG00015003750	Oryzias_latipes_ASM223469v1
ENSGWIP00000013927	ENSGWIG00000007891	Gouania_willdenowi
ENSACLP00000030211	ENSACLG00000020456	Astatotilapia_calliptera
ENSMZEP00005010053	ENSMZEG00005007598	Maylandia_zebra
ENSPNYP00000001865	ENSPNYG00000001464	Pundamilia_nyererei
ENSHBUP00000032332	ENSHBUG00000018567	Haplochromis_burtoni
ENSNBRP00000031313	ENSNBRG00000023782	Neolamprologus_brichardi
ENSONIP00000022346	ENSONIG00000017723	Oreochromis_niloticus
ENSACIP00000011896	ENSACIG00000009273	Amphilophus_citrinellus
ENSMALP00000008543	ENSMALG00000006076	Monopterus_albus
ENSMAMP00000017323	ENSMAMG00000011734	Mastacembelus_armatus
ENSATEP00000027993	ENSATEG00000019353	Anabas_testudineus
ENSBSLP00000005246	ENSBSLG00000002718	Betta_splendens
ENSSDUP00000003073	ENSSDUG00000002348	Seriola_dumerili
ENSSLDP00000016348	ENSSLDG00000012965	Seriola_lalandi_dorsalis
ENSSMAP00000007289	ENSSMAG00000004382	Scophthalmus_maximus
ENSLCAP00010011686	ENSLCAG00010005528	Lates_calcarifer
ENSTRUP00000048578	ENSTRUG00000010552	Takifugu_rubripes
ENSTNIP00000017073	ENSTNIG00000014066	Tetraodon_nigroviridis
ENSMMOP00000028284	ENSMMOG00000021379	Mola_mola
ENSLCRP00005049419	ENSLCRG00005018602	Larimichthys_crocea
ENSLBEP00000006657	ENSLBEG00000005125	Labrus_bergylta
ENSCGOP00000003042	ENSCGOG00000001549	Cottoperca_gobio
ENSGACP00000025107	ENSGACG00000018992	Gasterosteus_aculeatus
ENSHCOP00000016727	ENSHCOG00000020514	Hippocampus_comes
ENSPMGP00000020301	ENSPMGG00000016437	Periophthalmus_magnuspinnatus
ENSCHAP00000010264	ENSCHAG00000005886	Clupea_harengus
ENSDCDP00000015331	ENSDCDG00000012134	Denticeps_clupeoides
ENSCMIP00000039126	ENSCMIG00000016401	Callorhinchus_milii
ENSCABP00000012002	ENSCABG00000008971	Chelonoidis_abingdonii
ENSGAGP00000020963	ENSGAGG00000015404	Gopherus_agassizii
ENSCPBP00000041248	ENSCPBG00000028303	Chrysemys_picta_bellii
ENSPSIP00000005517	ENSPSIG00000005100	Pelodiscus_sinensis
ENSSPUP00000023077	ENSSPUG00000017719	Sphenodon_punctatus
ENSSMRP00000018731	ENSSMRG00000014579	Salvator_merianae
ENSNSUP00000008467	ENSNSUG00000006556	Notechis_scutatus
ENSACAP00000005520	ENSACAG00000005628	Anolis_carolinensis
ENSPVIP00000008876	ENSPVIG00000007115	Pogona_vitticeps
ENSCPGP00000003824	ENSCPGG00000002835	Calidris_pygmaea
ENSCPUP00000002076	ENSCPUG00000001596	Calidris_pugnax
ENSMUNP00000002276	ENSMUNG00000002019	Melopsittacus_undulatus	ENSMUNT00000002698
ENSLCOP00000018288	ENSLCOG00000012925	Lepidothrix_coronata
ENSMVIP00005022737	ENSMVIG00005015957	Manacus_vitellinus
ENSLSDP00000003536	ENSLSDG00000002702	Lonchura_striata_domestica
ENSTGUP00000004760	ENSTGUG00000004615	Taeniopygia_guttata
ENSSCAP00000016260	ENSSCAG00000011903	Serinus_canaria
ENSZALP00000019317	ENSZALG00000015341	Zonotrichia_albicollis
ENSJHYP00000022119	ENSJHYG00000016687	Junco_hyemalis
ENSFALP00000002772	ENSFALG00000002660	Ficedula_albicollis
