ENSATEP00000010461	ENSATEG00000007193	Anabas_testudineus
ENSFDAP00000023405	ENSFDAG00000021551	Fukomys_damarensis
ENSMFAP00000044249	ENSMFAG00000039407	Macaca_fascicularis
FBpp0302017	FBgn0263705	Drosophila_melanogaster
ENSACAP00000009488	ENSACAG00000009689	Anolis_carolinensis
ENSPVAP00000005458	ENSPVAG00000005773	Pteropus_vampyrus
ENSEBUP00000015446	ENSEBUG00000009738	Eptatretus_burgeri	ENSEBUT00000016022
ENSMSIP00000023229	ENSMSIG00000019216	Mus_spicilegus
ENSTGUP00000008768	ENSTGUG00000008499	Taeniopygia_guttata
ENSKMAP00000011422	ENSKMAG00000008445	Kryptolebias_marmoratus
ENSPLAP00000013619	ENSPLAG00000017233	Poecilia_latipinna
ENSSCAP00000001795	ENSSCAG00000001437	Serinus_canaria
ENSRBIP00000004881	ENSRBIG00000022048	Rhinopithecus_bieti
ENSANAP00000019166	ENSANAG00000027388	Aotus_nancymaae
ENSDARP00000121803	ENSDARG00000078474	Danio_rerio
ENSCMIP00000043210	ENSCMIG00000017935	Callorhinchus_milii
ENSSSCP00000058962	ENSSSCG00000034198	Sus_scrofa_strain_reference
ENSGACP00000020146	ENSGACG00000015269	Gasterosteus_aculeatus
ENSCAPP00000002665	ENSCAPG00000005456	Cavia_aperea
ENSACIP00000020928	ENSACIG00000016175	Amphilophus_citrinellus
ENSPMAP00000008985	ENSPMAG00000008155	Petromyzon_marinus
MGP_CAROLIEiJ_P0027031	MGP_CAROLIEiJ_G0016457	Mus_caroli_strain_CAROLI_EIJ
ENSRNOP00000071821	ENSRNOG00000059219	Rattus_norvegicus
ENSXETP00000003748	ENSXETG00000004405	Xenopus_tropicalis
ENSP00000495481	ENSG00000091536	Homo_sapiens
ENSHGLP00000009457	ENSHGLG00000006788	Heterocephalus_glaber_HetGla_female_1.0
ENSGMOP00000008258	ENSGMOG00000007696	Gadus_morhua
ENSMLUP00000001202	ENSMLUG00000001272	Myotis_lucifugus
ENSFALP00000014349	ENSFALG00000013748	Ficedula_albicollis
ENSORLP00020025564	ENSORLG00020007544	Oryzias_latipes_ASM223471v1
ENSCPRP00005006426	ENSCPRG00005004593	Crocodylus_porosus
ENSCJPP00005002467	ENSCJPG00005002728	Coturnix_japonica
ENSONIP00000003988	ENSONIG00000003182	Oreochromis_niloticus
ENSJJAP00000007500	ENSJJAG00000011764	Jaculus_jaculus
ENSEASP00005025832	ENSEASG00005017630	Equus_asinus_asinus
ENSXMAP00000015530	ENSXMAG00000015490	Xiphophorus_maculatus
ENSXMAP00000001425	ENSXMAG00000001416	Xiphophorus_maculatus
ENSPSIP00000004286	ENSPSIG00000004008	Pelodiscus_sinensis
ENSCATP00000014488	ENSCATG00000031175	Cercocebus_atys
ENSJHYP00000008216	ENSJHYG00000006262	Junco_hyemalis
ENSXETP00000048032	ENSXETG00000018071	Xenopus_tropicalis
ENSMAUP00000018396	ENSMAUG00000016878	Mesocricetus_auratus
