ENSPCAP00000009181	ENSPCAG00000009880	Procavia_capensis	ENSPCAT00000009841
ENSLAFP00000015897	ENSLAFG00000007225	Loxodonta_africana	ENSLAFT00000007224
ENSDNOP00000016559	ENSDNOG00000025508	Dasypus_novemcinctus	ENSDNOT00000024731
ENSMMUP00000052009	ENSMMUG00000043912	Macaca_mulatta	ENSMMUT00000061742
ENSMNEP00000012944	ENSMNEG00000030744	Macaca_nemestrina	ENSMNET00000037143
ENSMFAP00000025907	ENSMFAG00000044426	Macaca_fascicularis	ENSMFAT00000034062
ENSPANP00000008207	ENSPANG00000021144	Papio_anubis	ENSPANT00000016032
ENSTGEP00000007829	ENSTGEG00000006421	Theropithecus_gelada	ENSTGET00000009432
ENSMLEP00000036897	ENSMLEG00000042558	Mandrillus_leucophaeus	ENSMLET00000060502
ENSCATP00000028016	ENSCATG00000037339	Cercocebus_atys	ENSCATT00000052265
ENSCSAP00000000305	ENSCSAG00000003943	Chlorocebus_sabaeus	ENSCSAT00000001971
ENSRBIP00000029515	ENSRBIG00000038642	Rhinopithecus_bieti	ENSRBIT00000053466
ENSRROP00000010757	ENSRROG00000029770	Rhinopithecus_roxellana	ENSRROT00000034856
ENSPTEP00000013979	ENSPTEG00000015629	Piliocolobus_tephrosceles	ENSPTET00000020978
ENSCANP00000002164	ENSCANG00000008267	Colobus_angolensis_palliatus
ENSPPAP00000010724	ENSPPAG00000028573	Pan_paniscus
ENSPTRP00000059690	ENSPTRG00000031170	Pan_troglodytes
ENSP00000384117	ENSG00000159761	Homo_sapiens
ENSGGOP00000003822	ENSGGOG00000003897	Gorilla_gorilla
ENSNLEP00000005868	ENSNLEG00000004840	Nomascus_leucogenys
ENSCCAP00000010147	ENSCCAG00000022817	Cebus_capucinus_imitator
ENSSBOP00000025322	ENSSBOG00000029131	Saimiri_boliviensis_boliviensis
ENSCJAP00000029607	ENSCJAG00000016084	Callithrix_jacchus
ENSANAP00000022277	ENSANAG00000028908	Aotus_nancymaae
ENSTSYP00000011325	ENSTSYG00000012342	Carlito_syrichta
ENSPSMP00000014050	ENSPSMG00000010079	Prolemur_simus
ENSMICP00000033511	ENSMICG00000029986	Microcebus_murinus
ENSPCOP00000010499	ENSPCOG00000016718	Propithecus_coquereli
ENSOGAP00000017869	ENSOGAG00000032116	Otolemur_garnettii
ENSHGLP00000016922	ENSHGLG00000012096	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100018192	ENSHGLG00100013408	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000018912	ENSFDAG00000009498	Fukomys_damarensis
ENSCLAP00000008517	ENSCLAG00000005955	Chinchilla_lanigera
ENSODEP00000021146	ENSODEG00000015580	Octodon_degus
ENSCAPP00000007922	ENSCAPG00000009734	Cavia_aperea
ENSCPOP00000019820	ENSCPOG00000027376	Cavia_porcellus
ENSSTOP00000019606	ENSSTOG00000019639	Ictidomys_tridecemlineatus
ENSMMMP00000016781	ENSMMMG00000014934	Marmota_marmota_marmota
ENSUPAP00010000937	ENSUPAG00010000804	Urocitellus_parryii
ENSSDAP00000019451	ENSSDAG00000017730	Spermophilus_dauricus
ENSMUSP00000013302	ENSMUSG00000013158	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000019622	ENSMSIG00000016691	Mus_spicilegus
MGP_SPRETEiJ_P0089337	MGP_SPRETEiJ_G0032611	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0085838	MGP_CAROLIEiJ_G0031493	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0054091	MGP_PahariEiJ_G0023093	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000024125	ENSRNOG00000017867	Rattus_norvegicus
ENSMUGP00000019894	ENSMUGG00000016816	Meriones_unguiculatus
ENSCGRP00015010067	ENSCGRG00015007739	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000012268	ENSCGRG00000008933	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001023239	ENSCGRG00001021520	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000021952	ENSMAUG00000019530	Mesocricetus_auratus
ENSMOCP00000020520	ENSMOCG00000018173	Microtus_ochrogaster
ENSPEMP00000019982	ENSPEMG00000018093	Peromyscus_maniculatus_bairdii
ENSNGAP00000014212	ENSNGAG00000015590	Nannospalax_galili
ENSJJAP00000013273	ENSJJAG00000016092	Jaculus_jaculus
ENSCCNP00000014453	ENSCCNG00000014940	Castor_canadensis
ENSOCUP00000007805	ENSOCUG00000009036	Oryctolagus_cuniculus
ENSBIXP00000032933	ENSBIXG00000002358	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005040114	ENSBIXG00005006934	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000053901	ENSBTAG00000018906	Bos_taurus
