ENSMAMP00000012573	ENSMAMG00000008438	Mastacembelus_armatus
ENSDNVP00000004024	ENSDNVG00000002856	Dromaius_novaehollandiae
ENSCCAP00000025243	ENSCCAG00000029303	Cebus_capucinus_imitator
ENSNGAP00000020105	ENSNGAG00000019703	Nannospalax_galili
ENSGMOP00000004622	ENSGMOG00000004298	Gadus_morhua
ENSBBBP00000012082	ENSBBBG00000005434	Bison_bison_bison
MGP_CAROLIEiJ_P0035754	MGP_CAROLIEiJ_G0018998	Mus_caroli_strain_CAROLI_EIJ
ENSBSLP00000048082	ENSBSLG00000021426	Betta_splendens
ENSCGRP00001012007	ENSCGRG00001013510	Cricetulus_griseus_CHOK1GS_HDv1
ENSUAMP00000019164	ENSUAMG00000015137	Ursus_americanus
ENSCAFP00000046968	ENSCAFG00000014971	Canis_lupus_familiaris
ENSAHAP00000017459	ENSAHAG00000011222	Apteryx_haastii
ENSKMAP00000019121	ENSKMAG00000014137	Kryptolebias_marmoratus
ENSGAFP00000014983	ENSGAFG00000010104	Gambusia_affinis
ENSMLUP00000022271	ENSMLUG00000028244	Myotis_lucifugus
ENSBIXP00005034167	ENSBIXG00005002210	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMVIP00005023265	ENSMVIG00005016210	Manacus_vitellinus
ENSCAPP00000018061	ENSCAPG00000017554	Cavia_aperea	ENSCAPT00000021870
ENSP00000381693	ENSG00000214655	Homo_sapiens
ENSAMXP00005025376	ENSAMXG00005009446	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCAFP00020025556	ENSCAFG00020018623	Canis_lupus_dingo
ENSNBRP00000024425	ENSNBRG00000018681	Neolamprologus_brichardi
ENSTRUP00000008319	ENSTRUG00000003544	Takifugu_rubripes
ENSFCAP00000015664	ENSFCAG00000018535	Felis_catus
ENSCGRP00015021848	ENSCGRG00015016455	Cricetulus_griseus_CriGri-PICR
ENSPREP00000011820	ENSPREG00000008007	Poecilia_reticulata
ENSCJPP00005018314	ENSCJPG00005014483	Coturnix_japonica
ENSOMEP00000031658	ENSOMEG00000016679	Oryzias_melastigma
ENSUPAP00010012991	ENSUPAG00010010484	Urocitellus_parryii
ENSPTRP00000056825	ENSPTRG00000034304	Pan_troglodytes
ENSGWIP00000037478	ENSGWIG00000018818	Gouania_willdenowi
