ENSPPAP00000004938	ENSPPAG00000020679	Pan_paniscus	ENSPPAT00000022668
ENSPTRP00000079770	ENSPTRG00000043926	Pan_troglodytes	ENSPTRT00000093956
ENSGGOP00000051442	ENSGGOG00000040445	Gorilla_gorilla	ENSGGOT00000050876
ENSPTRP00000083461	ENSPTRG00000044034	Pan_troglodytes	ENSPTRT00000100335
ENSRBIP00000007081	ENSRBIG00000027380	Rhinopithecus_bieti	ENSRBIT00000030610
ENSRROP00000026682	ENSRROG00000037089	Rhinopithecus_roxellana	ENSRROT00000050941
ENSCANP00000037295	ENSCANG00000042318	Colobus_angolensis_palliatus
ENSMFAP00000010631	ENSMFAG00000008782	Macaca_fascicularis	ENSMFAT00000042004
ENSMNEP00000028112	ENSMNEG00000037466	Macaca_nemestrina	ENSMNET00000052418
ENSMLEP00000004170	ENSMLEG00000018731	Mandrillus_leucophaeus	ENSMLET00000020440
ENSTGEP00000017198	ENSTGEG00000013901	Theropithecus_gelada	ENSTGET00000020525
ENSPANP00000021471	ENSPANG00000030779	Papio_anubis	ENSPANT00000050231
ENSCATP00000040206	ENSCATG00000042678	Cercocebus_atys	ENSCATT00000064524
