ENSDCDP00000033655	ENSDCDG00000022895	Denticeps_clupeoides	ENSDCDT00000043227
ENSCHAP00000019579	ENSCHAG00000009993	Clupea_harengus	ENSCHAT00000021433
ENSPNAP00000014801	ENSPNAG00000020761	Pygocentrus_nattereri	ENSPNAT00000022824
ENSIPUP00000023662	ENSIPUG00000015998	Ictalurus_punctatus	ENSIPUT00000024672
ENSEEEP00000043143	ENSEEEG00000020370	Electrophorus_electricus	ENSEEET00000043637
ENSDARP00000122138	ENSDARG00000073963	Danio_rerio
ENSCSEP00000006714	ENSCSEG00000004343	Cynoglossus_semilaevis
ENSBSLP00000052346	ENSBSLG00000024703	Betta_splendens
ENSMAMP00000028850	ENSMAMG00000019402	Mastacembelus_armatus
ENSPRNP00000013883	ENSPRNG00000007576	Parambassis_ranga
ENSGACP00000026528	ENSGACG00000020079	Gasterosteus_aculeatus
ENSSDUP00000023124	ENSSDUG00000016804	Seriola_dumerili
ENSSLDP00000005356	ENSSLDG00000004226	Seriola_lalandi_dorsalis
ENSLCAP00010004303	ENSLCAG00010002196	Lates_calcarifer
ENSSMAP00000016549	ENSSMAG00000010132	Scophthalmus_maximus
ENSMALP00000004113	ENSMALG00000002990	Monopterus_albus
ENSATEP00000030933	ENSATEG00000021343	Anabas_testudineus
ENSTRUP00000039404	ENSTRUG00000015414	Takifugu_rubripes
ENSTNIP00000015660	ENSTNIG00000012686	Tetraodon_nigroviridis
ENSMMOP00000009358	ENSMMOG00000007236	Mola_mola
ENSLCRP00005027538	ENSLCRG00005010959	Larimichthys_crocea
ENSLBEP00000005849	ENSLBEG00000004476	Labrus_bergylta
ENSCGOP00000046555	ENSCGOG00000020908	Cottoperca_gobio
ENSCVAP00000004624	ENSCVAG00000005933	Cyprinodon_variegatus
ENSFHEP00000026568	ENSFHEG00000009499	Fundulus_heteroclitus
ENSPFOP00000016817	ENSPFOG00000016744	Poecilia_formosa
ENSPMEP00000014756	ENSPMEG00000017169	Poecilia_mexicana
ENSPLAP00000021469	ENSPLAG00000005235	Poecilia_latipinna
ENSXMAP00000028988	ENSXMAG00000020854	Xiphophorus_maculatus
ENSGAFP00000030970	ENSGAFG00000020883	Gambusia_affinis
ENSXCOP00000015285	ENSXCOG00000011576	Xiphophorus_couchianus
ENSPREP00000031899	ENSPREG00000021609	Poecilia_reticulata
