ENSP00000460823	ENSG00000141198	Homo_sapiens
ENSRBIP00000019807	ENSRBIG00000033887	Rhinopithecus_bieti
ENSCAFP00020032861	ENSCAFG00020025548	Canis_lupus_dingo
ENSANAP00000021743	ENSANAG00000028626	Aotus_nancymaae
ENSPPAP00000023002	ENSPPAG00000034653	Pan_paniscus
ENSMSIP00000032131	ENSMSIG00000026889	Mus_spicilegus
ENSMUSP00000103500	ENSMUSG00000020541	Mus_musculus_strain_reference_(CL57BL6)
ENSBTAP00000063009	ENSBTAG00000007013	Bos_taurus
MGP_PahariEiJ_P0035894	MGP_PahariEiJ_G0018096	Mus_pahari_strain_PAHARI_EIJ
ENSPVAP00000012238	ENSPVAG00000012979	Pteropus_vampyrus
ENSNSUP00000006613	ENSNSUG00000005231	Notechis_scutatus
MGP_CAROLIEiJ_P0029182	MGP_CAROLIEiJ_G0016965	Mus_caroli_strain_CAROLI_EIJ
ENSNSUP00000006595	ENSNSUG00000005220	Notechis_scutatus	ENSNSUT00000007076
ENSCAPP00000014850	ENSCAPG00000015131	Cavia_aperea
ENSNSUP00000012973	ENSNSUG00000009721	Notechis_scutatus
ENSPTIP00000026258	ENSPTIG00000021730	Panthera_tigris_altaica
ENSNSUP00000012745	ENSNSUG00000009550	Notechis_scutatus
ENSMUNP00000000582	ENSMUNG00000000562	Melopsittacus_undulatus
ENSVURP00010017990	ENSVURG00010013745	Vombatus_ursinus
ENSTTRP00000011324	ENSTTRG00000011939	Tursiops_truncatus
ENSNVIP00000015296	ENSNVIG00000011956	Neovison_vison
ENSDNVP00000016503	ENSDNVG00000011571	Dromaius_novaehollandiae
ENSZALP00000022593	ENSZALG00000017557	Zonotrichia_albicollis
ENSCGRP00000004801	ENSCGRG00000003528	Cricetulus_griseus_CriGri_1.0
ENSOCUP00000007311	ENSOCUG00000008462	Oryctolagus_cuniculus
ENSCABP00000006969	ENSCABG00000005282	Chelonoidis_abingdonii	ENSCABT00000007613
ENSRROP00000017106	ENSRROG00000032666	Rhinopithecus_roxellana
ENSMFAP00000025641	ENSMFAG00000044267	Macaca_fascicularis
ENSCGRP00015006478	ENSCGRG00015004821	Cricetulus_griseus_CriGri-PICR
ENSSMRP00000028126	ENSSMRG00000021633	Salvator_merianae	ENSSMRT00000032812
ENSVVUP00000015656	ENSVVUG00000011490	Vulpes_vulpes
ENSMVIP00005015673	ENSMVIG00005011262	Manacus_vitellinus
ENSAHAP00000015070	ENSAHAG00000010845	Apteryx_haastii
ENSCHIP00000013378	ENSCHIG00000014834	Capra_hircus
ENSPTRP00000016008	ENSPTRG00000009421	Pan_troglodytes
ENSCPRP00005003028	ENSCPRG00005002210	Crocodylus_porosus
ENSCPRP00005003025	ENSCPRG00005002207	Crocodylus_porosus	ENSCPRT00005003531
ENSVPAP00000008868	ENSVPAG00000009533	Vicugna_pacos
ENSCLAP00000017790	ENSCLAG00000012206	Chinchilla_lanigera
ENSPANP00000020313	ENSPANG00000022382	Papio_anubis
ENSFCAP00000044666	ENSFCAG00000002879	Felis_catus
ENSGGOP00000016716	ENSGGOG00000017131	Gorilla_gorilla
ENSHGLP00000022700	ENSHGLG00000016187	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000000349	ENSFDAG00000010630	Fukomys_damarensis
ENSUMAP00000028230	ENSUMAG00000020506	Ursus_maritimus
ENSLSDP00000021501	ENSLSDG00000015204	Lonchura_striata_domestica
ENSSCAP00000019959	ENSSCAG00000014407	Serinus_canaria
ENSPMJP00000024644	ENSPMJG00000018094	Parus_major
ENSABRP00000007275	ENSABRG00000006633	Anser_brachyrhynchus
ENSODEP00000022824	ENSODEG00000016753	Octodon_degus
ENSOCUP00000027340	ENSOCUG00000021792	Oryctolagus_cuniculus
ENSETEP00000014343	ENSETEG00000017657	Echinops_telfairi
ENSDNOP00000011507	ENSDNOG00000014848	Dasypus_novemcinctus
MGP_SPRETEiJ_P0030601	MGP_SPRETEiJ_G0017811	Mus_spretus_strain_SPRET/EiJ
ENSMOCP00000005028	ENSMOCG00000004415	Microtus_ochrogaster
ENSTSYP00000004353	ENSTSYG00000004766	Carlito_syrichta
ENSNMEP00000006459	ENSNMEG00000006643	Numida_meleagris
ENSCANP00000030009	ENSCANG00000038640	Colobus_angolensis_palliatus
ENSMMUP00000013829	ENSMMUG00000010550	Macaca_mulatta
ENSPCOP00000007503	ENSPCOG00000014990	Propithecus_coquereli
ENSNGAP00000023456	ENSNGAG00000022011	Nannospalax_galili
ENSPSMP00000012064	ENSPSMG00000008680	Prolemur_simus
ENSOPRP00000003790	ENSOPRG00000004109	Ochotona_princeps
ENSMODP00000018598	ENSMODG00000014869	Monodelphis_domestica
ENSMUGP00000018530	ENSMUGG00000015712	Meriones_unguiculatus
ENSOPRP00000007451	ENSOPRG00000008157	Ochotona_princeps
ENSMGAP00000008651	ENSMGAG00000008425	Meleagris_gallopavo
ENSSBOP00000002190	ENSSBOG00000009970	Saimiri_boliviensis_boliviensis
ENSPVIP00000001509	ENSPVIG00000001376	Pogona_vitticeps	ENSPVIT00000001979
ENSOANP00000011580	ENSOANG00000007277	Ornithorhynchus_anatinus
ENSSSCP00000018654	ENSSSCG00000017601	Sus_scrofa_strain_reference
