ENSUAMP00000010818	ENSUAMG00000008850	Ursus_americanus
ENSUMAP00000035574	ENSUMAG00000025573	Ursus_maritimus
ENSAMEP00000002819	ENSAMEG00000002693	Ailuropoda_melanoleuca
ENSNVIP00000012128	ENSNVIG00000009629	Neovison_vison
ENSPPRP00000017136	ENSPPRG00000009199	Panthera_pardus
ENSMLUP00000004791	ENSMLUG00000005260	Myotis_lucifugus
ENSVVUP00000000199	ENSVVUG00000000095	Vulpes_vulpes
ENSCAFP00020003230	ENSCAFG00020002748	Canis_lupus_dingo
ENSMPUP00000005749	ENSMPUG00000005796	Mustela_putorius_furo
ENSCHIP00000001694	ENSCHIG00000003467	Capra_hircus
ENSOARP00000002645	ENSOARG00000002483	Ovis_aries
ENSBTAP00000044573	ENSBTAG00000018495	Bos_taurus
ENSBIXP00000003892	ENSBIXG00000010278	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005001486	ENSBIXG00005007981	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000002633	ENSBMUG00000002063	Bos_mutus
ENSBBBP00000003691	ENSBBBG00000012724	Bison_bison_bison
ENSSARP00000001096	ENSSARG00000001201	Sorex_araneus	ENSSART00000001194
ENSEEUP00000010479	ENSEEUG00000011495	Erinaceus_europaeus	ENSEEUT00000011490
ENSEASP00005014958	ENSEASG00005010458	Equus_asinus_asinus
ENSECAP00000015839	ENSECAG00000018325	Equus_caballus
ENSOCUP00000017381	ENSOCUG00000025759	Oryctolagus_cuniculus
ENSPCOP00000012126	ENSPCOG00000017604	Propithecus_coquereli
ENSTBEP00000012291	ENSTBEG00000014194	Tupaia_belangeri
ENSSSCP00000046675	ENSSSCG00000033505	Sus_scrofa_strain_reference
ENSPSMP00000028249	ENSPSMG00000019673	Prolemur_simus
ENSOGAP00000003298	ENSOGAG00000003715	Otolemur_garnettii
ENSSTOP00000011402	ENSSTOG00000012730	Ictidomys_tridecemlineatus
ENSUPAP00010028840	ENSUPAG00010022752	Urocitellus_parryii
