ENSPEMP00000014639	ENSPEMG00000014382	Peromyscus_maniculatus_bairdii
ENSMOCP00000014016	ENSMOCG00000013632	Microtus_ochrogaster
ENSCGRP00001005673	ENSCGRG00001007493	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000021461	ENSCGRG00000015584	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015022374	ENSCGRG00015017047	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000012274	ENSMAUG00000012631	Mesocricetus_auratus
MGP_SPRETEiJ_P0045168	MGP_SPRETEiJ_G0022144	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000014225	ENSMSIG00000012288	Mus_spicilegus
ENSMUSP00000024993	ENSMUSG00000034039	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0043260	MGP_CAROLIEiJ_G0021233	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0055562	MGP_PahariEiJ_G0023551	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000057130	ENSRNOG00000039405	Rattus_norvegicus
ENSMUGP00000018572	ENSMUGG00000015747	Meriones_unguiculatus
ENSNGAP00000019602	ENSNGAG00000019360	Nannospalax_galili
ENSRNOP00000036599	ENSRNOG00000028926	Rattus_norvegicus
ENSMUGP00000018560	ENSMUGG00000015555	Meriones_unguiculatus
ENSCGRP00015022606	ENSCGRG00015017061	Cricetulus_griseus_CriGri-PICR
ENSJJAP00000003534	ENSJJAG00000006993	Jaculus_jaculus
ENSDORP00000020818	ENSDORG00000029349	Dipodomys_ordii
ENSCLAP00000019859	ENSCLAG00000013616	Chinchilla_lanigera
ENSODEP00000020834	ENSODEG00000015365	Octodon_degus
ENSCPOP00000033144	ENSCPOG00000030620	Cavia_porcellus
ENSCPOP00000024697	ENSCPOG00000037807	Cavia_porcellus
ENSCPOP00000021718	ENSCPOG00000033354	Cavia_porcellus
ENSCPOP00000025806	ENSCPOG00000038978	Cavia_porcellus
ENSCAPP00000014763	ENSCAPG00000015066	Cavia_aperea
ENSCPOP00000023077	ENSCPOG00000040644	Cavia_porcellus
ENSFDAP00000007108	ENSFDAG00000015703	Fukomys_damarensis
ENSSTOP00000000644	ENSSTOG00000000724	Ictidomys_tridecemlineatus
ENSUPAP00010017763	ENSUPAG00010014138	Urocitellus_parryii
ENSSDAP00000019913	ENSSDAG00000018170	Spermophilus_dauricus
ENSMMMP00000019077	ENSMMMG00000016356	Marmota_marmota_marmota
ENSMMMP00000018456	ENSMMMG00000016343	Marmota_marmota_marmota
ENSPANP00000013546	ENSPANG00000009724	Papio_anubis
ENSTGEP00000007041	ENSTGEG00000005729	Theropithecus_gelada
ENSMMUP00000069964	ENSMMUG00000053253	Macaca_mulatta
ENSPTEP00000039146	ENSPTEG00000036255	Piliocolobus_tephrosceles
ENSPPYP00000008673	ENSPPYG00000007694	Pongo_abelii
ENSPPYP00000008733	ENSPPYG00000007749	Pongo_abelii
ENSCJAP00000073176	ENSCJAG00000056502	Callithrix_jacchus
ENSMNEP00000043862	ENSMNEG00000044556	Macaca_nemestrina
ENSCATP00000028946	ENSCATG00000037735	Cercocebus_atys
ENSFCAP00000062319	ENSFCAG00000047634	Felis_catus
ENSMSIP00000014201	ENSMSIG00000012265	Mus_spicilegus
MGP_SPRETEiJ_P0045167	MGP_SPRETEiJ_G0022143	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000015267	ENSMUSG00000024171	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0043259	MGP_CAROLIEiJ_G0021232	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0055561	MGP_PahariEiJ_G0023550	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000071288	ENSRNOG00000058976	Rattus_norvegicus
ENSCGRP00000024897	ENSCGRG00000018033	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001016991	ENSCGRG00001017156	Cricetulus_griseus_CHOK1GS_HDv1
ENSJJAP00000004003	ENSJJAG00000008115	Jaculus_jaculus
ENSMMUP00000061254	ENSMMUG00000063334	Macaca_mulatta
ENSCSAP00000007977	ENSCSAG00000011780	Chlorocebus_sabaeus
ENSPTEP00000038935	ENSPTEG00000036109	Piliocolobus_tephrosceles
ENSANAP00000027429	ENSANAG00000031562	Aotus_nancymaae
ENSNVIP00000023784	ENSNVIG00000018382	Neovison_vison	ENSNVIT00000027610
ENSAMEP00000008112	ENSAMEG00000007702	Ailuropoda_melanoleuca	ENSAMET00000008448
ENSPPRP00000020627	ENSPPRG00000011646	Panthera_pardus
ENSPPRP00000015083	ENSPPRG00000007775	Panthera_pardus
ENSPPRP00000027295	ENSPPRG00000018653	Panthera_pardus
ENSFCAP00000004294	ENSFCAG00000004650	Felis_catus
ENSLAFP00000005941	ENSLAFG00000007069	Loxodonta_africana
