ENSTTRP00000006252	ENSTTRG00000006606	Tursiops_truncatus
ENSVPAP00000011105	ENSVPAG00000011934	Vicugna_pacos
ENSOARP00000019392	ENSOARG00000018067	Ovis_aries
ENSCHIP00000014398	ENSCHIG00000015441	Capra_hircus
ENSBIXP00000011204	ENSBIXG00000002572	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005046787	ENSBIXG00005031497	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000022381	ENSBMUG00000016849	Bos_mutus
ENSBTAP00000018203	ENSBTAG00000013698	Bos_taurus
ENSBBBP00000001334	ENSBBBG00000010428	Bison_bison_bison
ENSSSCP00000018454	ENSSSCG00000017415	Sus_scrofa_strain_reference
ENSEASP00005012024	ENSEASG00005008408	Equus_asinus_asinus
ENSECAP00000049262	ENSECAG00000002521	Equus_caballus
ENSMLUP00000010879	ENSMLUG00000011930	Myotis_lucifugus	ENSMLUT00000011941
ENSEEUP00000008439	ENSEEUG00000009208	Erinaceus_europaeus	ENSEEUT00000009255
ENSPVAP00000003639	ENSPVAG00000003846	Pteropus_vampyrus	ENSPVAT00000003846
ENSSARP00000004069	ENSSARG00000004487	Sorex_araneus
ENSUAMP00000032190	ENSUAMG00000024611	Ursus_americanus	ENSUAMT00000035887
ENSUAMP00000032189	ENSUAMG00000024610	Ursus_americanus	ENSUAMT00000035886
ENSUMAP00000031684	ENSUMAG00000022857	Ursus_maritimus	ENSUMAT00000037459
ENSAMEP00000006209	ENSAMEG00000005874	Ailuropoda_melanoleuca	ENSAMET00000006463
ENSMPUP00000010543	ENSMPUG00000010622	Mustela_putorius_furo
ENSNVIP00000015211	ENSNVIG00000011931	Neovison_vison
ENSCAFP00000023192	ENSCAFG00000015771	Canis_lupus_familiaris
ENSCAFP00020017491	ENSCAFG00020014002	Canis_lupus_dingo
ENSVVUP00000026034	ENSVVUG00000019117	Vulpes_vulpes
ENSFCAP00000001980	ENSFCAG00000002141	Felis_catus
ENSOCUP00000011403	ENSOCUG00000013236	Oryctolagus_cuniculus
ENSOPRP00000007387	ENSOPRG00000008065	Ochotona_princeps
ENSMMMP00000006971	ENSMMMG00000006252	Marmota_marmota_marmota
ENSMMMP00000006963	ENSMMMG00000006244	Marmota_marmota_marmota
ENSUPAP00010011555	ENSUPAG00010009389	Urocitellus_parryii
ENSSDAP00000009612	ENSSDAG00000008693	Spermophilus_dauricus
ENSSTOP00000005454	ENSSTOG00000006075	Ictidomys_tridecemlineatus
ENSTBEP00000000180	ENSTBEG00000000210	Tupaia_belangeri
ENSMSIP00000000458	ENSMSIG00000000453	Mus_spicilegus
MGP_SPRETEiJ_P0031293	MGP_SPRETEiJ_G0018019	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000090355	ENSMUSG00000006784	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0029874	MGP_CAROLIEiJ_G0017176	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0036603	MGP_PahariEiJ_G0018306	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000075373	ENSRNOG00000017473	Rattus_norvegicus
ENSMUGP00000027447	ENSMUGG00000022810	Meriones_unguiculatus
ENSPEMP00000003532	ENSPEMG00000004971	Peromyscus_maniculatus_bairdii
ENSMOCP00000000074	ENSMOCG00000000089	Microtus_ochrogaster
ENSCGRP00001024216	ENSCGRG00001022193	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015002989	ENSCGRG00015002367	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000009910	ENSCGRG00000007255	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000004657	ENSMAUG00000006166	Mesocricetus_auratus
ENSNGAP00000021426	ENSNGAG00000020605	Nannospalax_galili
ENSJJAP00000021710	ENSJJAG00000021988	Jaculus_jaculus
ENSDORP00000001792	ENSDORG00000001910	Dipodomys_ordii
ENSODEP00000024508	ENSODEG00000017939	Octodon_degus
ENSCLAP00000021124	ENSCLAG00000014476	Chinchilla_lanigera
ENSCPOP00000017942	ENSCPOG00000023846	Cavia_porcellus
ENSCAPP00000008752	ENSCAPG00000010380	Cavia_aperea
ENSHGLP00000023296	ENSHGLG00000016605	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100020640	ENSHGLG00100015210	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000007406	ENSFDAG00000015921	Fukomys_damarensis
ENSP00000478589	ENSG00000204815	Homo_sapiens
ENSGGOP00000003519	ENSGGOG00000003581	Gorilla_gorilla
ENSPPAP00000021591	ENSPPAG00000034013	Pan_paniscus
ENSPTRP00000053068	ENSPTRG00000030946	Pan_troglodytes
ENSPPYP00000009450	ENSPPYG00000008404	Pongo_abelii
ENSNLEP00000013615	ENSNLEG00000011200	Nomascus_leucogenys
ENSRROP00000040982	ENSRROG00000043702	Rhinopithecus_roxellana
ENSRBIP00000023612	ENSRBIG00000035726	Rhinopithecus_bieti
ENSCANP00000004873	ENSCANG00000016908	Colobus_angolensis_palliatus
ENSPTEP00000012989	ENSPTEG00000014590	Piliocolobus_tephrosceles
ENSMNEP00000031549	ENSMNEG00000039183	Macaca_nemestrina
ENSMFAP00000034594	ENSMFAG00000003792	Macaca_fascicularis
ENSMMUP00000028650	ENSMMUG00000021753	Macaca_mulatta
ENSTGEP00000011104	ENSTGEG00000009096	Theropithecus_gelada
ENSPANP00000020685	ENSPANG00000021478	Papio_anubis
ENSMLEP00000038783	ENSMLEG00000043448	Mandrillus_leucophaeus
ENSCATP00000019074	ENSCATG00000033342	Cercocebus_atys
ENSCSAP00000014987	ENSCSAG00000003055	Chlorocebus_sabaeus
ENSCCAP00000006223	ENSCCAG00000020868	Cebus_capucinus_imitator
ENSSBOP00000006615	ENSSBOG00000020274	Saimiri_boliviensis_boliviensis
ENSCJAP00000052430	ENSCJAG00000036444	Callithrix_jacchus
ENSANAP00000022195	ENSANAG00000028850	Aotus_nancymaae
ENSTSYP00000010738	ENSTSYG00000011698	Carlito_syrichta
ENSPSMP00000018111	ENSPSMG00000012856	Prolemur_simus
ENSPCOP00000022034	ENSPCOG00000023085	Propithecus_coquereli
ENSMICP00000010830	ENSMICG00000011891	Microcebus_murinus
ENSOGAP00000004150	ENSOGAG00000004644	Otolemur_garnettii
ENSDNOP00000028697	ENSDNOG00000046290	Dasypus_novemcinctus
ENSPCAP00000014621	ENSPCAG00000015551	Procavia_capensis
ENSCHOP00000002660	ENSCHOG00000002999	Choloepus_hoffmanni
ENSCCNP00000025986	ENSCCNG00000025279	Castor_canadensis
ENSLAFP00000017497	ENSLAFG00000022415	Loxodonta_africana
ENSETEP00000007720	ENSETEG00000009507	Echinops_telfairi
ENSPCIP00000020281	ENSPCIG00000015437	Phascolarctos_cinereus
ENSPCIP00000020287	ENSPCIG00000015444	Phascolarctos_cinereus
