ENSSBOP00000037704	ENSSBOG00000034947	Saimiri_boliviensis_boliviensis
ENSPANP00000036795	ENSPANG00000031321	Papio_anubis
ENSPCOP00000000590	ENSPCOG00000001818	Propithecus_coquereli
ENSMMMP00000002312	ENSMMMG00000002115	Marmota_marmota_marmota
ENSHGLP00100009550	ENSHGLG00100007080	Heterocephalus_glaber_HetGla_1.0
ENSCAFP00020027562	ENSCAFG00020021642	Canis_lupus_dingo
ENSCAFP00020005049	ENSCAFG00020004151	Canis_lupus_dingo
ENSCAFP00000063214	ENSCAFG00000047368	Canis_lupus_familiaris
ENSVVUP00000009796	ENSVVUG00000007246	Vulpes_vulpes
ENSOMEP00000010367	ENSOMEG00000000276	Oryzias_melastigma
ENSGMOP00000014956	ENSGMOG00000014017	Gadus_morhua
