ENSXMAP00000034637	ENSXMAG00000025014	Xiphophorus_maculatus	ENSXMAT00000031493
ENSXCOP00000012510	ENSXCOG00000009454	Xiphophorus_couchianus	ENSXCOT00000012661
ENSGAFP00000013960	ENSGAFG00000009433	Gambusia_affinis	ENSGAFT00000014104
ENSPFOP00000001776	ENSPFOG00000001871	Poecilia_formosa	ENSPFOT00000001779
ENSPLAP00000026486	ENSPLAG00000014289	Poecilia_latipinna	ENSPLAT00000018564
ENSPMEP00000018051	ENSPMEG00000020956	Poecilia_mexicana	ENSPMET00000027063
ENSPREP00000028701	ENSPREG00000019424	Poecilia_reticulata	ENSPRET00000029017
ENSCVAP00000028536	ENSCVAG00000015657	Cyprinodon_variegatus	ENSCVAT00000030628
ENSFHEP00000025117	ENSFHEG00000007134	Fundulus_heteroclitus	ENSFHET00000006029
ENSKMAP00000026349	ENSKMAG00000019551	Kryptolebias_marmoratus	ENSKMAT00000026688
ENSORLP00020004276	ENSORLG00020005059	Oryzias_latipes_ASM223471v1
ENSORLP00000041341	ENSORLG00000016204	Oryzias_latipes_ASM223467v1
ENSORLP00015021934	ENSORLG00015001078	Oryzias_latipes_ASM223469v1
ENSOMEP00000013840	ENSOMEG00000015299	Oryzias_melastigma
ENSGWIP00000006034	ENSGWIG00000003531	Gouania_willdenowi
ENSGWIP00000006525	ENSGWIG00000003792	Gouania_willdenowi
ENSPMGP00000020005	ENSPMGG00000016201	Periophthalmus_magnuspinnatus
ENSGACP00000005871	ENSGACG00000004453	Gasterosteus_aculeatus
ENSMZEP00005030537	ENSMZEG00005022752	Maylandia_zebra
ENSPNYP00000028217	ENSPNYG00000021251	Pundamilia_nyererei
ENSACLP00000012442	ENSACLG00000008500	Astatotilapia_calliptera
ENSHBUP00000009870	ENSHBUG00000011405	Haplochromis_burtoni
ENSNBRP00000022547	ENSNBRG00000017284	Neolamprologus_brichardi
ENSONIP00000001648	ENSONIG00000001306	Oreochromis_niloticus
ENSACIP00000028687	ENSACIG00000022218	Amphilophus_citrinellus
ENSPRNP00000008754	ENSPRNG00000005140	Parambassis_ranga
ENSMMOP00000020046	ENSMMOG00000015230	Mola_mola
ENSHCOP00000002811	ENSHCOG00000004037	Hippocampus_comes
ENSSMAP00000004999	ENSSMAG00000003079	Scophthalmus_maximus
ENSCSEP00000016484	ENSCSEG00000010600	Cynoglossus_semilaevis
ENSCGOP00000007707	ENSCGOG00000003948	Cottoperca_gobio
ENSLBEP00000029005	ENSLBEG00000021971	Labrus_bergylta
ENSLCRP00005055503	ENSLCRG00005020703	Larimichthys_crocea
ENSSLDP00000025604	ENSSLDG00000019915	Seriola_lalandi_dorsalis
ENSSDUP00000010975	ENSSDUG00000008025	Seriola_dumerili
ENSLCAP00010011667	ENSLCAG00010005523	Lates_calcarifer
ENSMALP00000026869	ENSMALG00000018645	Monopterus_albus
ENSMAMP00000010223	ENSMAMG00000006887	Mastacembelus_armatus
ENSATEP00000022838	ENSATEG00000015842	Anabas_testudineus
ENSBSLP00000020747	ENSBSLG00000010588	Betta_splendens
ENSAOCP00000007274	ENSAOCG00000000695	Amphiprion_ocellaris
ENSAPEP00000019803	ENSAPEG00000014157	Amphiprion_percula
ENSAPOP00000022263	ENSAPOG00000003367	Acanthochromis_polyacanthus
ENSSPAP00000027093	ENSSPAG00000020436	Stegastes_partitus
ENSTNIP00000022367	ENSTNIG00000019170	Tetraodon_nigroviridis
ENSTRUP00000048553	ENSTRUG00000024378	Takifugu_rubripes
ENSGMOP00000015647	ENSGMOG00000014626	Gadus_morhua
ENSHHUP00000017306	ENSHHUG00000010793	Hucho_hucho
ENSAMXP00000010019	ENSAMXG00000009746	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005029341	ENSAMXG00005014505	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000021864	ENSPNAG00000029063	Pygocentrus_nattereri
ENSIPUP00000011932	ENSIPUG00000008116	Ictalurus_punctatus
ENSEEEP00000010701	ENSEEEG00000005417	Electrophorus_electricus
ENSDARP00000061554	ENSDARG00000042000	Danio_rerio
ENSCHAP00000032257	ENSCHAG00000015391	Clupea_harengus
ENSPKIP00000005097	ENSPKIG00000021912	Paramormyrops_kingsleyae
ENSSFOP00015002381	ENSSFOG00015001614	Scleropages_formosus
ENSLOCP00000019663	ENSLOCG00000015970	Lepisosteus_oculatus
