ENSSHAP00000017957	ENSSHAG00000015243	Sarcophilus_harrisii	ENSSHAT00000018105
ENSPVIP00000034166	ENSPVIG00000024964	Pogona_vitticeps	ENSPVIT00000041778
ENSCMIP00000029623	ENSCMIG00000012798	Callorhinchus_milii	ENSCMIT00000030089
ENSARWP00000027523	ENSARWG00000018603	Apteryx_rowi	ENSARWT00000031122
ENSAHAP00000018275	ENSAHAG00000012960	Apteryx_haastii	ENSAHAT00000020191
ENSAOWP00000024801	ENSAOWG00000016764	Apteryx_owenii	ENSAOWT00000028105
ENSDNVP00000014606	ENSDNVG00000010287	Dromaius_novaehollandiae	ENSDNVT00000017553
ENSNPEP00000019920	ENSNPEG00000014819	Nothoprocta_perdicaria	ENSNPET00000020426
ENSCPGP00000016239	ENSCPGG00000011429	Calidris_pygmaea
ENSCPUP00000028836	ENSCPUG00000019366	Calidris_pugnax
ENSMUNP00000009243	ENSMUNG00000007302	Melopsittacus_undulatus
ENSCCEP00000019495	ENSCCEG00000017689	Cyanistes_caeruleus
ENSPMJP00000006629	ENSPMJG00000005542	Parus_major
ENSFALP00000002286	ENSFALG00000002200	Ficedula_albicollis
ENSLSDP00000017258	ENSLSDG00000012394	Lonchura_striata_domestica
ENSLSDP00000017256	ENSLSDG00000012392	Lonchura_striata_domestica
ENSTGUP00000011418	ENSTGUG00000011078	Taeniopygia_guttata
ENSSCAP00000019823	ENSSCAG00000014312	Serinus_canaria
ENSZALP00000015433	ENSZALG00000012662	Zonotrichia_albicollis
ENSJHYP00000013166	ENSJHYG00000010211	Junco_hyemalis
ENSLCOP00000013874	ENSLCOG00000010002	Lepidothrix_coronata
ENSMVIP00005022810	ENSMVIG00005016012	Manacus_vitellinus
ENSGALP00000015127	ENSGALG00000009304	Gallus_gallus
ENSMGAP00000011792	ENSMGAG00000011281	Meleagris_gallopavo
ENSCJPP00005025677	ENSCJPG00005020123	Coturnix_japonica
ENSNMEP00000014288	ENSNMEG00000012869	Numida_meleagris
ENSABRP00000001432	ENSABRG00000001462	Anser_brachyrhynchus
ENSAPLP00000005874	ENSAPLG00000006278	Anas_platyrhynchos_platyrhynchos
ENSCPRP00005015186	ENSCPRG00005010665	Crocodylus_porosus
ENSCABP00000012979	ENSCABG00000009721	Chelonoidis_abingdonii
ENSGAGP00000017089	ENSGAGG00000012761	Gopherus_agassizii
ENSCPBP00000002794	ENSCPBG00000002254	Chrysemys_picta_bellii
ENSPSIP00000017944	ENSPSIG00000015960	Pelodiscus_sinensis
ENSPVIP00000018068	ENSPVIG00000013835	Pogona_vitticeps
ENSACAP00000010163	ENSACAG00000010360	Anolis_carolinensis
ENSNSUP00000002539	ENSNSUG00000002106	Notechis_scutatus
ENSSMRP00000004036	ENSSMRG00000003366	Salvator_merianae
ENSSPUP00000002738	ENSSPUG00000002112	Sphenodon_punctatus
ENSMODP00000052704	ENSMODG00000009385	Monodelphis_domestica
ENSSHAP00000015722	ENSSHAG00000013400	Sarcophilus_harrisii
ENSVURP00010032728	ENSVURG00010024955	Vombatus_ursinus
ENSPCIP00000053167	ENSPCIG00000036625	Phascolarctos_cinereus
ENSOANP00000013805	ENSOANG00000008666	Ornithorhynchus_anatinus
ENSPTRP00000073481	ENSPTRG00000002982	Pan_troglodytes
ENSPPAP00000003361	ENSPPAG00000014110	Pan_paniscus
ENSP00000358200	ENSG00000107560	Homo_sapiens
ENSGGOP00000007060	ENSGGOG00000007213	Gorilla_gorilla
ENSPPYP00000003142	ENSPPYG00000002692	Pongo_abelii
ENSNLEP00000025601	ENSNLEG00000016607	Nomascus_leucogenys
ENSRBIP00000005922	ENSRBIG00000025461	Rhinopithecus_bieti
ENSRROP00000025952	ENSRROG00000036710	Rhinopithecus_roxellana
ENSCANP00000003353	ENSCANG00000012004	Colobus_angolensis_palliatus
ENSPTEP00000038899	ENSPTEG00000036076	Piliocolobus_tephrosceles
ENSMFAP00000009513	ENSMFAG00000000822	Macaca_fascicularis
ENSMMUP00000068564	ENSMMUG00000021805	Macaca_mulatta
ENSMNEP00000016417	ENSMNEG00000032231	Macaca_nemestrina
ENSMLEP00000032618	ENSMLEG00000040520	Mandrillus_leucophaeus
ENSPANP00000031405	ENSPANG00000020617	Papio_anubis
ENSTGEP00000033487	ENSTGEG00000026741	Theropithecus_gelada
ENSCATP00000034559	ENSCATG00000040177	Cercocebus_atys
ENSCSAP00000001118	ENSCSAG00000004789	Chlorocebus_sabaeus
ENSCCAP00000017210	ENSCCAG00000026414	Cebus_capucinus_imitator
ENSCJAP00000073175	ENSCJAG00000019543	Callithrix_jacchus
ENSSBOP00000020180	ENSSBOG00000026692	Saimiri_boliviensis_boliviensis
ENSANAP00000005255	ENSANAG00000020732	Aotus_nancymaae
ENSTSYP00000007930	ENSTSYG00000008650	Carlito_syrichta
ENSPSMP00000014697	ENSPSMG00000010538	Prolemur_simus
ENSPCOP00000024297	ENSPCOG00000024340	Propithecus_coquereli
ENSMICP00000030194	ENSMICG00000001976	Microcebus_murinus
ENSOGAP00000011396	ENSOGAG00000012716	Otolemur_garnettii
ENSTBEP00000015316	ENSTBEG00000017614	Tupaia_belangeri
ENSCLAP00000007182	ENSCLAG00000005056	Chinchilla_lanigera
ENSODEP00000024234	ENSODEG00000017734	Octodon_degus
ENSCPOP00000000402	ENSCPOG00000000453	Cavia_porcellus
ENSCAPP00000015029	ENSCAPG00000015263	Cavia_aperea
ENSHGLP00000014689	ENSHGLG00000010515	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100012102	ENSHGLG00100008972	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000021404	ENSFDAG00000007729	Fukomys_damarensis
ENSMUSP00000059978	ENSMUSG00000040022	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000033858	ENSMSIG00000028250	Mus_spicilegus
MGP_SPRETEiJ_P0051300	MGP_SPRETEiJ_G0024037	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0049285	MGP_CAROLIEiJ_G0023116	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0022246	MGP_PahariEiJ_G0014604	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000012734	ENSRNOG00000009523	Rattus_norvegicus
ENSMUGP00000027054	ENSMUGG00000022521	Meriones_unguiculatus
ENSPEMP00000000566	ENSPEMG00000000413	Peromyscus_maniculatus_bairdii
ENSMOCP00000004709	ENSMOCG00000004019	Microtus_ochrogaster
ENSCGRP00001011841	ENSCGRG00001013387	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015012904	ENSCGRG00015009907	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000000843	ENSCGRG00000000668	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000013614	ENSMAUG00000013610	Mesocricetus_auratus
ENSNGAP00000005917	ENSNGAG00000008604	Nannospalax_galili
ENSJJAP00000010075	ENSJJAG00000013758	Jaculus_jaculus
ENSCCNP00000003486	ENSCCNG00000003733	Castor_canadensis
ENSDORP00000010238	ENSDORG00000010895	Dipodomys_ordii
ENSUPAP00010008612	ENSUPAG00010006952	Urocitellus_parryii
ENSSDAP00000013867	ENSSDAG00000012518	Spermophilus_dauricus
ENSSTOP00000005587	ENSSTOG00000006253	Ictidomys_tridecemlineatus
ENSMMMP00000000242	ENSMMMG00000000233	Marmota_marmota_marmota
ENSOCUP00000017247	ENSOCUG00000009241	Oryctolagus_cuniculus
ENSOPRP00000011975	ENSOPRG00000013130	Ochotona_princeps
ENSUMAP00000003820	ENSUMAG00000003131	Ursus_maritimus
ENSUAMP00000029900	ENSUAMG00000022982	Ursus_americanus
ENSAMEP00000010425	ENSAMEG00000009921	Ailuropoda_melanoleuca
ENSCAFP00000044106	ENSCAFG00000011991	Canis_lupus_familiaris
ENSCAFP00020017260	ENSCAFG00020013823	Canis_lupus_dingo
ENSVVUP00000014630	ENSVVUG00000010728	Vulpes_vulpes
ENSNVIP00000006085	ENSNVIG00000004877	Neovison_vison
ENSMPUP00000003256	ENSMPUG00000003288	Mustela_putorius_furo
ENSPTIP00000006492	ENSPTIG00000008394	Panthera_tigris_altaica
ENSPPRP00000019048	ENSPPRG00000010519	Panthera_pardus
ENSFCAP00000019890	ENSFCAG00000022481	Felis_catus
ENSEASP00005021137	ENSEASG00005014475	Equus_asinus_asinus
ENSECAP00000017278	ENSECAG00000019791	Equus_caballus
ENSSSCP00000056798	ENSSSCG00000010672	Sus_scrofa_strain_reference
ENSVPAP00000009850	ENSVPAG00000010582	Vicugna_pacos
ENSCHIP00000013531	ENSCHIG00000014924	Capra_hircus
ENSOARP00000000018	ENSOARG00000000043	Ovis_aries
ENSBIXP00005037768	ENSBIXG00005003218	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000004634	ENSBIXG00000000728	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000009814	ENSBTAG00000007460	Bos_taurus
ENSBMUP00000007954	ENSBMUG00000006253	Bos_mutus
ENSBBBP00000000940	ENSBBBG00000001707	Bison_bison_bison
ENSTTRP00000008298	ENSTTRG00000008755	Tursiops_truncatus
ENSPVAP00000005955	ENSPVAG00000006302	Pteropus_vampyrus
ENSMLUP00000013845	ENSMLUG00000015200	Myotis_lucifugus
ENSSARP00000001627	ENSSARG00000001794	Sorex_araneus
ENSEEUP00000006056	ENSEEUG00000006651	Erinaceus_europaeus
ENSETEP00000015675	ENSETEG00000019294	Echinops_telfairi
ENSLAFP00000002319	ENSLAFG00000002770	Loxodonta_africana
ENSPCAP00000002873	ENSPCAG00000003085	Procavia_capensis
ENSPSMP00000035626	ENSPSMG00000024524	Prolemur_simus
ENSDNOP00000026863	ENSDNOG00000045786	Dasypus_novemcinctus
ENSCHOP00000002125	ENSCHOG00000002400	Choloepus_hoffmanni
ENSOANP00000011718	ENSOANG00000007362	Ornithorhynchus_anatinus
ENSXETP00000011345	ENSXETG00000015961	Xenopus_tropicalis
ENSLACP00000018124	ENSLACG00000015968	Latimeria_chalumnae
ENSHHUP00000052599	ENSHHUG00000031633	Hucho_hucho
ENSHHUP00000054787	ENSHHUG00000032842	Hucho_hucho
ENSELUP00000021121	ENSELUG00000020239	Esox_lucius
ENSPFOP00000007922	ENSPFOG00000007929	Poecilia_formosa
ENSPMEP00000009592	ENSPMEG00000000224	Poecilia_mexicana
ENSPLAP00000000512	ENSPLAG00000001339	Poecilia_latipinna
ENSPREP00000002933	ENSPREG00000002138	Poecilia_reticulata
ENSXMAP00000007951	ENSXMAG00000007932	Xiphophorus_maculatus
ENSXCOP00000007812	ENSXCOG00000005998	Xiphophorus_couchianus
ENSGAFP00000000810	ENSGAFG00000000595	Gambusia_affinis
ENSFHEP00000013348	ENSFHEG00000000360	Fundulus_heteroclitus
ENSCVAP00000022450	ENSCVAG00000005173	Cyprinodon_variegatus
ENSKMAP00000009938	ENSKMAG00000007470	Kryptolebias_marmoratus
ENSORLP00020023587	ENSORLG00020004516	Oryzias_latipes_ASM223471v1
ENSORLP00000037006	ENSORLG00000014141	Oryzias_latipes_ASM223467v1
ENSORLP00015018723	ENSORLG00015019785	Oryzias_latipes_ASM223469v1
ENSOMEP00000014875	ENSOMEG00000016421	Oryzias_melastigma
ENSGWIP00000055246	ENSGWIG00000026302	Gouania_willdenowi
ENSCSEP00000012617	ENSCSEG00000008161	Cynoglossus_semilaevis
ENSTRUP00000049450	ENSTRUG00000024416	Takifugu_rubripes
ENSTNIP00000008425	ENSTNIG00000005714	Tetraodon_nigroviridis
ENSMMOP00000010908	ENSMMOG00000008411	Mola_mola
ENSGACP00000004201	ENSGACG00000003208	Gasterosteus_aculeatus
ENSCGOP00000019384	ENSCGOG00000009297	Cottoperca_gobio
ENSAOCP00000002006	ENSAOCG00000005080	Amphiprion_ocellaris
ENSAPEP00000034938	ENSAPEG00000024809	Amphiprion_percula
ENSAPOP00000012092	ENSAPOG00000014717	Acanthochromis_polyacanthus
ENSSPAP00000000080	ENSSPAG00000000078	Stegastes_partitus
ENSPRNP00000055508	ENSPRNG00000026020	Parambassis_ranga
ENSACLP00000029096	ENSACLG00000019737	Astatotilapia_calliptera
ENSMZEP00005015535	ENSMZEG00005011664	Maylandia_zebra
ENSHBUP00000010613	ENSHBUG00000012171	Haplochromis_burtoni
ENSPNYP00000005723	ENSPNYG00000004434	Pundamilia_nyererei
ENSNBRP00000022788	ENSNBRG00000017441	Neolamprologus_brichardi
ENSONIP00000013003	ENSONIG00000010342	Oreochromis_niloticus
ENSACIP00000003861	ENSACIG00000003068	Amphilophus_citrinellus
ENSATEP00000016594	ENSATEG00000011555	Anabas_testudineus
ENSMALP00000011878	ENSMALG00000008441	Monopterus_albus
ENSMAMP00000020959	ENSMAMG00000014084	Mastacembelus_armatus
ENSBSLP00000017176	ENSBSLG00000009037	Betta_splendens
ENSLCAP00010017982	ENSLCAG00010008543	Lates_calcarifer
ENSSMAP00000021777	ENSSMAG00000013336	Scophthalmus_maximus
ENSSDUP00000026330	ENSSDUG00000019098	Seriola_dumerili
ENSSLDP00000026818	ENSSLDG00000020841	Seriola_lalandi_dorsalis
ENSLCRP00005054029	ENSLCRG00005020206	Larimichthys_crocea
ENSLBEP00000031019	ENSLBEG00000023437	Labrus_bergylta
ENSHCOP00000003742	ENSHCOG00000005129	Hippocampus_comes
ENSPMGP00000010821	ENSPMGG00000008966	Periophthalmus_magnuspinnatus
ENSGMOP00000006547	ENSGMOG00000006169	Gadus_morhua
ENSAMXP00005035394	ENSAMXG00005016992	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000004179	ENSAMXG00000004087	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000029212	ENSPNAG00000015112	Pygocentrus_nattereri
ENSIPUP00000029892	ENSIPUG00000020207	Ictalurus_punctatus
ENSEEEP00000044624	ENSEEEG00000021070	Electrophorus_electricus
ENSDARP00000132386	ENSDARG00000101432	Danio_rerio
ENSDCDP00000022532	ENSDCDG00000017294	Denticeps_clupeoides
ENSCHAP00000038396	ENSCHAG00000018031	Clupea_harengus
ENSSFOP00015009715	ENSSFOG00015006324	Scleropages_formosus
ENSPKIP00000011794	ENSPKIG00000018743	Paramormyrops_kingsleyae
ENSLOCP00000011855	ENSLOCG00000009709	Lepisosteus_oculatus
ENSECRP00000003657	ENSECRG00000002507	Erpetoichthys_calabaricus
ENSKMAP00000011079	ENSKMAG00000008326	Kryptolebias_marmoratus
ENSCMIP00000045057	ENSCMIG00000018624	Callorhinchus_milii
