ENSSMRP00000024731	ENSSMRG00000019125	Salvator_merianae	ENSSMRT00000028964
ENSMPUP00000016666	ENSMPUG00000016771	Mustela_putorius_furo
ENSSTOP00000003700	ENSSTOG00000004121	Ictidomys_tridecemlineatus
ENSPFOP00000029263	ENSPFOG00000005731	Poecilia_formosa
ENSCJAP00000013665	ENSCJAG00000007339	Callithrix_jacchus
ENSCPBP00000006400	ENSCPBG00000005104	Chrysemys_picta_bellii
ENSDARP00000004624	ENSDARG00000006174	Danio_rerio
ENSTGUP00000018141	ENSTGUG00000018128	Taeniopygia_guttata
ENSLBEP00000009810	ENSLBEG00000007490	Labrus_bergylta
ENSORLP00000045653	ENSORLG00000024830	Oryzias_latipes_ASM223467v1
ENSELUP00000020698	ENSELUG00000019879	Esox_lucius
ENSLCRP00005006471	ENSLCRG00005003226	Larimichthys_crocea
ENSMSIP00000025441	ENSMSIG00000021503	Mus_spicilegus
ENSDCDP00000007031	ENSDCDG00000003713	Denticeps_clupeoides
ENSPPYP00000004796	ENSPPYG00000004209	Pongo_abelii
ENSHGLP00000001104	ENSHGLG00000000873	Heterocephalus_glaber_HetGla_female_1.0
ENSSSCP00000000724	ENSSSCG00000000679	Sus_scrofa_strain_reference
ENSVVUP00000015012	ENSVVUG00000010999	Vulpes_vulpes
ENSECAP00000030014	ENSECAG00000000386	Equus_caballus
ENSCAFP00000021434	ENSCAFG00000014538	Canis_lupus_familiaris
ENSBSLP00000039637	ENSBSLG00000019275	Betta_splendens
ENSSARP00000012631	ENSSARG00000013964	Sorex_araneus
ENSCPOP00000022556	ENSCPOG00000012349	Cavia_porcellus
ENSPVIP00000016057	ENSPVIG00000012421	Pogona_vitticeps	ENSPVIT00000020110
MGP_CAROLIEiJ_P0076004	MGP_CAROLIEiJ_G0028851	Mus_caroli_strain_CAROLI_EIJ
ENSAMEP00000014631	ENSAMEG00000013885	Ailuropoda_melanoleuca
ENSTSYP00000023986	ENSTSYG00000030488	Carlito_syrichta
ENSECRP00000011308	ENSECRG00000007532	Erpetoichthys_calabaricus
ENSPMJP00000009010	ENSPMJG00000007259	Parus_major
ENSGWIP00000040149	ENSGWIG00000020318	Gouania_willdenowi
ENSAHAP00000018896	ENSAHAG00000013390	Apteryx_haastii	ENSAHAT00000020893
ENSRROP00000033109	ENSRROG00000040181	Rhinopithecus_roxellana
ENSANAP00000027662	ENSANAG00000031671	Aotus_nancymaae
ENSRNOP00000051124	ENSRNOG00000026309	Rattus_norvegicus
ENSCINP00000012792	ENSCING00000006197	Ciona_intestinalis
ENSSCAP00000020322	ENSSCAG00000014644	Serinus_canaria
ENSLSDP00000016964	ENSLSDG00000012191	Lonchura_striata_domestica
ENSGGOP00000046111	ENSGGOG00000002523	Gorilla_gorilla
ENSBTAP00000014977	ENSBTAG00000011273	Bos_taurus
ENSCHAP00000036703	ENSCHAG00000017271	Clupea_harengus
ENSDORP00000008408	ENSDORG00000008956	Dipodomys_ordii
ENSCCNP00000026170	ENSCCNG00000025425	Castor_canadensis
ENSFCAP00000003946	ENSFCAG00000004280	Felis_catus
ENSPTIP00000022317	ENSPTIG00000019167	Panthera_tigris_altaica
ENSARWP00000007868	ENSARWG00000005493	Apteryx_rowi	ENSARWT00000008970
ENSAMXP00005051046	ENSAMXG00005023109	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPKIP00000023875	ENSPKIG00000007338	Paramormyrops_kingsleyae
ENSCGRP00001013492	ENSCGRG00001014615	Cricetulus_griseus_CHOK1GS_HDv1
ENSJHYP00000013448	ENSJHYG00000010423	Junco_hyemalis
ENSLAFP00000004875	ENSLAFG00000005818	Loxodonta_africana
ENSTGEP00000009753	ENSTGEG00000008017	Theropithecus_gelada
ENSP00000390932	ENSG00000010626	Homo_sapiens
ENSPANP00000005477	ENSPANG00000017212	Papio_anubis
ENSMUGP00000014757	ENSMUGG00000012761	Meriones_unguiculatus
ENSUPAP00010015212	ENSUPAG00010012187	Urocitellus_parryii
ENSMOCP00000018404	ENSMOCG00000016717	Microtus_ochrogaster
ENSPEMP00000021252	ENSPEMG00000018958	Peromyscus_maniculatus_bairdii
