ENSPEMP00000027841	ENSPEMG00000023529	Peromyscus_maniculatus_bairdii
ENSMOCP00000021661	ENSMOCG00000018940	Microtus_ochrogaster
ENSCGRP00000008247	ENSCGRG00000006018	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001016320	ENSCGRG00001016691	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015005046	ENSCGRG00015003964	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000015376	ENSMAUG00000014859	Mesocricetus_auratus
MGP_SPRETEiJ_P0080136	MGP_SPRETEiJ_G0030111	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000045650	ENSMUSG00000040234	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000016533	ENSMSIG00000014187	Mus_spicilegus
MGP_CAROLIEiJ_P0076861	MGP_CAROLIEiJ_G0029056	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0053215	MGP_PahariEiJ_G0022818	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000002486	ENSRNOG00000001817	Rattus_norvegicus
ENSMUGP00000024370	ENSMUGG00000020364	Meriones_unguiculatus
ENSNGAP00000018204	ENSNGAG00000018407	Nannospalax_galili
ENSJJAP00000010990	ENSJJAG00000014434	Jaculus_jaculus
ENSHGLP00000018250	ENSHGLG00000013061	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100007598	ENSHGLG00100005682	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000016029	ENSFDAG00000004276	Fukomys_damarensis
ENSCPOP00000013522	ENSCPOG00000015004	Cavia_porcellus
ENSCAPP00000010156	ENSCAPG00000011476	Cavia_aperea
ENSODEP00000013830	ENSODEG00000010223	Octodon_degus
ENSCLAP00000024818	ENSCLAG00000017039	Chinchilla_lanigera
ENSCCNP00000030732	ENSCCNG00000029366	Castor_canadensis
ENSUPAP00010019509	ENSUPAG00010015455	Urocitellus_parryii
ENSSTOP00000020745	ENSSTOG00000020883	Ictidomys_tridecemlineatus
ENSSDAP00000018147	ENSSDAG00000016576	Spermophilus_dauricus
ENSMMMP00000020951	ENSMMMG00000018490	Marmota_marmota_marmota
ENSOCUP00000026223	ENSOCUG00000008344	Oryctolagus_cuniculus
ENSOPRP00000014640	ENSOPRG00000016020	Ochotona_princeps
ENSPPAP00000019814	ENSPPAG00000033125	Pan_paniscus
ENSPTRP00000008166	ENSPTRG00000004784	Pan_troglodytes
ENSP00000342322	ENSG00000064115	Homo_sapiens
ENSGGOP00000015905	ENSGGOG00000016299	Gorilla_gorilla
ENSPPYP00000024256	ENSPPYG00000004376	Pongo_abelii
ENSNLEP00000006565	ENSNLEG00000005416	Nomascus_leucogenys
ENSMMUP00000050546	ENSMMUG00000003217	Macaca_mulatta
ENSMNEP00000028368	ENSMNEG00000037627	Macaca_nemestrina
ENSMFAP00000041220	ENSMFAG00000041364	Macaca_fascicularis
ENSCSAP00000003929	ENSCSAG00000007661	Chlorocebus_sabaeus
ENSPANP00000032996	ENSPANG00000007817	Papio_anubis
ENSTGEP00000033988	ENSTGEG00000027125	Theropithecus_gelada
ENSCATP00000023309	ENSCATG00000035220	Cercocebus_atys
ENSMLEP00000016834	ENSMLEG00000032625	Mandrillus_leucophaeus
ENSPTEP00000031266	ENSPTEG00000030268	Piliocolobus_tephrosceles
ENSCANP00000027049	ENSCANG00000036943	Colobus_angolensis_palliatus
ENSRBIP00000007426	ENSRBIG00000027607	Rhinopithecus_bieti
ENSRROP00000011062	ENSRROG00000029894	Rhinopithecus_roxellana
ENSSBOP00000022300	ENSSBOG00000027680	Saimiri_boliviensis_boliviensis
ENSCCAP00000027828	ENSCCAG00000031795	Cebus_capucinus_imitator
ENSCJAP00000059892	ENSCJAG00000046477	Callithrix_jacchus
ENSANAP00000024971	ENSANAG00000030204	Aotus_nancymaae
ENSTSYP00000012791	ENSTSYG00000013948	Carlito_syrichta
ENSPCOP00000020259	ENSPCOG00000022092	Propithecus_coquereli
ENSPCOP00000028716	ENSPCOG00000027023	Propithecus_coquereli
ENSPSMP00000025970	ENSPSMG00000018210	Prolemur_simus
ENSMICP00000040601	ENSMICG00000047635	Microcebus_murinus
ENSTBEP00000010150	ENSTBEG00000011725	Tupaia_belangeri
ENSPVAP00000012595	ENSPVAG00000013355	Pteropus_vampyrus
ENSMLUP00000007005	ENSMLUG00000007662	Myotis_lucifugus
ENSECAP00000015193	ENSECAG00000017496	Equus_caballus
ENSEASP00005009334	ENSEASG00005006672	Equus_asinus_asinus
ENSUAMP00000002105	ENSUAMG00000001945	Ursus_americanus
ENSUMAP00000004459	ENSUMAG00000003462	Ursus_maritimus
ENSAMEP00000012287	ENSAMEG00000011677	Ailuropoda_melanoleuca
ENSMPUP00000010414	ENSMPUG00000010491	Mustela_putorius_furo
ENSNVIP00000001843	ENSNVIG00000001450	Neovison_vison
ENSCAFP00000016455	ENSCAFG00000011183	Canis_lupus_familiaris
ENSCAFP00020016165	ENSCAFG00020012969	Canis_lupus_dingo
ENSVVUP00000042640	ENSVVUG00000030290	Vulpes_vulpes
ENSPTIP00000014970	ENSPTIG00000014224	Panthera_tigris_altaica
ENSPPRP00000000999	ENSPPRG00000024445	Panthera_pardus
ENSFCAP00000025407	ENSFCAG00000025765	Felis_catus
ENSBTAP00000009179	ENSBTAG00000006985	Bos_taurus
ENSBIXP00000042360	ENSBIXG00000001447	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005028012	ENSBIXG00005029713	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000030358	ENSBMUG00000022712	Bos_mutus
ENSBBBP00000001353	ENSBBBG00000007642	Bison_bison_bison
ENSOARP00000021290	ENSOARG00000019825	Ovis_aries
ENSCHIP00000006532	ENSCHIG00000010359	Capra_hircus
ENSTTRP00000002551	ENSTTRG00000002722	Tursiops_truncatus
ENSVPAP00000011313	ENSVPAG00000012164	Vicugna_pacos
ENSSSCP00000000583	ENSSSCG00000000553	Sus_scrofa_strain_reference
ENSEEUP00000009379	ENSEEUG00000010281	Erinaceus_europaeus
ENSPCAP00000007807	ENSPCAG00000008341	Procavia_capensis
ENSETEP00000005048	ENSETEG00000006222	Echinops_telfairi
ENSLAFP00000010433	ENSLAFG00000012482	Loxodonta_africana
ENSCHOP00000005918	ENSCHOG00000006688	Choloepus_hoffmanni
ENSDNOP00000026897	ENSDNOG00000010018	Dasypus_novemcinctus
ENSVURP00010019879	ENSVURG00010015203	Vombatus_ursinus
ENSPCIP00000025568	ENSPCIG00000019239	Phascolarctos_cinereus
ENSMEUP00000013375	ENSMEUG00000014636	Notamacropus_eugenii
ENSSHAP00000011664	ENSSHAG00000010020	Sarcophilus_harrisii
ENSMODP00000020744	ENSMODG00000016621	Monodelphis_domestica
ENSOANP00000003238	ENSOANG00000002042	Ornithorhynchus_anatinus
ENSOANP00000031195	ENSOANG00000028966	Ornithorhynchus_anatinus
ENSAHAP00000021659	ENSAHAG00000015127	Apteryx_haastii
ENSAOWP00000015084	ENSAOWG00000010274	Apteryx_owenii
ENSARWP00000027182	ENSARWG00000018376	Apteryx_rowi
ENSDNVP00000000849	ENSDNVG00000000643	Dromaius_novaehollandiae
ENSNPEP00000002447	ENSNPEG00000001691	Nothoprocta_perdicaria
ENSABRP00000003768	ENSABRG00000003535	Anser_brachyrhynchus
ENSAPLP00000022374	ENSAPLG00000008163	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000014489	ENSMGAG00000013710	Meleagris_gallopavo
ENSGALP00000070566	ENSGALG00000014085	Gallus_gallus
ENSCJPP00005017382	ENSCJPG00005014199	Coturnix_japonica
ENSNMEP00000014913	ENSNMEG00000013278	Numida_meleagris
ENSLSDP00000009192	ENSLSDG00000006835	Lonchura_striata_domestica
ENSTGUP00000012545	ENSTGUG00000012183	Taeniopygia_guttata
ENSSCAP00000012503	ENSSCAG00000009337	Serinus_canaria
ENSPMJP00000011826	ENSPMJG00000009126	Parus_major
ENSCCEP00000021355	ENSCCEG00000019364	Cyanistes_caeruleus
ENSZALP00000000812	ENSZALG00000000946	Zonotrichia_albicollis
ENSJHYP00000013134	ENSJHYG00000010195	Junco_hyemalis
ENSFALP00000004091	ENSFALG00000003926	Ficedula_albicollis
ENSLCOP00000010880	ENSLCOG00000007917	Lepidothrix_coronata
ENSMVIP00005028668	ENSMVIG00005019945	Manacus_vitellinus
ENSMUNP00000009554	ENSMUNG00000007547	Melopsittacus_undulatus
ENSCPGP00000018700	ENSCPGG00000013071	Calidris_pygmaea
ENSCPUP00000007829	ENSCPUG00000005653	Calidris_pugnax
ENSCPRP00005006813	ENSCPRG00005004854	Crocodylus_porosus
ENSGAGP00000023829	ENSGAGG00000017437	Gopherus_agassizii
ENSCABP00000026752	ENSCABG00000019640	Chelonoidis_abingdonii
ENSCPBP00000032976	ENSCPBG00000023111	Chrysemys_picta_bellii
ENSPSIP00000007935	ENSPSIG00000007228	Pelodiscus_sinensis
ENSPVIP00000003652	ENSPVIG00000003038	Pogona_vitticeps
ENSACAP00000012051	ENSACAG00000012262	Anolis_carolinensis
ENSNSUP00000017397	ENSNSUG00000012679	Notechis_scutatus
ENSSMRP00000015637	ENSSMRG00000012162	Salvator_merianae
ENSSPUP00000020397	ENSSPUG00000015652	Sphenodon_punctatus
ENSXETP00000013527	ENSXETG00000000984	Xenopus_tropicalis
ENSLACP00000013897	ENSLACG00000012234	Latimeria_chalumnae
ENSCHAP00000025790	ENSCHAG00000012355	Clupea_harengus	ENSCHAT00000028045
ENSDCDP00000051683	ENSDCDG00000031165	Denticeps_clupeoides	ENSDCDT00000063447
ENSAMXP00005033413	ENSAMXG00005016182	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000033146	ENSAMXG00000042075	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000030455	ENSPNAG00000017172	Pygocentrus_nattereri
ENSEEEP00000045990	ENSEEEG00000021670	Electrophorus_electricus
ENSIPUP00000023798	ENSIPUG00000016064	Ictalurus_punctatus
ENSDARP00000118023	ENSDARG00000093658	Danio_rerio
ENSTRUP00000011128	ENSTRUG00000004685	Takifugu_rubripes
ENSTNIP00000012700	ENSTNIG00000009812	Tetraodon_nigroviridis
ENSCSEP00000027176	ENSCSEG00000017360	Cynoglossus_semilaevis
ENSFHEP00000029622	ENSFHEG00000014434	Fundulus_heteroclitus
ENSCVAP00000006622	ENSCVAG00000008189	Cyprinodon_variegatus
ENSPFOP00000011542	ENSPFOG00000011451	Poecilia_formosa
ENSPMEP00000013010	ENSPMEG00000015246	Poecilia_mexicana
ENSPLAP00000026005	ENSPLAG00000013443	Poecilia_latipinna
ENSPREP00000022267	ENSPREG00000015032	Poecilia_reticulata
ENSXMAP00000008979	ENSXMAG00000008953	Xiphophorus_maculatus
ENSXCOP00000020467	ENSXCOG00000015331	Xiphophorus_couchianus
ENSGAFP00000007231	ENSGAFG00000004906	Gambusia_affinis
ENSKMAP00000000172	ENSKMAG00000000173	Kryptolebias_marmoratus
ENSORLP00020003148	ENSORLG00020003921	Oryzias_latipes_ASM223471v1
ENSORLP00000012053	ENSORLG00000009613	Oryzias_latipes_ASM223467v1
ENSOMEP00000021199	ENSOMEG00000023072	Oryzias_melastigma
ENSLCRP00005047569	ENSLCRG00005017918	Larimichthys_crocea
ENSLBEP00000033439	ENSLBEG00000025190	Labrus_bergylta
ENSCGOP00000044945	ENSCGOG00000020161	Cottoperca_gobio
ENSGACP00000025808	ENSGACG00000019525	Gasterosteus_aculeatus
ENSMMOP00000013266	ENSMMOG00000010179	Mola_mola
ENSMAMP00000035096	ENSMAMG00000023564	Mastacembelus_armatus
ENSMALP00000015912	ENSMALG00000011166	Monopterus_albus
