ENSPMJP00000005696	ENSPMJG00000004920	Parus_major
ENSSCAP00000007485	ENSSCAG00000005785	Serinus_canaria
ENSLCOP00000018734	ENSLCOG00000013250	Lepidothrix_coronata
ENSMVIP00005025728	ENSMVIG00005017966	Manacus_vitellinus
ENSJHYP00000010132	ENSJHYG00000007958	Junco_hyemalis
ENSZALP00000001879	ENSZALG00000002249	Zonotrichia_albicollis
ENSCPRP00005024083	ENSCPRG00005016720	Crocodylus_porosus
ENSPVIP00000010194	ENSPVIG00000008086	Pogona_vitticeps
ENSSBOP00000003295	ENSSBOG00000016233	Saimiri_boliviensis_boliviensis
ENSCJAP00000056357	ENSCJAG00000042386	Callithrix_jacchus
ENSCCAP00000015318	ENSCCAG00000025458	Cebus_capucinus_imitator
ENSANAP00000002690	ENSANAG00000019030	Aotus_nancymaae
ENSPTRP00000077267	ENSPTRG00000052442	Pan_troglodytes
ENSPPAP00000035847	ENSPPAG00000040709	Pan_paniscus
ENSGGOP00000051130	ENSGGOG00000044223	Gorilla_gorilla
ENSNLEP00000033777	ENSNLEG00000027818	Nomascus_leucogenys
ENSMFAP00000043533	ENSMFAG00000039182	Macaca_fascicularis
ENSMNEP00000003054	ENSMNEG00000014164	Macaca_nemestrina
ENSCATP00000036210	ENSCATG00000040928	Cercocebus_atys
ENSRBIP00000022632	ENSRBIG00000035262	Rhinopithecus_bieti
ENSRROP00000029376	ENSRROG00000038492	Rhinopithecus_roxellana
ENSPTEP00000007076	ENSPTEG00000008085	Piliocolobus_tephrosceles
ENSTSYP00000016317	ENSTSYG00000031492	Carlito_syrichta
ENSCHIP00000004656	ENSCHIG00000008827	Capra_hircus
ENSPVIP00000002130	ENSPVIG00000001846	Pogona_vitticeps
ENSXETP00000043539	ENSXETG00000018648	Xenopus_tropicalis
ENSPKIP00000026260	ENSPKIG00000008816	Paramormyrops_kingsleyae
ENSSFOP00015005967	ENSSFOG00015003882	Scleropages_formosus
ENSDCDP00000029878	ENSDCDG00000021111	Denticeps_clupeoides
ENSCHAP00000035471	ENSCHAG00000016827	Clupea_harengus
