ENSLCAP00010008379	ENSLCAG00010004060	Lates_calcarifer
ENSAOCP00000003706	ENSAOCG00000007034	Amphiprion_ocellaris
ENSJJAP00000018144	ENSJJAG00000019495	Jaculus_jaculus
ENSECAP00000022663	ENSECAG00000025099	Equus_caballus
ENSVURP00010023955	ENSVURG00010018364	Vombatus_ursinus
ENSEEEP00000039842	ENSEEEG00000018888	Electrophorus_electricus
ENSPTEP00000005923	ENSPTEG00000006833	Piliocolobus_tephrosceles
ENSMFAP00000038492	ENSMFAG00000038605	Macaca_fascicularis
ENSCPUP00000012066	ENSCPUG00000008529	Calidris_pugnax
ENSRNOP00000065711	ENSRNOG00000046151	Rattus_norvegicus
ENSBBBP00000016192	ENSBBBG00000024089	Bison_bison_bison
ENSSPUP00000000182	ENSSPUG00000000203	Sphenodon_punctatus	ENSSPUT00000000200
ENSNMEP00000019075	ENSNMEG00000016520	Numida_meleagris
ENSCCEP00000024063	ENSCCEG00000021419	Cyanistes_caeruleus
ENSTGUP00000008276	ENSTGUG00000008035	Taeniopygia_guttata
ENSPVAP00000000186	ENSPVAG00000000207	Pteropus_vampyrus
ENSMODP00000020723	ENSMODG00000016603	Monodelphis_domestica
ENSMMMP00000015159	ENSMMMG00000013513	Marmota_marmota_marmota
ENSPTIP00000005608	ENSPTIG00000007750	Panthera_tigris_altaica
ENSLOCP00000007600	ENSLOCG00000006292	Lepisosteus_oculatus
ENSACIP00000020485	ENSACIG00000015917	Amphilophus_citrinellus
ENSCPOP00000030165	ENSCPOG00000038009	Cavia_porcellus
ENSGAFP00000020806	ENSGAFG00000014044	Gambusia_affinis
ENSMVIP00005005397	ENSMVIG00005004123	Manacus_vitellinus
ENSACAP00000001036	ENSACAG00000001102	Anolis_carolinensis	ENSACAT00000001065
ENSTGEP00000014089	ENSTGEG00000011430	Theropithecus_gelada
ENSNLEP00000011651	ENSNLEG00000009571	Nomascus_leucogenys
ENSAPEP00000013502	ENSAPEG00000009615	Amphiprion_percula
ENSEEUP00000003270	ENSEEUG00000003608	Erinaceus_europaeus
ENSAHAP00000017932	ENSAHAG00000012706	Apteryx_haastii
ENSPKIP00000017938	ENSPKIG00000003668	Paramormyrops_kingsleyae
ENSCGOP00000028165	ENSCGOG00000013226	Cottoperca_gobio
ENSNMEP00000007131	ENSNMEG00000007210	Numida_meleagris
ENSPPYP00000012491	ENSPPYG00000011180	Pongo_abelii
ENSSSCP00000008031	ENSSSCG00000007523	Sus_scrofa_strain_reference
ENSPCAP00000003559	ENSPCAG00000003842	Procavia_capensis
ENSTNIP00000009846	ENSTNIG00000007046	Tetraodon_nigroviridis
ENSODEP00000000203	ENSODEG00000000178	Octodon_degus
ENSNSUP00000019372	ENSNSUG00000014162	Notechis_scutatus	ENSNSUT00000020624
ENSMLEP00000026937	ENSMLEG00000037666	Mandrillus_leucophaeus
ENSCAFP00000061168	ENSCAFG00000032130	Canis_lupus_familiaris
ENSVVUP00000022061	ENSVVUG00000016193	Vulpes_vulpes
ENSTRUP00000033719	ENSTRUG00000013246	Takifugu_rubripes
ENSFALP00000011181	ENSFALG00000010712	Ficedula_albicollis
ENSORLP00000041780	ENSORLG00000027123	Oryzias_latipes_ASM223467v1
ENSPKIP00000017955	ENSPKIG00000003689	Paramormyrops_kingsleyae
ENSMPUP00000007005	ENSMPUG00000007062	Mustela_putorius_furo
ENSPSIP00000005720	ENSPSIG00000005311	Pelodiscus_sinensis
ENSFDAP00000005560	ENSFDAG00000014543	Fukomys_damarensis
