ENSCJPP00005017332	ENSCJPG00005014169	Coturnix_japonica
ENSMGAP00000002311	ENSMGAG00000002700	Meleagris_gallopavo
ENSGALP00000040172	ENSGALG00000004245	Gallus_gallus
ENSNMEP00000009335	ENSNMEG00000009074	Numida_meleagris
ENSABRP00000006887	ENSABRG00000006340	Anser_brachyrhynchus
ENSAPLP00000029736	ENSAPLG00000015893	Anas_platyrhynchos_platyrhynchos
ENSTGUP00000008428	ENSTGUG00000008180	Taeniopygia_guttata
ENSLSDP00000001481	ENSLSDG00000001171	Lonchura_striata_domestica
ENSSCAP00000012739	ENSSCAG00000009514	Serinus_canaria
ENSCCEP00000025451	ENSCCEG00000022461	Cyanistes_caeruleus
ENSPMJP00000023514	ENSPMJG00000017360	Parus_major
ENSFALP00000014517	ENSFALG00000013914	Ficedula_albicollis
ENSZALP00000006231	ENSZALG00000005708	Zonotrichia_albicollis
ENSMVIP00005003295	ENSMVIG00005002583	Manacus_vitellinus
ENSLCOP00000002067	ENSLCOG00000001631	Lepidothrix_coronata
ENSCPUP00000004162	ENSCPUG00000003107	Calidris_pugnax
ENSMUNP00000006470	ENSMUNG00000005199	Melopsittacus_undulatus
ENSARWP00000026086	ENSARWG00000017709	Apteryx_rowi
ENSAOWP00000025754	ENSAOWG00000017398	Apteryx_owenii
ENSDNVP00000014849	ENSDNVG00000010449	Dromaius_novaehollandiae
ENSCPRP00005023658	ENSCPRG00005016426	Crocodylus_porosus
ENSCABP00000010791	ENSCABG00000008080	Chelonoidis_abingdonii
ENSGAGP00000004442	ENSGAGG00000003678	Gopherus_agassizii
ENSCPBP00000029288	ENSCPBG00000020645	Chrysemys_picta_bellii
ENSPSIP00000010671	ENSPSIG00000009664	Pelodiscus_sinensis
ENSPVIP00000016395	ENSPVIG00000012688	Pogona_vitticeps
ENSACAP00000008874	ENSACAG00000009065	Anolis_carolinensis
ENSSMRP00000014010	ENSSMRG00000010899	Salvator_merianae
ENSAHAP00000014302	ENSAHAG00000010283	Apteryx_haastii
ENSNPEP00000001977	ENSNPEG00000001528	Nothoprocta_perdicaria
ENSCPGP00000010135	ENSCPGG00000007210	Calidris_pygmaea
ENSSPUP00000002367	ENSSPUG00000001835	Sphenodon_punctatus
ENSPCIP00000004629	ENSPCIG00000003825	Phascolarctos_cinereus
ENSVURP00010025101	ENSVURG00010019228	Vombatus_ursinus
ENSSHAP00000019994	ENSSHAG00000016961	Sarcophilus_harrisii
