ENSSBOP00000022679	ENSSBOG00000027878	Saimiri_boliviensis_boliviensis
ENSUPAP00010029814	ENSUPAG00010023451	Urocitellus_parryii	ENSUPAT00010033905
ENSSSCP00000069473	ENSSSCG00000006959	Sus_scrofa_strain_reference
ENSFCAP00000031940	ENSFCAG00000044269	Felis_catus
ENSMMMP00000006690	ENSMMMG00000005990	Marmota_marmota_marmota
ENSP00000328515	ENSG00000185730	Homo_sapiens
ENSTTRP00000007314	ENSTTRG00000007736	Tursiops_truncatus
ENSMNEP00000044784	ENSMNEG00000044951	Macaca_nemestrina
ENSDNOP00000029434	ENSDNOG00000047750	Dasypus_novemcinctus
ENSPTEP00000026487	ENSPTEG00000026535	Piliocolobus_tephrosceles
ENSBMUP00000020579	ENSBMUG00000015500	Bos_mutus
ENSBTAP00000060878	ENSBTAG00000049014	Bos_taurus
ENSPANP00000008053	ENSPANG00000015054	Papio_anubis
ENSANAP00000002914	ENSANAG00000019329	Aotus_nancymaae
ENSNVIP00000013559	ENSNVIG00000010681	Neovison_vison
ENSOGAP00000015651	ENSOGAG00000026765	Otolemur_garnettii
ENSCCNP00000000924	ENSCCNG00000001041	Castor_canadensis
ENSOGAP00000017327	ENSOGAG00000024758	Otolemur_garnettii
ENSMICP00000013490	ENSMICG00000014798	Microcebus_murinus
ENSCSAP00000005371	ENSCSAG00000009115	Chlorocebus_sabaeus
ENSSDAP00000016384	ENSSDAG00000014820	Spermophilus_dauricus
ENSECAP00000027027	ENSECAG00000034775	Equus_caballus
ENSECAP00000025555	ENSECAG00000012444	Equus_caballus
ENSPPAP00000031817	ENSPPAG00000038820	Pan_paniscus
ENSPCOP00000021573	ENSPCOG00000022813	Propithecus_coquereli
ENSRROP00000037211	ENSRROG00000042043	Rhinopithecus_roxellana
ENSGGOP00000009092	ENSGGOG00000036666	Gorilla_gorilla
ENSMFAP00000009258	ENSMFAG00000000914	Macaca_fascicularis
ENSBBBP00000021690	ENSBBBG00000001314	Bison_bison_bison
ENSRBIP00000041243	ENSRBIG00000043976	Rhinopithecus_bieti
ENSTSYP00000008046	ENSTSYG00000008769	Carlito_syrichta
ENSCATP00000023055	ENSCATG00000035107	Cercocebus_atys
ENSPPYP00000021336	ENSPPYG00000019035	Pongo_abelii
ENSPPRP00000026051	ENSPPRG00000016530	Panthera_pardus
ENSMMUP00000071171	ENSMMUG00000061203	Macaca_mulatta
ENSTGEP00000020595	ENSTGEG00000016572	Theropithecus_gelada
ENSBIXP00005000357	ENSBIXG00005030310	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPPRP00000025928	ENSPPRG00000016348	Panthera_pardus
ENSOARP00000001347	ENSOARG00000001296	Ovis_aries
ENSBIXP00005027849	ENSBIXG00005029964	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSP00000486502	ENSG00000269699	Homo_sapiens
ENSCLAP00000018424	ENSCLAG00000012633	Chinchilla_lanigera
ENSEASP00005013675	ENSEASG00005009555	Equus_asinus_asinus
ENSPTRP00000035311	ENSPTRG00000020652	Pan_troglodytes
ENSBTAP00000071269	ENSBTAG00000052472	Bos_taurus
ENSBIXP00005000397	ENSBIXG00005030285	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSEASP00005013681	ENSEASG00005009557	Equus_asinus_asinus
ENSUAMP00000016212	ENSUAMG00000012925	Ursus_americanus
ENSCCAP00000013766	ENSCCAG00000024698	Cebus_capucinus_imitator
ENSCAFP00020023644	ENSCAFG00020018647	Canis_lupus_dingo
ENSBIXP00000006934	ENSBIXG00000012993	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00000006950	ENSBIXG00000013004	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSUMAP00000001295	ENSUMAG00000001246	Ursus_maritimus
ENSNLEP00000041371	ENSNLEG00000029578	Nomascus_leucogenys
ENSVVUP00000031057	ENSVVUG00000022650	Vulpes_vulpes
ENSBMUP00000021004	ENSBMUG00000015806	Bos_mutus
ENSCANP00000012958	ENSCANG00000029892	Colobus_angolensis_palliatus
ENSRBIP00000012122	ENSRBIG00000029997	Rhinopithecus_bieti
ENSCJAP00000039907	ENSCJAG00000035955	Callithrix_jacchus
ENSSTOP00000024903	ENSSTOG00000033270	Ictidomys_tridecemlineatus	ENSSTOT00000030449
