ENSTTRP00000016524	ENSTTRG00000021453	Tursiops_truncatus
ENSVPAP00000011710	ENSVPAG00000015475	Vicugna_pacos
ENSSSCP00000004326	ENSSSCG00000004004	Sus_scrofa_strain_reference
ENSBMUP00000029337	ENSBMUG00000021964	Bos_mutus
ENSBIXP00000035129	ENSBIXG00000018319	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00000013619	ENSBIXG00000018523	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005023900	ENSBIXG00005026587	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000049904	ENSBTAG00000037882	Bos_taurus
ENSBBBP00000002723	ENSBBBG00000002198	Bison_bison_bison
ENSPVAP00000016939	ENSPVAG00000024279	Pteropus_vampyrus
ENSEASP00005029734	ENSEASG00005020212	Equus_asinus_asinus
ENSECAP00000013897	ENSECAG00000016355	Equus_caballus
ENSEASP00005029728	ENSEASG00005020207	Equus_asinus_asinus
ENSUMAP00000004914	ENSUMAG00000003928	Ursus_maritimus
ENSUAMP00000004726	ENSUAMG00000004298	Ursus_americanus
ENSAMEP00000007826	ENSAMEG00000007442	Ailuropoda_melanoleuca
ENSMPUP00000008240	ENSMPUG00000008302	Mustela_putorius_furo
ENSCAFP00000003431	ENSCAFG00000002361	Canis_lupus_familiaris
ENSCAFP00020018694	ENSCAFG00020014856	Canis_lupus_dingo
ENSVVUP00000002925	ENSVVUG00000002284	Vulpes_vulpes
ENSPTIP00000023444	ENSPTIG00000019901	Panthera_tigris_altaica
ENSPPRP00000007918	ENSPPRG00000002891	Panthera_pardus
ENSFCAP00000025086	ENSFCAG00000031378	Felis_catus
ENSPSMP00000012437	ENSPSMG00000008974	Prolemur_simus
ENSPCOP00000011094	ENSPCOG00000017051	Propithecus_coquereli
ENSMICP00000041876	ENSMICG00000030713	Microcebus_murinus
ENSOGAP00000015928	ENSOGAG00000028454	Otolemur_garnettii
ENSPPAP00000013701	ENSPPAG00000030019	Pan_paniscus
ENSPTRP00000019933	ENSPTRG00000011592	Pan_troglodytes
ENSP00000306756	ENSG00000171574	Homo_sapiens
ENSGGOP00000051856	ENSGGOG00000038644	Gorilla_gorilla
ENSPPYP00000011770	ENSPPYG00000010503	Pongo_abelii
ENSNLEP00000024511	ENSNLEG00000033319	Nomascus_leucogenys
ENSMLEP00000029334	ENSMLEG00000038879	Mandrillus_leucophaeus
ENSCATP00000004087	ENSCATG00000014933	Cercocebus_atys
ENSMMUP00000011441	ENSMMUG00000008730	Macaca_mulatta
ENSMFAP00000041446	ENSMFAG00000041469	Macaca_fascicularis
ENSMNEP00000025094	ENSMNEG00000036048	Macaca_nemestrina
ENSPANP00000006955	ENSPANG00000020839	Papio_anubis
ENSTGEP00000020208	ENSTGEG00000016252	Theropithecus_gelada
ENSCSAP00000016429	ENSCSAG00000001597	Chlorocebus_sabaeus
ENSRROP00000009334	ENSRROG00000029097	Rhinopithecus_roxellana
ENSRBIP00000013002	ENSRBIG00000030480	Rhinopithecus_bieti
ENSPTEP00000005296	ENSPTEG00000006146	Piliocolobus_tephrosceles
ENSCANP00000032453	ENSCANG00000039890	Colobus_angolensis_palliatus
ENSCJAP00000000488	ENSCJAG00000000028	Callithrix_jacchus
ENSCCAP00000013435	ENSCCAG00000024529	Cebus_capucinus_imitator
ENSANAP00000034047	ENSANAG00000034679	Aotus_nancymaae
ENSTSYP00000031747	ENSTSYG00000019537	Carlito_syrichta
ENSSDAP00000013096	ENSSDAG00000011807	Spermophilus_dauricus	ENSSDAT00000014826
ENSUPAP00010007945	ENSUPAG00010006403	Urocitellus_parryii	ENSUPAT00010009095
ENSHGLP00000012126	ENSHGLG00000008676	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100012354	ENSHGLG00100009145	Heterocephalus_glaber_HetGla_1.0
ENSCPOP00000028154	ENSCPOG00000031428	Cavia_porcellus
ENSOCUP00000034146	ENSOCUG00000029585	Oryctolagus_cuniculus
ENSRBIP00000008279	ENSRBIG00000028035	Rhinopithecus_bieti
ENSNLEP00000031177	ENSNLEG00000027590	Nomascus_leucogenys
ENSSBOP00000019615	ENSSBOG00000026406	Saimiri_boliviensis_boliviensis
ENSPCAP00000016123	ENSPCAG00000018877	Procavia_capensis
