ENSPVAP00000007624	ENSPVAG00000008073	Pteropus_vampyrus	ENSPVAT00000008073
ENSMLUP00000002929	ENSMLUG00000003218	Myotis_lucifugus	ENSMLUT00000003220
ENSVPAP00000008803	ENSVPAG00000009465	Vicugna_pacos
ENSSSCP00000069183	ENSSSCG00000038877	Sus_scrofa_strain_reference
ENSBIXP00005039346	ENSBIXG00005003667	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000024951	ENSBIXG00000005688	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000024960	ENSBMUG00000018753	Bos_mutus
ENSBBBP00000014895	ENSBBBG00000005970	Bison_bison_bison
ENSBTAP00000056770	ENSBTAG00000006624	Bos_taurus
ENSOARP00000009130	ENSOARG00000008506	Ovis_aries
ENSCHIP00000029657	ENSCHIG00000024700	Capra_hircus
ENSTTRP00000000472	ENSTTRG00000000504	Tursiops_truncatus
ENSCAFP00020030413	ENSCAFG00020023708	Canis_lupus_dingo
ENSVVUP00000009258	ENSVVUG00000006903	Vulpes_vulpes
ENSNVIP00000026597	ENSNVIG00000020564	Neovison_vison
ENSMPUP00000013580	ENSMPUG00000013683	Mustela_putorius_furo
ENSUAMP00000030501	ENSUAMG00000023315	Ursus_americanus
ENSUMAP00000004286	ENSUMAG00000003399	Ursus_maritimus
ENSAMEP00000008549	ENSAMEG00000008126	Ailuropoda_melanoleuca
ENSPPRP00000018775	ENSPPRG00000010329	Panthera_pardus
ENSPTIP00000021153	ENSPTIG00000018400	Panthera_tigris_altaica
ENSFCAP00000021737	ENSFCAG00000036333	Felis_catus
ENSECAP00000015691	ENSECAG00000018019	Equus_caballus
ENSEASP00005001769	ENSEASG00005001395	Equus_asinus_asinus
ENSPTRP00000092809	ENSPTRG00000017432	Pan_troglodytes
ENSPPAP00000030538	ENSPPAG00000038247	Pan_paniscus
ENSGGOP00000014937	ENSGGOG00000004915	Gorilla_gorilla
ENSP00000366942	ENSG00000186334	Homo_sapiens
ENSPPYP00000017863	ENSPPYG00000015963	Pongo_abelii
ENSNLEP00000013355	ENSNLEG00000010981	Nomascus_leucogenys
ENSMFAP00000034477	ENSMFAG00000003733	Macaca_fascicularis
ENSMMUP00000030117	ENSMMUG00000022870	Macaca_mulatta
ENSMNEP00000009282	ENSMNEG00000029091	Macaca_nemestrina
ENSTGEP00000006817	ENSTGEG00000005562	Theropithecus_gelada
ENSCSAP00000007147	ENSCSAG00000010946	Chlorocebus_sabaeus
ENSCATP00000021412	ENSCATG00000034422	Cercocebus_atys
ENSPANP00000041854	ENSPANG00000016764	Papio_anubis
ENSMLEP00000024962	ENSMLEG00000036664	Mandrillus_leucophaeus
ENSPTEP00000015844	ENSPTEG00000017470	Piliocolobus_tephrosceles
ENSCANP00000035297	ENSCANG00000041324	Colobus_angolensis_palliatus
ENSRBIP00000013405	ENSRBIG00000030720	Rhinopithecus_bieti
ENSRROP00000041662	ENSRROG00000044009	Rhinopithecus_roxellana
ENSSBOP00000003602	ENSSBOG00000017155	Saimiri_boliviensis_boliviensis
ENSCCAP00000019520	ENSCCAG00000027595	Cebus_capucinus_imitator
ENSCJAP00000028653	ENSCJAG00000015538	Callithrix_jacchus
ENSANAP00000030421	ENSANAG00000032963	Aotus_nancymaae
ENSTSYP00000004798	ENSTSYG00000005258	Carlito_syrichta
ENSPCOP00000003861	ENSPCOG00000011526	Propithecus_coquereli
ENSMICP00000000620	ENSMICG00000000691	Microcebus_murinus
ENSPSMP00000033107	ENSPSMG00000022857	Prolemur_simus
ENSOGAP00000010147	ENSOGAG00000011328	Otolemur_garnettii
ENSTBEP00000007905	ENSTBEG00000009122	Tupaia_belangeri
ENSCCNP00000008875	ENSCCNG00000009380	Castor_canadensis
ENSDORP00000011876	ENSDORG00000012630	Dipodomys_ordii
MGP_SPRETEiJ_P0028129	MGP_SPRETEiJ_G0017210	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000020502	ENSMUSG00000049491	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0026756	MGP_CAROLIEiJ_G0016368	Mus_caroli_strain_CAROLI_EIJ
ENSMSIP00000009552	ENSMSIG00000008419	Mus_spicilegus
MGP_PahariEiJ_P0033529	MGP_PahariEiJ_G0017503	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000037827	ENSRNOG00000021310	Rattus_norvegicus
ENSMUGP00000026021	ENSMUGG00000021699	Meriones_unguiculatus
ENSCGRP00001003841	ENSCGRG00001004759	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015026936	ENSCGRG00015020388	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000022904	ENSCGRG00000016591	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000009112	ENSMAUG00000010340	Mesocricetus_auratus
ENSPEMP00000015239	ENSPEMG00000014810	Peromyscus_maniculatus_bairdii
ENSMOCP00000026339	ENSMOCG00000022181	Microtus_ochrogaster
ENSNGAP00000001046	ENSNGAG00000000782	Nannospalax_galili
ENSJJAP00000008212	ENSJJAG00000012424	Jaculus_jaculus
ENSCLAP00000019167	ENSCLAG00000013137	Chinchilla_lanigera
ENSODEP00000010758	ENSODEG00000008013	Octodon_degus
ENSCAPP00000014733	ENSCAPG00000015037	Cavia_aperea
ENSCPOP00000008683	ENSCPOG00000009677	Cavia_porcellus
ENSFDAP00000007396	ENSFDAG00000015917	Fukomys_damarensis
ENSSTOP00000006148	ENSSTOG00000006878	Ictidomys_tridecemlineatus
ENSSDAP00000006315	ENSSDAG00000005837	Spermophilus_dauricus
ENSMMMP00000015992	ENSMMMG00000014222	Marmota_marmota_marmota
ENSOCUP00000013604	ENSOCUG00000015841	Oryctolagus_cuniculus
ENSOPRP00000005664	ENSOPRG00000006177	Ochotona_princeps
ENSCHOP00000006127	ENSCHOG00000006914	Choloepus_hoffmanni
ENSDNOP00000014947	ENSDNOG00000019271	Dasypus_novemcinctus
ENSPCAP00000001212	ENSPCAG00000001257	Procavia_capensis
