ENSFALP00000002939	ENSFALG00000002824	Ficedula_albicollis
ENSMOCP00000015507	ENSMOCG00000014677	Microtus_ochrogaster
ENSCLAP00000010714	ENSCLAG00000007392	Chinchilla_lanigera
ENSGAGP00000018855	ENSGAGG00000013948	Gopherus_agassizii
ENSNVIP00000023247	ENSNVIG00000018077	Neovison_vison
ENSARWP00000002419	ENSARWG00000001834	Apteryx_rowi
ENSFDAP00000011147	ENSFDAG00000018759	Fukomys_damarensis
ENSPTEP00000007744	ENSPTEG00000008796	Piliocolobus_tephrosceles
ENSDNOP00000015713	ENSDNOG00000025137	Dasypus_novemcinctus
ENSPMJP00000015606	ENSPMJG00000011848	Parus_major
MGP_PahariEiJ_P0040357	MGP_PahariEiJ_G0019305	Mus_pahari_strain_PAHARI_EIJ
ENSMMUP00000013295	ENSMMUG00000010167	Macaca_mulatta
ENSSSCP00000016380	ENSSSCG00000015448	Sus_scrofa_strain_reference
ENSHGLP00100024706	ENSHGLG00100018147	Heterocephalus_glaber_HetGla_1.0
ENSCMIP00000005060	ENSCMIG00000002991	Callorhinchus_milii
ENSZALP00000010207	ENSZALG00000008658	Zonotrichia_albicollis
ENSSMRP00000024639	ENSSMRG00000019060	Salvator_merianae
ENSCCNP00000001124	ENSCCNG00000001197	Castor_canadensis
ENSATEP00000029849	ENSATEG00000020603	Anabas_testudineus
ENSBTAP00000044371	ENSBTAG00000015353	Bos_taurus
ENSLAFP00000004979	ENSLAFG00000005939	Loxodonta_africana
ENSCCAP00000001535	ENSCCAG00000009644	Cebus_capucinus_imitator
ENSOANP00000019769	ENSOANG00000012497	Ornithorhynchus_anatinus
ENSFCAP00000011766	ENSFCAG00000012691	Felis_catus
ENSCAFP00020029867	ENSCAFG00020023259	Canis_lupus_dingo
ENSPANP00000003349	ENSPANG00000023288	Papio_anubis
ENSMUGP00000018001	ENSMUGG00000015230	Meriones_unguiculatus
ENSCAFP00000037304	ENSCAFG00000003652	Canis_lupus_familiaris
ENSSBOP00000012706	ENSSBOG00000023157	Saimiri_boliviensis_boliviensis
ENSSHAP00000020672	ENSSHAG00000017532	Sarcophilus_harrisii
ENSNGAP00000004347	ENSNGAG00000005644	Nannospalax_galili
ENSTBEP00000012422	ENSTBEG00000014324	Tupaia_belangeri
ENSAMEP00000015013	ENSAMEG00000014223	Ailuropoda_melanoleuca
ENSCPRP00005015560	ENSCPRG00005010907	Crocodylus_porosus
ENSACAP00000017404	ENSACAG00000017678	Anolis_carolinensis
ENSLSDP00000004702	ENSLSDG00000003675	Lonchura_striata_domestica
ENSNPEP00000017705	ENSNPEG00000013129	Nothoprocta_perdicaria
ENSJHYP00000007097	ENSJHYG00000005694	Junco_hyemalis
ENSMNEP00000001698	ENSMNEG00000007636	Macaca_nemestrina
ENSCJAP00000048462	ENSCJAG00000012554	Callithrix_jacchus
ENSOARP00000008843	ENSOARG00000008240	Ovis_aries
ENSODEP00000010810	ENSODEG00000008055	Octodon_degus
ENSMAUP00000017948	ENSMAUG00000016668	Mesocricetus_auratus
ENSMFAP00000012607	ENSMFAG00000024520	Macaca_fascicularis
ENSMODP00000043813	ENSMODG00000046040	Monodelphis_domestica
ENSMLUP00000003816	ENSMLUG00000004186	Myotis_lucifugus
ENSELUP00000016935	ENSELUG00000016679	Esox_lucius
ENSMMMP00000013206	ENSMMMG00000011768	Marmota_marmota_marmota
ENSTGUP00000005780	ENSTGUG00000005610	Taeniopygia_guttata	ENSTGUT00000005838
ENSPVIP00000006312	ENSPVIG00000005236	Pogona_vitticeps
ENSSMRP00000028726	ENSSMRG00000022086	Salvator_merianae
ENSPVIP00000006316	ENSPVIG00000005238	Pogona_vitticeps
ENSOPRP00000002779	ENSOPRG00000003008	Ochotona_princeps
ENSPVIP00000006314	ENSPVIG00000005237	Pogona_vitticeps
ENSVVUP00000023438	ENSVVUG00000017162	Vulpes_vulpes
ENSGGOP00000007285	ENSGGOG00000007442	Gorilla_gorilla
ENSCSAP00000011156	ENSCSAG00000015075	Chlorocebus_sabaeus
ENSCABP00000004138	ENSCABG00000003119	Chelonoidis_abingdonii
ENSETEP00000006235	ENSETEG00000007675	Echinops_telfairi
ENSCHIP00000031543	ENSCHIG00000025859	Capra_hircus
ENSNMEP00000022303	ENSNMEG00000019061	Numida_meleagris	ENSNMET00000032575
ENSEASP00005025727	ENSEASG00005017556	Equus_asinus_asinus
ENSAHAP00000002942	ENSAHAG00000002338	Apteryx_haastii
ENSCATP00000018256	ENSCATG00000032975	Cercocebus_atys
ENSUPAP00010002654	ENSUPAG00010002191	Urocitellus_parryii
ENSPCAP00000014041	ENSPCAG00000014932	Procavia_capensis
ENSABRP00000026781	ENSABRG00000022353	Anser_brachyrhynchus	ENSABRT00000037463
ENSAOWP00000013410	ENSAOWG00000009122	Apteryx_owenii
ENSSARP00000006823	ENSSARG00000007509	Sorex_araneus
ENSLCOP00000022299	ENSLCOG00000015725	Lepidothrix_coronata
ENSCGRP00001020330	ENSCGRG00001019516	Cricetulus_griseus_CHOK1GS_HDv1
ENSPSMP00000014326	ENSPSMG00000010273	Prolemur_simus
ENSSCAP00000014214	ENSSCAG00000010449	Serinus_canaria
ENSPCOP00000019562	ENSPCOG00000021733	Propithecus_coquereli
ENSCPUP00000002388	ENSCPUG00000001824	Calidris_pugnax
ENSANAP00000017217	ENSANAG00000026477	Aotus_nancymaae
ENSCANP00000029456	ENSCANG00000038340	Colobus_angolensis_palliatus
ENSCGRP00015011170	ENSCGRG00015008581	Cricetulus_griseus_CriGri-PICR
ENSCABP00000004123	ENSCABG00000003110	Chelonoidis_abingdonii
ENSPPRP00000014501	ENSPPRG00000007373	Panthera_pardus
ENSRNOP00000069890	ENSRNOG00000058285	Rattus_norvegicus
ENSNLEP00000003154	ENSNLEG00000002555	Nomascus_leucogenys
ENSECAP00000039114	ENSECAG00000018422	Equus_caballus
ENSCJPP00005018161	ENSCJPG00005014778	Coturnix_japonica	ENSCJPT00005025274
ENSBIXP00000044225	ENSBIXG00000028406	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005045588	ENSBIXG00005005213	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSTGEP00000018894	ENSTGEG00000015209	Theropithecus_gelada
ENSSCAP00000014221	ENSSCAG00000010456	Serinus_canaria
MGP_SPRETEiJ_P0035322	MGP_SPRETEiJ_G0019111	Mus_spretus_strain_SPRET/EiJ
ENSGALP00000056712	ENSGALG00000029677	Gallus_gallus	ENSGALT00000052802
ENSCHOP00000005592	ENSCHOG00000006311	Choloepus_hoffmanni
ENSPVAP00000013263	ENSPVAG00000014064	Pteropus_vampyrus
ENSMUNP00000019186	ENSMUNG00000014660	Melopsittacus_undulatus	ENSMUNT00000022010
ENSCPGP00000016242	ENSCPGG00000011414	Calidris_pygmaea
ENSRBIP00000013090	ENSRBIG00000030531	Rhinopithecus_bieti
ENSJJAP00000000298	ENSJJAG00000000267	Jaculus_jaculus
ENSBBBP00000006072	ENSBBBG00000003565	Bison_bison_bison
ENSMGAP00000012562	ENSMGAG00000011969	Meleagris_gallopavo	ENSMGAT00000013458
ENSMICP00000001771	ENSMICG00000001938	Microcebus_murinus
ENSPTRP00000032615	ENSPTRG00000019091	Pan_troglodytes
ENSPREP00000014094	ENSPREG00000009577	Poecilia_reticulata
ENSAPLP00000016785	ENSAPLG00000019068	Anas_platyrhynchos_platyrhynchos
ENSCCEP00000013903	ENSCCEG00000013314	Cyanistes_caeruleus
ENSSTOP00000023655	ENSSTOG00000014565	Ictidomys_tridecemlineatus
ENSNSUP00000014235	ENSNSUG00000010530	Notechis_scutatus
ENSP00000199447	ENSG00000086288	Homo_sapiens
ENSTSYP00000004175	ENSTSYG00000004544	Carlito_syrichta
ENSCGRP00000001950	ENSCGRG00000001454	Cricetulus_griseus_CriGri_1.0
ENSOGAP00000005072	ENSOGAG00000005678	Otolemur_garnettii
ENSHGLP00000011506	ENSHGLG00000008249	Heterocephalus_glaber_HetGla_female_1.0
