ENSOCUP00000048165	ENSOCUG00000010508	Oryctolagus_cuniculus
ENSOPRP00000009074	ENSOPRG00000009937	Ochotona_princeps
ENSCHOP00000000963	ENSCHOG00000001088	Choloepus_hoffmanni
ENSDNOP00000003622	ENSDNOG00000004692	Dasypus_novemcinctus
ENSPSMP00000015529	ENSPSMG00000011036	Prolemur_simus
ENSMICP00000049920	ENSMICG00000011539	Microcebus_murinus
ENSPCOP00000015316	ENSPCOG00000019385	Propithecus_coquereli
ENSOGAP00000020703	ENSOGAG00000034936	Otolemur_garnettii
ENSTGEP00000008323	ENSTGEG00000006801	Theropithecus_gelada
ENSPANP00000047198	ENSPANG00000011176	Papio_anubis
ENSCSAP00000013159	ENSCSAG00000017121	Chlorocebus_sabaeus
ENSCATP00000002709	ENSCATG00000011394	Cercocebus_atys
ENSMLEP00000019666	ENSMLEG00000034012	Mandrillus_leucophaeus
ENSMFAP00000002582	ENSMFAG00000038291	Macaca_fascicularis
ENSMMUP00000033268	ENSMMUG00000014833	Macaca_mulatta
ENSMNEP00000039547	ENSMNEG00000042705	Macaca_nemestrina
ENSPTEP00000039093	ENSPTEG00000036240	Piliocolobus_tephrosceles
ENSCANP00000010981	ENSCANG00000028875	Colobus_angolensis_palliatus
ENSRROP00000020208	ENSRROG00000034051	Rhinopithecus_roxellana
ENSRBIP00000018442	ENSRBIG00000033201	Rhinopithecus_bieti
ENSP00000331897	ENSG00000182054	Homo_sapiens
ENSGGOP00000004782	ENSGGOG00000004880	Gorilla_gorilla
ENSPTRP00000082969	ENSPTRG00000007446	Pan_troglodytes
ENSPPAP00000018705	ENSPPAG00000032500	Pan_paniscus
ENSPPYP00000007685	ENSPPYG00000006775	Pongo_abelii
ENSNLEP00000014486	ENSNLEG00000011819	Nomascus_leucogenys
ENSCJAP00000017348	ENSCJAG00000009440	Callithrix_jacchus
ENSCCAP00000014339	ENSCCAG00000024978	Cebus_capucinus_imitator
ENSSBOP00000009582	ENSSBOG00000021665	Saimiri_boliviensis_boliviensis
ENSANAP00000001267	ENSANAG00000010018	Aotus_nancymaae
ENSTSYP00000030456	ENSTSYG00000031319	Carlito_syrichta
