ENSOCUP00000003814	ENSOCUG00000004411	Oryctolagus_cuniculus
ENSOPRP00000009328	ENSOPRG00000010207	Ochotona_princeps
ENSHGLP00000014656	ENSHGLG00000010492	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100008879	ENSHGLG00100006606	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000009396	ENSFDAG00000017420	Fukomys_damarensis
ENSODEP00000023170	ENSODEG00000016991	Octodon_degus
ENSODEP00000019693	ENSODEG00000014533	Octodon_degus
ENSCLAP00000023092	ENSCLAG00000015853	Chinchilla_lanigera
ENSCAPP00000006924	ENSCAPG00000008985	Cavia_aperea
ENSCPOP00000014618	ENSCPOG00000020174	Cavia_porcellus
MGP_PahariEiJ_P0036110	MGP_PahariEiJ_G0018146	Mus_pahari_strain_PAHARI_EIJ
ENSCGRP00015016475	ENSCGRG00015012682	Cricetulus_griseus_CriGri-PICR
ENSCCNP00000019532	ENSCCNG00000019621	Castor_canadensis
ENSCCNP00000007348	ENSCCNG00000007847	Castor_canadensis
ENSDORP00000013516	ENSDORG00000014371	Dipodomys_ordii
MGP_SPRETEiJ_P0030818	MGP_SPRETEiJ_G0017862	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000022604	ENSMSIG00000019193	Mus_spicilegus
ENSMUSP00000013559	ENSMUSG00000013415	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0029397	MGP_CAROLIEiJ_G0017016	Mus_caroli_strain_CAROLI_EIJ
ENSRNOP00000008139	ENSRNOG00000006122	Rattus_norvegicus
ENSMUGP00000012810	ENSMUGG00000011119	Meriones_unguiculatus
ENSMUGP00000012692	ENSMUGG00000010983	Meriones_unguiculatus
ENSCGRP00015026828	ENSCGRG00015020296	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001000354	ENSCGRG00001000282	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000019988	ENSCGRG00000014555	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001003050	ENSCGRG00001003571	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00001005146	ENSCGRG00001006706	Cricetulus_griseus_CHOK1GS_HDv1
ENSMOCP00000010058	ENSMOCG00000010232	Microtus_ochrogaster
