ENSDNVP00000021951	ENSDNVG00000015304	Dromaius_novaehollandiae
ENSCATP00000030683	ENSCATG00000038505	Cercocebus_atys
ENSDARP00000100671	ENSDARG00000078381	Danio_rerio
ENSDNOP00000034216	ENSDNOG00000049637	Dasypus_novemcinctus
ENSSSCP00000062709	ENSSSCG00000041126	Sus_scrofa_strain_reference
ENSLACP00000021639	ENSLACG00000019012	Latimeria_chalumnae
ENSMGAP00000013838	ENSMGAG00000013113	Meleagris_gallopavo
ENSMGAP00000013839	ENSMGAG00000016835	Meleagris_gallopavo
ENSSDUP00000025197	ENSSDUG00000018299	Seriola_dumerili
ENSLCOP00000013020	ENSLCOG00000009357	Lepidothrix_coronata
ENSLAFP00000029008	ENSLAFG00000026209	Loxodonta_africana
ENSCCNP00000028682	ENSCCNG00000027443	Castor_canadensis
ENSMPUP00000018433	ENSMPUG00000018551	Mustela_putorius_furo
ENSCAFP00020027292	ENSCAFG00020021064	Canis_lupus_dingo
ENSACAP00000009207	ENSACAG00000009369	Anolis_carolinensis
ENSACIP00000023693	ENSACIG00000018320	Amphilophus_citrinellus
ENSFCAP00000020506	ENSFCAG00000022277	Felis_catus
ENSCPGP00000010333	ENSCPGG00000007341	Calidris_pygmaea
ENSHHUP00000032364	ENSHHUG00000020532	Hucho_hucho
ENSLBEP00000017945	ENSLBEG00000013722	Labrus_bergylta
ENSACLP00000040673	ENSACLG00000027383	Astatotilapia_calliptera
ENSTBEP00000003903	ENSTBEG00000004550	Tupaia_belangeri
ENSHHUP00000076485	ENSHHUG00000044769	Hucho_hucho
ENSBIXP00000032118	ENSBIXG00000014590	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSDCDP00000030265	ENSDCDG00000020840	Denticeps_clupeoides
ENSHHUP00000076480	ENSHHUG00000044764	Hucho_hucho
ENSLAFP00000027599	ENSLAFG00000025819	Loxodonta_africana
ENSFALP00000002478	ENSFALG00000002380	Ficedula_albicollis
ENSTNIP00000009937	ENSTNIG00000007136	Tetraodon_nigroviridis
ENSBTAP00000074149	ENSBTAG00000026953	Bos_taurus
FBpp0073859	FBgn0027287	Drosophila_melanogaster	FBtr0074042
ENSSFOP00015011673	ENSSFOG00015007444	Scleropages_formosus
ENSLAFP00000004088	ENSLAFG00000004883	Loxodonta_africana
ENSPFOP00000012172	ENSPFOG00000011999	Poecilia_formosa
ENSCAPP00000007417	ENSCAPG00000009348	Cavia_aperea
ENSELUP00000040652	ENSELUG00000021299	Esox_lucius
ENSPANP00000013088	ENSPANG00000026057	Papio_anubis
ENSUMAP00000010890	ENSUMAG00000008201	Ursus_maritimus
ENSUAMP00000003016	ENSUAMG00000002762	Ursus_americanus
ENSTBEP00000008010	ENSTBEG00000009221	Tupaia_belangeri
ENSPRNP00000047490	ENSPRNG00000022831	Parambassis_ranga
ENSAHAP00000024080	ENSAHAG00000016748	Apteryx_haastii
ENSCATP00000039185	ENSCATG00000042237	Cercocebus_atys
ENSEEEP00000048803	ENSEEEG00000022934	Electrophorus_electricus
ENSHBUP00000011698	ENSHBUG00000013357	Haplochromis_burtoni
ENSCLAP00000021475	ENSCLAG00000014710	Chinchilla_lanigera
ENSXCOP00000005585	ENSXCOG00000004357	Xiphophorus_couchianus
ENSMUNP00000020808	ENSMUNG00000015800	Melopsittacus_undulatus
ENSJHYP00000003401	ENSJHYG00000002808	Junco_hyemalis
ENSVURP00010000631	ENSVURG00010000541	Vombatus_ursinus
ENSHHUP00000076498	ENSHHUG00000044771	Hucho_hucho
ENSLSDP00000021518	ENSLSDG00000015217	Lonchura_striata_domestica
