ENSBIXP00005022895	ENSBIXG00005025682	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000039504	ENSBIXG00000003978	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000008509	ENSBTAG00000006494	Bos_taurus
ENSBMUP00000018968	ENSBMUG00000014371	Bos_mutus
ENSBBBP00000013712	ENSBBBG00000021401	Bison_bison_bison
ENSOARP00000021987	ENSOARG00000020469	Ovis_aries
ENSCHIP00000022459	ENSCHIG00000020420	Capra_hircus
ENSTTRP00000010940	ENSTTRG00000011535	Tursiops_truncatus
ENSSSCP00000036896	ENSSSCG00000024788	Sus_scrofa_strain_reference
ENSVPAP00000011484	ENSVPAG00000012355	Vicugna_pacos
ENSECAP00000019286	ENSECAG00000021850	Equus_caballus
ENSEASP00005000224	ENSEASG00005000206	Equus_asinus_asinus
ENSPVAP00000006096	ENSPVAG00000006452	Pteropus_vampyrus
ENSMLUP00000001604	ENSMLUG00000001753	Myotis_lucifugus
ENSUMAP00000004533	ENSUMAG00000003649	Ursus_maritimus
ENSUAMP00000014917	ENSUAMG00000011971	Ursus_americanus
ENSAMEP00000012126	ENSAMEG00000011529	Ailuropoda_melanoleuca
ENSCAFP00000020647	ENSCAFG00000014009	Canis_lupus_familiaris
ENSCAFP00020025572	ENSCAFG00020020151	Canis_lupus_dingo
ENSVVUP00000018517	ENSVVUG00000013608	Vulpes_vulpes
ENSNVIP00000027129	ENSNVIG00000020988	Neovison_vison
ENSMPUP00000003429	ENSMPUG00000003460	Mustela_putorius_furo
ENSPPRP00000022332	ENSPPRG00000012880	Panthera_pardus
ENSPTIP00000016072	ENSPTIG00000014978	Panthera_tigris_altaica
ENSFCAP00000003069	ENSFCAG00000003329	Felis_catus
ENSEEUP00000011532	ENSEEUG00000012656	Erinaceus_europaeus
ENSSARP00000009570	ENSSARG00000010604	Sorex_araneus
ENSPPAP00000017120	ENSPPAG00000031653	Pan_paniscus
ENSPTRP00000027074	ENSPTRG00000015739	Pan_troglodytes
ENSP00000264734	ENSG00000113946	Homo_sapiens
ENSGGOP00000028408	ENSGGOG00000025366	Gorilla_gorilla
ENSPPYP00000016109	ENSPPYG00000014403	Pongo_abelii
ENSNLEP00000008208	ENSNLEG00000006741	Nomascus_leucogenys
ENSCANP00000005310	ENSCANG00000018211	Colobus_angolensis_palliatus
ENSPTEP00000008370	ENSPTEG00000009519	Piliocolobus_tephrosceles
ENSRBIP00000000277	ENSRBIG00000001398	Rhinopithecus_bieti
ENSRROP00000030232	ENSRROG00000038871	Rhinopithecus_roxellana
ENSTGEP00000030421	ENSTGEG00000024411	Theropithecus_gelada
ENSPANP00000045590	ENSPANG00000013683	Papio_anubis
ENSMLEP00000039407	ENSMLEG00000043737	Mandrillus_leucophaeus
ENSCATP00000017802	ENSCATG00000032777	Cercocebus_atys
ENSMNEP00000012680	ENSMNEG00000030636	Macaca_nemestrina
ENSMMUP00000038272	ENSMMUG00000018671	Macaca_mulatta
ENSMFAP00000023162	ENSMFAG00000043262	Macaca_fascicularis
ENSCSAP00000005260	ENSCSAG00000009010	Chlorocebus_sabaeus
ENSSBOP00000025839	ENSSBOG00000029384	Saimiri_boliviensis_boliviensis
ENSCCAP00000009389	ENSCCAG00000022441	Cebus_capucinus_imitator
ENSCJAP00000026161	ENSCJAG00000014218	Callithrix_jacchus
ENSANAP00000017631	ENSANAG00000026689	Aotus_nancymaae
ENSTSYP00000007799	ENSTSYG00000008483	Carlito_syrichta
ENSCCNP00000030893	ENSCCNG00000029500	Castor_canadensis
ENSDORP00000007632	ENSDORG00000008134	Dipodomys_ordii
MGP_SPRETEiJ_P0042993	MGP_SPRETEiJ_G0021524	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000008923	ENSMSIG00000007933	Mus_spicilegus
ENSMUSP00000124528	ENSMUSG00000038148	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0041125	MGP_CAROLIEiJ_G0020628	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0028509	MGP_PahariEiJ_G0016333	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000074628	ENSRNOG00000055138	Rattus_norvegicus
ENSMUGP00000015371	ENSMUGG00000013233	Meriones_unguiculatus
ENSPEMP00000014028	ENSPEMG00000013939	Peromyscus_maniculatus_bairdii
ENSMOCP00000011457	ENSMOCG00000011704	Microtus_ochrogaster
ENSCGRP00015032410	ENSCGRG00015024448	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001002474	ENSCGRG00001002709	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000017838	ENSCGRG00000012971	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000008638	ENSMAUG00000010011	Mesocricetus_auratus
ENSNGAP00000023555	ENSNGAG00000022077	Nannospalax_galili
ENSJJAP00000007542	ENSJJAG00000011916	Jaculus_jaculus
ENSCLAP00000018387	ENSCLAG00000012605	Chinchilla_lanigera
ENSODEP00000000980	ENSODEG00000000787	Octodon_degus
ENSCAPP00000013197	ENSCAPG00000013880	Cavia_aperea
ENSCPOP00000007764	ENSCPOG00000008643	Cavia_porcellus
ENSHGLP00000025449	ENSHGLG00000018130	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100010320	ENSHGLG00100007672	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000001875	ENSFDAG00000011733	Fukomys_damarensis
ENSUPAP00010000264	ENSUPAG00010000249	Urocitellus_parryii
ENSSDAP00000002080	ENSSDAG00000001992	Spermophilus_dauricus
ENSSTOP00000007813	ENSSTOG00000008723	Ictidomys_tridecemlineatus
ENSMMMP00000011326	ENSMMMG00000010089	Marmota_marmota_marmota
ENSOCUP00000009865	ENSOCUG00000011471	Oryctolagus_cuniculus
ENSOPRP00000001284	ENSOPRG00000001385	Ochotona_princeps
ENSPCOP00000016170	ENSPCOG00000019841	Propithecus_coquereli
ENSPSMP00000027696	ENSPSMG00000019333	Prolemur_simus
ENSMICP00000050680	ENSMICG00000049404	Microcebus_murinus
ENSOGAP00000002609	ENSOGAG00000002915	Otolemur_garnettii
ENSTBEP00000001607	ENSTBEG00000001865	Tupaia_belangeri
ENSCHOP00000001517	ENSCHOG00000001714	Choloepus_hoffmanni
ENSDNOP00000031310	ENSDNOG00000034208	Dasypus_novemcinctus
ENSLAFP00000006738	ENSLAFG00000008037	Loxodonta_africana
ENSPCAP00000001817	ENSPCAG00000001952	Procavia_capensis
ENSETEP00000010425	ENSETEG00000012856	Echinops_telfairi
ENSVURP00010030657	ENSVURG00010023440	Vombatus_ursinus
ENSPCIP00000034208	ENSPCIG00000025316	Phascolarctos_cinereus
ENSMEUP00000008340	ENSMEUG00000009126	Notamacropus_eugenii
ENSSHAP00000003887	ENSSHAG00000003423	Sarcophilus_harrisii
ENSMODP00000018862	ENSMODG00000015088	Monodelphis_domestica
ENSOANP00000007053	ENSOANG00000004452	Ornithorhynchus_anatinus
ENSGAGP00000012322	ENSGAGG00000009470	Gopherus_agassizii
ENSCABP00000007331	ENSCABG00000005543	Chelonoidis_abingdonii
ENSCPBP00000017462	ENSCPBG00000012793	Chrysemys_picta_bellii
ENSPSIP00000006613	ENSPSIG00000006084	Pelodiscus_sinensis
ENSCPRP00005018108	ENSCPRG00005012619	Crocodylus_porosus
ENSACAP00000000656	ENSACAG00000000733	Anolis_carolinensis
ENSPVIP00000012826	ENSPVIG00000010006	Pogona_vitticeps
ENSNSUP00000006671	ENSNSUG00000005278	Notechis_scutatus
ENSSMRP00000021025	ENSSMRG00000016330	Salvator_merianae
ENSSPUP00000013931	ENSSPUG00000010738	Sphenodon_punctatus
ENSAOWP00000000123	ENSAOWG00000000108	Apteryx_owenii
ENSARWP00000010727	ENSARWG00000007438	Apteryx_rowi
ENSAHAP00000009483	ENSAHAG00000006868	Apteryx_haastii
ENSDNVP00000008841	ENSDNVG00000006293	Dromaius_novaehollandiae
ENSNPEP00000010910	ENSNPEG00000008151	Nothoprocta_perdicaria
ENSMGAP00000007570	ENSMGAG00000007449	Meleagris_gallopavo
ENSGALP00000043026	ENSGALG00000025821	Gallus_gallus
ENSCJPP00005016545	ENSCJPG00005013577	Coturnix_japonica
ENSNMEP00000005516	ENSNMEG00000005736	Numida_meleagris
ENSABRP00000009540	ENSABRG00000008505	Anser_brachyrhynchus
ENSLCOP00000000958	ENSLCOG00000000795	Lepidothrix_coronata
ENSMVIP00005004699	ENSMVIG00005003622	Manacus_vitellinus
ENSTGUP00000009616	ENSTGUG00000009324	Taeniopygia_guttata
ENSZALP00000007433	ENSZALG00000006596	Zonotrichia_albicollis
ENSFALP00000007674	ENSFALG00000007345	Ficedula_albicollis
ENSPMJP00000026823	ENSPMJG00000019562	Parus_major
ENSCCEP00000015329	ENSCCEG00000014533	Cyanistes_caeruleus
ENSJHYP00000001301	ENSJHYG00000001125	Junco_hyemalis
ENSSCAP00000020836	ENSSCAG00000015003	Serinus_canaria
ENSLSDP00000013938	ENSLSDG00000010073	Lonchura_striata_domestica
ENSMUNP00000014798	ENSMUNG00000011495	Melopsittacus_undulatus
ENSCPGP00000026621	ENSCPGG00000018345	Calidris_pygmaea
ENSCPUP00000025354	ENSCPUG00000017150	Calidris_pugnax
ENSMUNP00000014799	ENSMUNG00000011496	Melopsittacus_undulatus
ENSXETP00000041858	ENSXETG00000020995	Xenopus_tropicalis
ENSLACP00000018273	ENSLACG00000016096	Latimeria_chalumnae
ENSECRP00000009087	ENSECRG00000006098	Erpetoichthys_calabaricus
ENSLOCP00000006133	ENSLOCG00000005092	Lepisosteus_oculatus
ENSCMIP00000003995	ENSCMIG00000002383	Callorhinchus_milii
ENSCMIP00000008556	ENSCMIG00000004586	Callorhinchus_milii
