ENSDORP00000008845	ENSDORG00000009417	Dipodomys_ordii
ENSNPEP00000021294	ENSNPEG00000015797	Nothoprocta_perdicaria
ENSPPRP00000012931	ENSPPRG00000006318	Panthera_pardus
ENSCANP00000023732	ENSCANG00000035276	Colobus_angolensis_palliatus
ENSUAMP00000023594	ENSUAMG00000018477	Ursus_americanus
ENSGGOP00000019113	ENSGGOG00000023475	Gorilla_gorilla
ENSAHAP00000018702	ENSAHAG00000013266	Apteryx_haastii
ENSUMAP00000028107	ENSUMAG00000020402	Ursus_maritimus
ENSMUNP00000004841	ENSMUNG00000004028	Melopsittacus_undulatus
ENSBMUP00000014838	ENSBMUG00000011279	Bos_mutus
ENSFDAP00000017474	ENSFDAG00000006028	Fukomys_damarensis
ENSLAFP00000000295	ENSLAFG00000000353	Loxodonta_africana
ENSBBBP00000011302	ENSBBBG00000004992	Bison_bison_bison
ENSFCAP00000000115	ENSFCAG00000000126	Felis_catus
ENSEASP00005030905	ENSEASG00005021073	Equus_asinus_asinus
ENSBIXP00000007036	ENSBIXG00000007433	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSEEUP00000011927	ENSEEUG00000013106	Erinaceus_europaeus
ENSMGAP00000013698	ENSMGAG00000012989	Meleagris_gallopavo
ENSSMRP00000010245	ENSSMRG00000008128	Salvator_merianae
ENSCPRP00005019622	ENSCPRG00005013683	Crocodylus_porosus
ENSODEP00000020224	ENSODEG00000014915	Octodon_degus
ENSCHIP00000013024	ENSCHIG00000014595	Capra_hircus
ENSJJAP00000018500	ENSJJAG00000019756	Jaculus_jaculus
ENSMNEP00000036272	ENSMNEG00000041273	Macaca_nemestrina
ENSCPBP00000026872	ENSCPBG00000019073	Chrysemys_picta_bellii
ENSZALP00000018461	ENSZALG00000014778	Zonotrichia_albicollis
ENSBIXP00005000218	ENSBIXG00005030479	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCAFP00020023568	ENSCAFG00020018587	Canis_lupus_dingo
ENSHGLP00100022782	ENSHGLG00100016750	Heterocephalus_glaber_HetGla_1.0
ENSMFAP00000030735	ENSMFAG00000042555	Macaca_fascicularis
ENSTSYP00000010708	ENSTSYG00000011719	Carlito_syrichta
ENSDNVP00000027446	ENSDNVG00000019059	Dromaius_novaehollandiae
ENSPTIP00000007679	ENSPTIG00000009254	Panthera_tigris_altaica
ENSMODP00000056465	ENSMODG00000000038	Monodelphis_domestica
ENSMUNP00000003392	ENSMUNG00000002893	Melopsittacus_undulatus
ENSMAUP00000020283	ENSMAUG00000018339	Mesocricetus_auratus
ENSCGRP00015022180	ENSCGRG00015016899	Cricetulus_griseus_CriGri-PICR
ENSCABP00000012698	ENSCABG00000009501	Chelonoidis_abingdonii
ENSANAP00000009403	ENSANAG00000022696	Aotus_nancymaae
ENSCCAP00000002909	ENSCCAG00000016847	Cebus_capucinus_imitator
ENSOARP00000001798	ENSOARG00000001714	Ovis_aries	ENSOART00000001842
ENSCJAP00000068237	ENSCJAG00000053657	Callithrix_jacchus
ENSOANP00000022203	ENSOANG00000014076	Ornithorhynchus_anatinus	ENSOANT00000022207
ENSOANP00000022200	ENSOANG00000014075	Ornithorhynchus_anatinus	ENSOANT00000022204
ENSCPGP00000010288	ENSCPGG00000007306	Calidris_pygmaea
ENSPPYP00000021226	ENSPPYG00000018922	Pongo_abelii
ENSAMEP00000001462	ENSAMEG00000001400	Ailuropoda_melanoleuca
