ENSMUSP00000055058	ENSMUSG00000056144	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000060315
ENSMUSP00000102460	ENSMUSG00000090215	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000106847
ENSMSIP00000035949	ENSMSIG00000029902	Mus_spicilegus	ENSMSIT00000045282
MGP_SPRETEiJ_P0084604	MGP_SPRETEiJ_G0031294	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0084604
MGP_SPRETEiJ_P0084605	MGP_SPRETEiJ_G0031295	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0084605
MGP_PahariEiJ_P0018065	MGP_PahariEiJ_G0013402	Mus_pahari_strain_PAHARI_EIJ	MGP_PahariEiJ_T0018065
MGP_PahariEiJ_P0018066	MGP_PahariEiJ_G0013403	Mus_pahari_strain_PAHARI_EIJ	MGP_PahariEiJ_T0018066
ENSRNOP00000052084	ENSRNOG00000042686	Rattus_norvegicus	ENSRNOT00000055210
ENSMUGP00000024248	ENSMUGG00000020262	Meriones_unguiculatus	ENSMUGT00000027803
ENSCGRP00001007100	ENSCGRG00001009554	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000011137	ENSCGRG00000008122	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015025009	ENSCGRG00015018966	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000001663	ENSMAUG00000001228	Mesocricetus_auratus
ENSPEMP00000026991	ENSPEMG00000022921	Peromyscus_maniculatus_bairdii
ENSMOCP00000014866	ENSMOCG00000014239	Microtus_ochrogaster
ENSNGAP00000018346	ENSNGAG00000018506	Nannospalax_galili
ENSJJAP00000013335	ENSJJAG00000016123	Jaculus_jaculus
ENSCCNP00000027866	ENSCCNG00000026917	Castor_canadensis
ENSSDAP00000001279	ENSSDAG00000001233	Spermophilus_dauricus
ENSSDAP00000014658	ENSSDAG00000013223	Spermophilus_dauricus
ENSUPAP00010011031	ENSUPAG00010008935	Urocitellus_parryii
ENSSTOP00000026741	ENSSTOG00000014201	Ictidomys_tridecemlineatus
ENSSDAP00000019639	ENSSDAG00000017896	Spermophilus_dauricus
ENSSDAP00000016382	ENSSDAG00000014812	Spermophilus_dauricus
ENSMMMP00000014990	ENSMMMG00000013334	Marmota_marmota_marmota
ENSHGLP00000013379	ENSHGLG00000009563	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000017604	ENSFDAG00000006145	Fukomys_damarensis
ENSCLAP00000021955	ENSCLAG00000015043	Chinchilla_lanigera
ENSODEP00000012427	ENSODEG00000009221	Octodon_degus
ENSCAPP00000006215	ENSCAPG00000008408	Cavia_aperea
ENSCPOP00000031957	ENSCPOG00000035644	Cavia_porcellus
MGP_CAROLIEiJ_P0081235	MGP_CAROLIEiJ_G0030185	Mus_caroli_strain_CAROLI_EIJ
MGP_CAROLIEiJ_P0081240	MGP_CAROLIEiJ_G0030186	Mus_caroli_strain_CAROLI_EIJ
ENSPTRP00000067040	ENSPTRG00000003257	Pan_troglodytes
ENSPPAP00000041599	ENSPPAG00000043406	Pan_paniscus
ENSP00000346916	ENSG00000258588	Homo_sapiens
ENSP00000422947	ENSG00000258659	Homo_sapiens
ENSGGOP00000014435	ENSGGOG00000014791	Gorilla_gorilla
ENSPPYP00000004091	ENSPPYG00000003565	Pongo_abelii
ENSNLEP00000021079	ENSNLEG00000017369	Nomascus_leucogenys
ENSMLEP00000029993	ENSMLEG00000039194	Mandrillus_leucophaeus
ENSCATP00000034641	ENSCATG00000040216	Cercocebus_atys
ENSMFAP00000011875	ENSMFAG00000019545	Macaca_fascicularis
ENSMNEP00000030809	ENSMNEG00000038852	Macaca_nemestrina
ENSTGEP00000026653	ENSTGEG00000021491	Theropithecus_gelada
ENSPANP00000009235	ENSPANG00000020255	Papio_anubis
ENSCSAP00000000624	ENSCSAG00000004285	Chlorocebus_sabaeus
ENSPTEP00000012847	ENSPTEG00000014433	Piliocolobus_tephrosceles
ENSCANP00000028069	ENSCANG00000037424	Colobus_angolensis_palliatus
ENSRBIP00000019359	ENSRBIG00000033673	Rhinopithecus_bieti
ENSRROP00000028650	ENSRROG00000038118	Rhinopithecus_roxellana
