ENSPCAP00000011837	ENSPCAG00000012700	Procavia_capensis
ENSLAFP00000024936	ENSLAFG00000004000	Loxodonta_africana
ENSETEP00000013522	ENSETEG00000016662	Echinops_telfairi
ENSDNOP00000017983	ENSDNOG00000043735	Dasypus_novemcinctus
ENSCGRP00000000238	ENSCGRG00000000234	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015012157	ENSCGRG00015009332	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001010424	ENSCGRG00001012321	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000022176	ENSMAUG00000019689	Mesocricetus_auratus
ENSMOCP00000017515	ENSMOCG00000016088	Microtus_ochrogaster
ENSPEMP00000010436	ENSPEMG00000011424	Peromyscus_maniculatus_bairdii
ENSMUSP00000109796	ENSMUSG00000026932	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000033278	ENSMSIG00000027849	Mus_spicilegus
MGP_SPRETEiJ_P0052326	MGP_SPRETEiJ_G0024222	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0050301	MGP_CAROLIEiJ_G0023305	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0061324	MGP_PahariEiJ_G0024762	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000024786	ENSRNOG00000018231	Rattus_norvegicus
ENSMUGP00000026831	ENSMUGG00000022335	Meriones_unguiculatus
ENSNGAP00000010457	ENSNGAG00000012885	Nannospalax_galili
ENSJJAP00000005207	ENSJJAG00000010154	Jaculus_jaculus
ENSDORP00000019710	ENSDORG00000024416	Dipodomys_ordii
ENSUPAP00010009033	ENSUPAG00010007297	Urocitellus_parryii
ENSSTOP00000020129	ENSSTOG00000022606	Ictidomys_tridecemlineatus
ENSMMMP00000012468	ENSMMMG00000011141	Marmota_marmota_marmota
ENSSDAP00000001158	ENSSDAG00000001135	Spermophilus_dauricus
ENSCLAP00000012773	ENSCLAG00000008816	Chinchilla_lanigera
ENSODEP00000021313	ENSODEG00000015683	Octodon_degus
ENSCAPP00000004981	ENSCAPG00000007396	Cavia_aperea
ENSCPOP00000030184	ENSCPOG00000040403	Cavia_porcellus
ENSHGLP00100007932	ENSHGLG00100005912	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000019388	ENSHGLG00000013888	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000005781	ENSFDAG00000014702	Fukomys_damarensis
ENSOPRP00000015510	ENSOPRG00000016992	Ochotona_princeps
ENSPPAP00000017459	ENSPPAG00000031815	Pan_paniscus
ENSPTRP00000036890	ENSPTRG00000021544	Pan_troglodytes
ENSP00000277554	ENSG00000148411	Homo_sapiens
ENSGGOP00000000386	ENSGGOG00000000393	Gorilla_gorilla
ENSNLEP00000010894	ENSNLEG00000008940	Nomascus_leucogenys
ENSCATP00000043032	ENSCATG00000044091	Cercocebus_atys
ENSMLEP00000032608	ENSMLEG00000040514	Mandrillus_leucophaeus
ENSTGEP00000009081	ENSTGEG00000007490	Theropithecus_gelada
ENSPANP00000015757	ENSPANG00000026123	Papio_anubis
ENSMNEP00000022088	ENSMNEG00000034733	Macaca_nemestrina
ENSMFAP00000022034	ENSMFAG00000035921	Macaca_fascicularis
ENSMMUP00000000376	ENSMMUG00000000276	Macaca_mulatta
ENSCSAP00000011812	ENSCSAG00000015727	Chlorocebus_sabaeus
ENSRROP00000036720	ENSRROG00000041819	Rhinopithecus_roxellana
ENSRBIP00000023154	ENSRBIG00000035502	Rhinopithecus_bieti
ENSCANP00000019294	ENSCANG00000033089	Colobus_angolensis_palliatus
ENSPTEP00000026712	ENSPTEG00000026712	Piliocolobus_tephrosceles
ENSCCAP00000031563	ENSCCAG00000033832	Cebus_capucinus_imitator
ENSSBOP00000004475	ENSSBOG00000018782	Saimiri_boliviensis_boliviensis
ENSCJAP00000019676	ENSCJAG00000010665	Callithrix_jacchus
ENSANAP00000027435	ENSANAG00000031556	Aotus_nancymaae
ENSTSYP00000029805	ENSTSYG00000034452	Carlito_syrichta
ENSPCOP00000003573	ENSPCOG00000010696	Propithecus_coquereli
ENSPSMP00000021077	ENSPSMG00000014898	Prolemur_simus
ENSMICP00000042047	ENSMICG00000047846	Microcebus_murinus
ENSOGAP00000019327	ENSOGAG00000024802	Otolemur_garnettii
ENSCHIP00000003782	ENSCHIG00000007966	Capra_hircus
ENSOARP00000005106	ENSOARG00000004768	Ovis_aries
ENSBIXP00005028809	ENSBIXG00005008585	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000003867	ENSBIXG00000000537	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000027302	ENSBTAG00000020490	Bos_taurus
ENSBMUP00000005999	ENSBMUG00000004700	Bos_mutus
ENSTTRP00000007028	ENSTTRG00000007427	Tursiops_truncatus
ENSSSCP00000051384	ENSSSCG00000040967	Sus_scrofa_strain_reference
ENSEASP00005026868	ENSEASG00005018311	Equus_asinus_asinus
ENSECAP00000005173	ENSECAG00000006963	Equus_caballus
ENSPVAP00000015531	ENSPVAG00000016460	Pteropus_vampyrus
ENSEEUP00000005612	ENSEEUG00000006177	Erinaceus_europaeus
ENSMPUP00000011610	ENSMPUG00000011704	Mustela_putorius_furo
ENSNVIP00000019113	ENSNVIG00000014952	Neovison_vison
ENSAMEP00000003733	ENSAMEG00000003538	Ailuropoda_melanoleuca
ENSUAMP00000016812	ENSUAMG00000013352	Ursus_americanus
ENSCAFP00020002289	ENSCAFG00020001961	Canis_lupus_dingo
ENSCAFP00000041935	ENSCAFG00000030397	Canis_lupus_familiaris
ENSVVUP00000038152	ENSVVUG00000027208	Vulpes_vulpes
ENSFCAP00000008673	ENSFCAG00000009352	Felis_catus
ENSPPRP00000012184	ENSPPRG00000005784	Panthera_pardus
ENSPCIP00000005831	ENSPCIG00000004901	Phascolarctos_cinereus
ENSVURP00010008625	ENSVURG00010006696	Vombatus_ursinus
ENSMODP00000021891	ENSMODG00000017546	Monodelphis_domestica
ENSSHAP00000015974	ENSSHAG00000013600	Sarcophilus_harrisii
ENSOANP00000009382	ENSOANG00000005894	Ornithorhynchus_anatinus
ENSABRP00000026283	ENSABRG00000021967	Anser_brachyrhynchus
ENSAPLP00000007900	ENSAPLG00000008244	Anas_platyrhynchos_platyrhynchos
ENSAPLP00000017862	ENSAPLG00000026126	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000002755	ENSMGAG00000003092	Meleagris_gallopavo
ENSCJPP00005009532	ENSCJPG00005008364	Coturnix_japonica
ENSGALP00000070565	ENSGALG00000001728	Gallus_gallus
ENSNMEP00000010118	ENSNMEG00000009668	Numida_meleagris
ENSCPGP00000014574	ENSCPGG00000010314	Calidris_pygmaea
ENSCPUP00000021822	ENSCPUG00000014840	Calidris_pugnax
ENSMUNP00000013313	ENSMUNG00000010398	Melopsittacus_undulatus
ENSLCOP00000020004	ENSLCOG00000014182	Lepidothrix_coronata
ENSMVIP00005015665	ENSMVIG00005011244	Manacus_vitellinus
ENSCCEP00000006480	ENSCCEG00000006940	Cyanistes_caeruleus
ENSPMJP00000007240	ENSPMJG00000006003	Parus_major
ENSTGUP00000006572	ENSTGUG00000006402	Taeniopygia_guttata
ENSTGUP00000016473	ENSTGUG00000016155	Taeniopygia_guttata
ENSLSDP00000004851	ENSLSDG00000003805	Lonchura_striata_domestica
ENSSCAP00000003010	ENSSCAG00000002604	Serinus_canaria
ENSJHYP00000006699	ENSJHYG00000005370	Junco_hyemalis
ENSFALP00000001855	ENSFALG00000001779	Ficedula_albicollis
ENSAOWP00000005982	ENSAOWG00000004106	Apteryx_owenii
ENSAHAP00000014572	ENSAHAG00000010504	Apteryx_haastii
ENSARWP00000013055	ENSARWG00000009047	Apteryx_rowi
ENSDNVP00000017099	ENSDNVG00000011961	Dromaius_novaehollandiae
ENSNPEP00000017815	ENSNPEG00000013265	Nothoprocta_perdicaria
ENSCABP00000002652	ENSCABG00000002067	Chelonoidis_abingdonii
ENSGAGP00000036035	ENSGAGG00000025547	Gopherus_agassizii
ENSCPBP00000016455	ENSCPBG00000012130	Chrysemys_picta_bellii
ENSPSIP00000008897	ENSPSIG00000008123	Pelodiscus_sinensis
ENSCPRP00005013257	ENSCPRG00005009376	Crocodylus_porosus
ENSSPUP00000023361	ENSSPUG00000017927	Sphenodon_punctatus
ENSLACP00000018897	ENSLACG00000016628	Latimeria_chalumnae
ENSXETP00000015923	ENSXETG00000020904	Xenopus_tropicalis
ENSCMIP00000000986	ENSCMIG00000000673	Callorhinchus_milii
ENSNSUP00000003660	ENSNSUG00000002963	Notechis_scutatus
ENSPVIP00000024018	ENSPVIG00000018127	Pogona_vitticeps
ENSSMRP00000027662	ENSSMRG00000021326	Salvator_merianae
ENSLOCP00000004642	ENSLOCG00000003891	Lepisosteus_oculatus
ENSECRP00000023998	ENSECRG00000016256	Erpetoichthys_calabaricus
ENSCHAP00000007512	ENSCHAG00000004666	Clupea_harengus	ENSCHAT00000008513
ENSDCDP00000000637	ENSDCDG00000000387	Denticeps_clupeoides	ENSDCDT00000000711
ENSAMXP00000012883	ENSAMXG00000012527	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005023460	ENSAMXG00005012047	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000000381	ENSPNAG00000007475	Pygocentrus_nattereri
ENSEEEP00000032780	ENSEEEG00000015617	Electrophorus_electricus
ENSIPUP00000030171	ENSIPUG00000020388	Ictalurus_punctatus
ENSHHUP00000012934	ENSHHUG00000007933	Hucho_hucho
ENSHHUP00000080609	ENSHHUG00000046928	Hucho_hucho
ENSELUP00000015382	ENSELUG00000015344	Esox_lucius
ENSTRUP00000051036	ENSTRUG00000022631	Takifugu_rubripes
ENSTNIP00000008946	ENSTNIG00000006198	Tetraodon_nigroviridis
ENSCSEP00000027108	ENSCSEG00000017316	Cynoglossus_semilaevis
ENSXMAP00000011345	ENSXMAG00000011321	Xiphophorus_maculatus
ENSXCOP00000003347	ENSXCOG00000002642	Xiphophorus_couchianus
ENSGAFP00000017077	ENSGAFG00000011535	Gambusia_affinis
ENSPFOP00000010911	ENSPFOG00000010890	Poecilia_formosa
ENSPMEP00000012898	ENSPMEG00000015147	Poecilia_mexicana
ENSPLAP00000027559	ENSPLAG00000016266	Poecilia_latipinna
ENSPREP00000024508	ENSPREG00000016554	Poecilia_reticulata
ENSCVAP00000015375	ENSCVAG00000018166	Cyprinodon_variegatus
ENSFHEP00000002982	ENSFHEG00000003810	Fundulus_heteroclitus
ENSKMAP00000020987	ENSKMAG00000015604	Kryptolebias_marmoratus
ENSORLP00020022951	ENSORLG00020003516	Oryzias_latipes_ASM223471v1
ENSORLP00015008057	ENSORLG00015008868	Oryzias_latipes_ASM223469v1
ENSORLP00000008296	ENSORLG00000006611	Oryzias_latipes_ASM223467v1
ENSOMEP00000024490	ENSOMEG00000005153	Oryzias_melastigma
ENSMALP00000030382	ENSMALG00000021015	Monopterus_albus
ENSLCRP00005004351	ENSLCRG00005002265	Larimichthys_crocea
ENSLBEP00000025372	ENSLBEG00000019373	Labrus_bergylta
ENSMMOP00000000229	ENSMMOG00000000191	Mola_mola
ENSMZEP00005026234	ENSMZEG00005019559	Maylandia_zebra
ENSACLP00000012615	ENSACLG00000008612	Astatotilapia_calliptera
ENSHBUP00000016794	ENSHBUG00000018783	Haplochromis_burtoni
ENSPNYP00000011650	ENSPNYG00000008822	Pundamilia_nyererei
ENSNBRP00000010002	ENSNBRG00000007781	Neolamprologus_brichardi
