FBpp0072099	FBgn0034963	Drosophila_melanogaster	FBtr0072190
Y73F8A.25a.1	WBGene00013530	Caenorhabditis_elegans_strain_N2	Y73F8A.25a.1
ENSGWIP00000028093	ENSGWIG00000014692	Gouania_willdenowi
ENSHCOP00000000934	ENSHCOG00000001826	Hippocampus_comes
ENSTRUP00000043382	ENSTRUG00000016939	Takifugu_rubripes
ENSCSEP00000032351	ENSCSEG00000020759	Cynoglossus_semilaevis
ENSXCOP00000011224	ENSXCOG00000008490	Xiphophorus_couchianus
ENSXMAP00000008688	ENSXMAG00000008671	Xiphophorus_maculatus
ENSPFOP00000000169	ENSPFOG00000000176	Poecilia_formosa
ENSPMEP00000013403	ENSPMEG00000015700	Poecilia_mexicana
ENSPLAP00000018942	ENSPLAG00000023797	Poecilia_latipinna
ENSPREP00000017043	ENSPREG00000011520	Poecilia_reticulata
ENSGAFP00000006503	ENSGAFG00000004433	Gambusia_affinis
ENSFHEP00000001014	ENSFHEG00000001754	Fundulus_heteroclitus
ENSCVAP00000019582	ENSCVAG00000022960	Cyprinodon_variegatus
ENSPRNP00000035797	ENSPRNG00000017921	Parambassis_ranga
ENSORLP00000038709	ENSORLG00000014270	Oryzias_latipes_ASM223467v1
ENSHBUP00000018362	ENSHBUG00000020454	Haplochromis_burtoni
ENSAPEP00000027140	ENSAPEG00000019235	Amphiprion_percula
ENSLCAP00010041244	ENSLCAG00010019345	Lates_calcarifer
ENSATEP00000021183	ENSATEG00000014714	Anabas_testudineus
ENSBSLP00000028544	ENSBSLG00000014286	Betta_splendens
ENSNBRP00000019112	ENSNBRG00000014731	Neolamprologus_brichardi
ENSONIP00000020356	ENSONIG00000016162	Oreochromis_niloticus
ENSACLP00000022178	ENSACLG00000015057	Astatotilapia_calliptera
ENSMZEP00005027238	ENSMZEG00005020316	Maylandia_zebra
ENSPNYP00000031159	ENSPNYG00000023499	Pundamilia_nyererei
ENSACIP00000003527	ENSACIG00000002791	Amphilophus_citrinellus
ENSSDUP00000017090	ENSSDUG00000012467	Seriola_dumerili
ENSSLDP00000026729	ENSSLDG00000020769	Seriola_lalandi_dorsalis
ENSLCAP00010039591	ENSLCAG00010018491	Lates_calcarifer
ENSLBEP00000030261	ENSLBEG00000022855	Labrus_bergylta
ENSLCRP00005037534	ENSLCRG00005014613	Larimichthys_crocea
ENSAOCP00000020760	ENSAOCG00000005087	Amphiprion_ocellaris
ENSAPOP00000017068	ENSAPOG00000020231	Acanthochromis_polyacanthus
ENSSPAP00000006770	ENSSPAG00000005202	Stegastes_partitus
ENSSMAP00000017598	ENSSMAG00000010790	Scophthalmus_maximus
ENSMALP00000019045	ENSMALG00000013293	Monopterus_albus
ENSMMOP00000017777	ENSMMOG00000013493	Mola_mola
ENSGACP00000010532	ENSGACG00000007941	Gasterosteus_aculeatus
ENSPMGP00000000618	ENSPMGG00000000573	Periophthalmus_magnuspinnatus
ENSOMEP00000012954	ENSOMEG00000014389	Oryzias_melastigma
ENSORLP00020004660	ENSORLG00020005490	Oryzias_latipes_ASM223471v1
ENSKMAP00000006895	ENSKMAG00000005191	Kryptolebias_marmoratus
ENSMAMP00000020653	ENSMAMG00000013914	Mastacembelus_armatus
ENSTNIP00000009143	ENSTNIG00000006378	Tetraodon_nigroviridis
ENSGMOP00000005510	ENSGMOG00000005200	Gadus_morhua
ENSHHUP00000059075	ENSHHUG00000035105	Hucho_hucho
ENSHHUP00000052806	ENSHHUG00000031715	Hucho_hucho
ENSELUP00000031520	ENSELUG00000009042	Esox_lucius
ENSEEEP00000013050	ENSEEEG00000006569	Electrophorus_electricus
ENSIPUP00000007433	ENSIPUG00000005134	Ictalurus_punctatus
ENSAMXP00000013210	ENSAMXG00000012843	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005007246	ENSAMXG00005004334	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000031891	ENSPNAG00000006187	Pygocentrus_nattereri
ENSDARP00000090050	ENSDARG00000068596	Danio_rerio
ENSCHAP00000014171	ENSCHAG00000007676	Clupea_harengus
ENSDCDP00000010802	ENSDCDG00000005383	Denticeps_clupeoides
ENSPKIP00000001415	ENSPKIG00000019709	Paramormyrops_kingsleyae
ENSSFOP00015003366	ENSSFOG00015002194	Scleropages_formosus
ENSLOCP00000012961	ENSLOCG00000010579	Lepisosteus_oculatus
ENSLACP00000014067	ENSLACG00000012383	Latimeria_chalumnae
ENSXETP00000020074	ENSXETG00000003266	Xenopus_tropicalis
ENSPCIP00000021492	ENSPCIG00000016312	Phascolarctos_cinereus
ENSVURP00010020032	ENSVURG00010015327	Vombatus_ursinus
ENSMEUP00000004279	ENSMEUG00000004695	Notamacropus_eugenii
ENSSHAP00000007401	ENSSHAG00000006432	Sarcophilus_harrisii
ENSMODP00000002128	ENSMODG00000001737	Monodelphis_domestica
ENSECAP00000009791	ENSECAG00000011967	Equus_caballus
ENSEASP00005026840	ENSEASG00005018296	Equus_asinus_asinus
ENSMLUP00000004143	ENSMLUG00000004555	Myotis_lucifugus
ENSOARP00000014193	ENSOARG00000013243	Ovis_aries
ENSCHIP00000032908	ENSCHIG00000026686	Capra_hircus
ENSBIXP00000017525	ENSBIXG00000021514	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005007695	ENSBIXG00005012899	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000010879	ENSBTAG00000008267	Bos_taurus
ENSBMUP00000029345	ENSBMUG00000021968	Bos_mutus
ENSBBBP00000026802	ENSBBBG00000022819	Bison_bison_bison
ENSTTRP00000015593	ENSTTRG00000016449	Tursiops_truncatus
ENSSSCP00000008718	ENSSSCG00000008167	Sus_scrofa_strain_reference
ENSEEUP00000008263	ENSEEUG00000009076	Erinaceus_europaeus
ENSUAMP00000028966	ENSUAMG00000022337	Ursus_americanus
ENSAMEP00000016440	ENSAMEG00000015585	Ailuropoda_melanoleuca
ENSMPUP00000012111	ENSMPUG00000012207	Mustela_putorius_furo
ENSNVIP00000026663	ENSNVIG00000020632	Neovison_vison
ENSCAFP00020031477	ENSCAFG00020024562	Canis_lupus_dingo
ENSCAFP00000003203	ENSCAFG00000002199	Canis_lupus_familiaris
ENSVVUP00000040140	ENSVVUG00000028664	Vulpes_vulpes
ENSPPRP00000000096	ENSPPRG00000025043	Panthera_pardus
ENSFCAP00000006428	ENSFCAG00000006924	Felis_catus
ENSPTRP00000021054	ENSPTRG00000012290	Pan_troglodytes
ENSPPAP00000019803	ENSPPAG00000033121	Pan_paniscus
ENSP00000289382	ENSG00000158435	Homo_sapiens
ENSGGOP00000004969	ENSGGOG00000005070	Gorilla_gorilla
ENSPPYP00000013494	ENSPPYG00000012103	Pongo_abelii
ENSNLEP00000017609	ENSNLEG00000014472	Nomascus_leucogenys
ENSPANP00000011723	ENSPANG00000023665	Papio_anubis
ENSTGEP00000008265	ENSTGEG00000006746	Theropithecus_gelada
ENSCATP00000034712	ENSCATG00000040259	Cercocebus_atys
ENSMLEP00000005751	ENSMLEG00000024913	Mandrillus_leucophaeus
ENSMNEP00000043337	ENSMNEG00000044355	Macaca_nemestrina
ENSMMUP00000001521	ENSMMUG00000001147	Macaca_mulatta
ENSMFAP00000025959	ENSMFAG00000044449	Macaca_fascicularis
ENSCSAP00000013204	ENSCSAG00000017167	Chlorocebus_sabaeus
ENSRROP00000018066	ENSRROG00000033116	Rhinopithecus_roxellana
ENSRBIP00000001344	ENSRBIG00000006823	Rhinopithecus_bieti
ENSCANP00000029143	ENSCANG00000038129	Colobus_angolensis_palliatus
ENSPTEP00000020259	ENSPTEG00000021511	Piliocolobus_tephrosceles
ENSSBOP00000027552	ENSSBOG00000030189	Saimiri_boliviensis_boliviensis
ENSCJAP00000039532	ENSCJAG00000021229	Callithrix_jacchus
ENSCCAP00000019489	ENSCCAG00000027582	Cebus_capucinus_imitator
ENSANAP00000020630	ENSANAG00000028092	Aotus_nancymaae
ENSTSYP00000025717	ENSTSYG00000031278	Carlito_syrichta
ENSPCOP00000020253	ENSPCOG00000022088	Propithecus_coquereli
ENSMICP00000002701	ENSMICG00000002973	Microcebus_murinus
ENSPSMP00000027512	ENSPSMG00000019228	Prolemur_simus
ENSOGAP00000012999	ENSOGAG00000014506	Otolemur_garnettii
ENSTBEP00000014238	ENSTBEG00000016383	Tupaia_belangeri
ENSCCNP00000025797	ENSCCNG00000025123	Castor_canadensis
ENSDORP00000004191	ENSDORG00000004481	Dipodomys_ordii
ENSSDAP00000008619	ENSSDAG00000007857	Spermophilus_dauricus
ENSMMMP00000022215	ENSMMMG00000019519	Marmota_marmota_marmota
ENSUPAP00010011033	ENSUPAG00010008934	Urocitellus_parryii
ENSSTOP00000002391	ENSSTOG00000002674	Ictidomys_tridecemlineatus
ENSMSIP00000026480	ENSMSIG00000022348	Mus_spicilegus
MGP_SPRETEiJ_P0018310	MGP_SPRETEiJ_G0014875	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000125638	ENSMUSG00000003135	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0017309	MGP_CAROLIEiJ_G0014071	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0072655	MGP_PahariEiJ_G0027318	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000035943	ENSRNOG00000023220	Rattus_norvegicus
