MGP_SPRETEiJ_P0076730	MGP_SPRETEiJ_G0029393	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0073860	MGP_CAROLIEiJ_G0028391	Mus_caroli_strain_CAROLI_EIJ
ENSMSIP00000011196	ENSMSIG00000009809	Mus_spicilegus
ENSMUSP00000040920	ENSMUSG00000038210	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0049952	MGP_PahariEiJ_G0022141	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000066085	ENSRNOG00000053884	Rattus_norvegicus
ENSRNOP00000075163	ENSRNOG00000061531	Rattus_norvegicus
ENSRNOP00000010256	ENSRNOG00000059870	Rattus_norvegicus
ENSMUGP00000001009	ENSMUGG00000000957	Meriones_unguiculatus
ENSCGRP00001013980	ENSCGRG00001014980	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015027797	ENSCGRG00015021088	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000001407	ENSMAUG00000001056	Mesocricetus_auratus
ENSMOCP00000004744	ENSMOCG00000004073	Microtus_ochrogaster
ENSPEMP00000022556	ENSPEMG00000019890	Peromyscus_maniculatus_bairdii
ENSNGAP00000026001	ENSNGAG00000023780	Nannospalax_galili
ENSCCNP00000023974	ENSCCNG00000023508	Castor_canadensis
ENSDORP00000005920	ENSDORG00000006326	Dipodomys_ordii
ENSUPAP00010021842	ENSUPAG00010017374	Urocitellus_parryii
ENSSTOP00000015737	ENSSTOG00000022674	Ictidomys_tridecemlineatus
ENSMMMP00000007309	ENSMMMG00000006566	Marmota_marmota_marmota
ENSHGLP00100008491	ENSHGLG00100006320	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000012959	ENSHGLG00000009266	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000021290	ENSFDAG00000007817	Fukomys_damarensis
ENSCPOP00000029339	ENSCPOG00000039723	Cavia_porcellus
ENSODEP00000013914	ENSODEG00000010282	Octodon_degus
ENSCLAP00000014367	ENSCLAG00000009905	Chinchilla_lanigera
ENSCANP00000006572	ENSCANG00000021914	Colobus_angolensis_palliatus
ENSPTEP00000020127	ENSPTEG00000021400	Piliocolobus_tephrosceles
ENSMMUP00000063846	ENSMMUG00000055708	Macaca_mulatta
ENSMNEP00000012913	ENSMNEG00000030730	Macaca_nemestrina
ENSMFAP00000025980	ENSMFAG00000044467	Macaca_fascicularis
ENSMLEP00000024532	ENSMLEG00000036444	Mandrillus_leucophaeus
ENSTGEP00000025868	ENSTGEG00000020841	Theropithecus_gelada
ENSPANP00000010946	ENSPANG00000026298	Papio_anubis
