ENSOPRP00000016235	ENSOPRG00000019143	Ochotona_princeps
ENSPTEP00000033644	ENSPTEG00000032080	Piliocolobus_tephrosceles
ENSSTOP00000022354	ENSSTOG00000025420	Ictidomys_tridecemlineatus
ENSOGAP00000019400	ENSOGAG00000026783	Otolemur_garnettii
ENSNGAP00000018299	ENSNGAG00000018472	Nannospalax_galili
ENSXCOP00000021241	ENSXCOG00000015894	Xiphophorus_couchianus
ENSPLAP00000024841	ENSPLAG00000011377	Poecilia_latipinna
ENSAPLP00000023764	ENSAPLG00000014967	Anas_platyrhynchos_platyrhynchos
ENSPCIP00000017787	ENSPCIG00000013574	Phascolarctos_cinereus
ENSCHIP00000008967	ENSCHIG00000011973	Capra_hircus
ENSOCUP00000025864	ENSOCUG00000027790	Oryctolagus_cuniculus
ENSECAP00000031770	ENSECAG00000039619	Equus_caballus
ENSHHUP00000034271	ENSHHUG00000021604	Hucho_hucho
ENSABRP00000017273	ENSABRG00000015049	Anser_brachyrhynchus
ENSAPOP00000029456	ENSAPOG00000015369	Acanthochromis_polyacanthus
ENSAMXP00005020929	ENSAMXG00005010847	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSMMOP00000002841	ENSMMOG00000002294	Mola_mola
ENSCPRP00005011023	ENSCPRG00005007875	Crocodylus_porosus
ENSLOCP00000014805	ENSLOCG00000012037	Lepisosteus_oculatus
ENSMFAP00000028422	ENSMFAG00000045555	Macaca_fascicularis
ENSAOCP00000029036	ENSAOCG00000019088	Amphiprion_ocellaris
ENSCHAP00000007194	ENSCHAG00000004486	Clupea_harengus
ENSPFOP00000007186	ENSPFOG00000007220	Poecilia_formosa
MGP_PahariEiJ_P0055768	MGP_PahariEiJ_G0023598	Mus_pahari_strain_PAHARI_EIJ	MGP_PahariEiJ_T0055768
ENSTGEP00000015487	ENSTGEG00000012521	Theropithecus_gelada
ENSJJAP00000013547	ENSJJAG00000016269	Jaculus_jaculus
ENSGMOP00000006579	ENSGMOG00000006210	Gadus_morhua
ENSORLP00020004971	ENSORLG00020005750	Oryzias_latipes_ASM223471v1
ENSTNIP00000011837	ENSTNIG00000008983	Tetraodon_nigroviridis
ENSBIXP00005015466	ENSBIXG00005019283	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSSHAP00000002937	ENSSHAG00000002600	Sarcophilus_harrisii
ENSMZEP00005015377	ENSMZEG00005011550	Maylandia_zebra
ENSNLEP00000000461	ENSNLEG00000000392	Nomascus_leucogenys
ENSORLP00015003883	ENSORLG00015004646	Oryzias_latipes_ASM223469v1
ENSCCNP00000020859	ENSCCNG00000020769	Castor_canadensis	ENSCCNT00000026908
ENSCGRP00001025171	ENSCGRG00001022855	Cricetulus_griseus_CHOK1GS_HDv1
ENSNBRP00000028528	ENSNBRG00000021731	Neolamprologus_brichardi
ENSGMOP00000006952	ENSGMOG00000006535	Gadus_morhua
ENSBTAP00000001872	ENSBTAG00000001429	Bos_taurus
ENSCGRP00000019811	ENSCGRG00000014424	Cricetulus_griseus_CriGri_1.0
ENSUAMP00000028918	ENSUAMG00000022308	Ursus_americanus
ENSVVUP00000002977	ENSVVUG00000002314	Vulpes_vulpes
ENSAMXP00000001187	ENSAMXG00000001166	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCCAP00000013798	ENSCCAG00000024696	Cebus_capucinus_imitator
ENSCSEP00000019359	ENSCSEG00000012380	Cynoglossus_semilaevis
ENSLCRP00005036765	ENSLCRG00005014332	Larimichthys_crocea
ENSLCAP00010059099	ENSLCAG00010027551	Lates_calcarifer
ENSONIP00000014672	ENSONIG00000011653	Oreochromis_niloticus
ENSHHUP00000048457	ENSHHUG00000029366	Hucho_hucho
MGP_CAROLIEiJ_P0043470	MGP_CAROLIEiJ_G0021280	Mus_caroli_strain_CAROLI_EIJ	MGP_CAROLIEiJ_T0043470
ENSCAFP00020013897	ENSCAFG00020011251	Canis_lupus_dingo
ENSLACP00000013845	ENSLACG00000012188	Latimeria_chalumnae
ENSCAFP00000024740	ENSCAFG00000016822	Canis_lupus_familiaris
ENSCGOP00000052521	ENSCGOG00000023123	Cottoperca_gobio
ENSHGLP00100005116	ENSHGLG00100003875	Heterocephalus_glaber_HetGla_1.0
ENSPREP00000007461	ENSPREG00000005119	Poecilia_reticulata
