ENSGAFP00000025615	ENSGAFG00000017298	Gambusia_affinis
ENSDORP00000019390	ENSDORG00000008506	Dipodomys_ordii
ENSCPBP00000014372	ENSCPBG00000010702	Chrysemys_picta_bellii
ENSMMOP00000021702	ENSMMOG00000016483	Mola_mola
ENSMMMP00000012843	ENSMMMG00000011477	Marmota_marmota_marmota
ENSGMOP00000016488	ENSGMOG00000015360	Gadus_morhua
ENSSDAP00000019128	ENSSDAG00000017413	Spermophilus_dauricus
ENSPMJP00000022187	ENSPMJG00000015983	Parus_major
ENSPSMP00000028949	ENSPSMG00000020103	Prolemur_simus
ENSSHAP00000016504	ENSSHAG00000014042	Sarcophilus_harrisii
ENSORLP00000010162	ENSORLG00000008091	Oryzias_latipes_ASM223467v1
ENSPKIP00000006870	ENSPKIG00000022937	Paramormyrops_kingsleyae
ENSCHOP00000010934	ENSCHOG00000012342	Choloepus_hoffmanni
ENSDNVP00000026610	ENSDNVG00000018497	Dromaius_novaehollandiae
ENSMAMP00000031810	ENSMAMG00000021406	Mastacembelus_armatus
ENSTBEP00000002853	ENSTBEG00000003262	Tupaia_belangeri
ENSPPYP00000007392	ENSPPYG00000006518	Pongo_abelii
ENSNPEP00000018851	ENSNPEG00000014055	Nothoprocta_perdicaria
ENSPTEP00000029485	ENSPTEG00000028875	Piliocolobus_tephrosceles
ENSFDAP00000018372	ENSFDAG00000009915	Fukomys_damarensis
ENSONIP00000007367	ENSONIG00000005848	Oreochromis_niloticus
ENSAPLP00000024405	ENSAPLG00000010820	Anas_platyrhynchos_platyrhynchos
ENSNGAP00000001110	ENSNGAG00000000794	Nannospalax_galili
ENSXETP00000009008	ENSXETG00000011588	Xenopus_tropicalis
ENSMFAP00000018650	ENSMFAG00000032366	Macaca_fascicularis
ENSMZEP00005018540	ENSMZEG00005013896	Maylandia_zebra
ENSCABP00000014048	ENSCABG00000010480	Chelonoidis_abingdonii
ENSGACP00000020856	ENSGACG00000015802	Gasterosteus_aculeatus
ENSAHAP00000018022	ENSAHAG00000012766	Apteryx_haastii
ENSNLEP00000014143	ENSNLEG00000011582	Nomascus_leucogenys
ENSCJPP00005015325	ENSCJPG00005012713	Coturnix_japonica
ENSOGAP00000011554	ENSOGAG00000012887	Otolemur_garnettii
ENSMMUP00000057476	ENSMMUG00000012933	Macaca_mulatta
ENSBBBP00000020454	ENSBBBG00000014100	Bison_bison_bison
ENSPMGP00000007269	ENSPMGG00000006042	Periophthalmus_magnuspinnatus
ENSMPUP00000004082	ENSMPUG00000004116	Mustela_putorius_furo
ENSUMAP00000033228	ENSUMAG00000023955	Ursus_maritimus
