ENSBTAP00000002618	ENSBTAG00000002020	Bos_taurus
ENSPSMP00000023104	ENSPSMG00000016349	Prolemur_simus
ENSPKIP00000026375	ENSPKIG00000008890	Paramormyrops_kingsleyae
ENSEEUP00000012042	ENSEEUG00000013202	Erinaceus_europaeus
ENSELUP00000040887	ENSELUG00000000939	Esox_lucius
ENSSFOP00015033584	ENSSFOG00015021438	Scleropages_formosus	ENSSFOT00015033961
ENSSMAP00000004924	ENSSMAG00000003032	Scophthalmus_maximus
ENSCPGP00000005929	ENSCPGG00000004244	Calidris_pygmaea
ENSCCEP00000004095	ENSCCEG00000004569	Cyanistes_caeruleus
ENSHCOP00000021736	ENSHCOG00000008816	Hippocampus_comes
ENSORLP00015001568	ENSORLG00015002190	Oryzias_latipes_ASM223469v1
ENSARWP00000005038	ENSARWG00000003628	Apteryx_rowi
ENSJJAP00000014182	ENSJJAG00000016719	Jaculus_jaculus
ENSMICP00000018697	ENSMICG00000030817	Microcebus_murinus
ENSRNOP00000073583	ENSRNOG00000020769	Rattus_norvegicus
ENSACAP00000014895	ENSACAG00000015164	Anolis_carolinensis
ENSMNEP00000016231	ENSMNEG00000032133	Macaca_nemestrina
ENSCLAP00000021296	ENSCLAG00000014588	Chinchilla_lanigera
ENSFHEP00000018609	ENSFHEG00000020480	Fundulus_heteroclitus
ENSTNIP00000019235	ENSTNIG00000016144	Tetraodon_nigroviridis
ENSACLP00000017892	ENSACLG00000012247	Astatotilapia_calliptera
ENSMPUP00000012632	ENSMPUG00000012726	Mustela_putorius_furo
ENSSDUP00000019199	ENSSDUG00000014002	Seriola_dumerili
ENSAPOP00000006655	ENSAPOG00000008503	Acanthochromis_polyacanthus
ENSAPEP00000022957	ENSAPEG00000016349	Amphiprion_percula
ENSNBRP00000008640	ENSNBRG00000006788	Neolamprologus_brichardi
ENSLCOP00000015595	ENSLCOG00000011129	Lepidothrix_coronata
ENSACIP00000026292	ENSACIG00000020364	Amphilophus_citrinellus
ENSBMUP00000023322	ENSBMUG00000017514	Bos_mutus
ENSPSIP00000015519	ENSPSIG00000013820	Pelodiscus_sinensis
ENSOANP00000006309	ENSOANG00000003984	Ornithorhynchus_anatinus
ENSKMAP00000005812	ENSKMAG00000004419	Kryptolebias_marmoratus
ENSMMMP00000011394	ENSMMMG00000010165	Marmota_marmota_marmota
ENSBIXP00000032659	ENSBIXG00000015289	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSNGAP00000006293	ENSNGAG00000009349	Nannospalax_galili
ENSAPLP00000026027	ENSAPLG00000015493	Anas_platyrhynchos_platyrhynchos
ENSEEEP00000029621	ENSEEEG00000014166	Electrophorus_electricus
ENSFCAP00000000494	ENSFCAG00000000534	Felis_catus
ENSHHUP00000005715	ENSHHUG00000003534	Hucho_hucho
ENSGGOP00000010939	ENSGGOG00000011220	Gorilla_gorilla
ENSCGOP00000047965	ENSCGOG00000021472	Cottoperca_gobio
ENSJJAP00000015149	ENSJJAG00000017400	Jaculus_jaculus
ENSLOCP00000010955	ENSLOCG00000008992	Lepisosteus_oculatus
ENSPMGP00000007483	ENSPMGG00000006202	Periophthalmus_magnuspinnatus
ENSLACP00000023384	ENSLACG00000014584	Latimeria_chalumnae
ENSLAFP00000029216	ENSLAFG00000013690	Loxodonta_africana
ENSTBEP00000004980	ENSTBEG00000005791	Tupaia_belangeri
ENSNSUP00000014236	ENSNSUG00000010517	Notechis_scutatus
MGP_SPRETEiJ_P0045395	MGP_SPRETEiJ_G0022197	Mus_spretus_strain_SPRET/EiJ
ENSPPRP00000012435	ENSPPRG00000005970	Panthera_pardus
ENSSDAP00000014955	ENSSDAG00000013465	Spermophilus_dauricus
ENSGALP00000042787	ENSGALG00000002878	Gallus_gallus
ENSACLP00000011375	ENSACLG00000007766	Astatotilapia_calliptera
ENSXCOP00000009086	ENSXCOG00000006929	Xiphophorus_couchianus
ENSUMAP00000034048	ENSUMAG00000024526	Ursus_maritimus
ENSCATP00000035298	ENSCATG00000040516	Cercocebus_atys
