ENSCJPP00005017686	ENSCJPG00005014421	Coturnix_japonica
ENSGALP00000013981	ENSGALG00000008595	Gallus_gallus
ENSNMEP00000022991	ENSNMEG00000019626	Numida_meleagris
ENSABRP00000018436	ENSABRG00000015812	Anser_brachyrhynchus
ENSAPLP00000012906	ENSAPLG00000013054	Anas_platyrhynchos_platyrhynchos
ENSCPGP00000023708	ENSCPGG00000016394	Calidris_pygmaea
ENSCPUP00000020958	ENSCPUG00000014340	Calidris_pugnax
ENSMUNP00000003051	ENSMUNG00000002638	Melopsittacus_undulatus
ENSLSDP00000024137	ENSLSDG00000016962	Lonchura_striata_domestica
ENSTGUP00000011180	ENSTGUG00000010837	Taeniopygia_guttata
ENSSCAP00000002878	ENSSCAG00000002491	Serinus_canaria
ENSPMJP00000019204	ENSPMJG00000014410	Parus_major
ENSCCEP00000002937	ENSCCEG00000003279	Cyanistes_caeruleus
ENSFALP00000006358	ENSFALG00000006098	Ficedula_albicollis
ENSJHYP00000009934	ENSJHYG00000007829	Junco_hyemalis
ENSZALP00000009771	ENSZALG00000008333	Zonotrichia_albicollis
ENSLCOP00000016903	ENSLCOG00000012017	Lepidothrix_coronata
ENSMVIP00005013776	ENSMVIG00005009961	Manacus_vitellinus
ENSAOWP00000009620	ENSAOWG00000006614	Apteryx_owenii
ENSAHAP00000004261	ENSAHAG00000003247	Apteryx_haastii
ENSARWP00000014859	ENSARWG00000010290	Apteryx_rowi
ENSDNVP00000026232	ENSDNVG00000018255	Dromaius_novaehollandiae
ENSNPEP00000004555	ENSNPEG00000003469	Nothoprocta_perdicaria
ENSCPRP00005026819	ENSCPRG00005018567	Crocodylus_porosus
ENSCABP00000007697	ENSCABG00000005808	Chelonoidis_abingdonii
ENSCABP00000012737	ENSCABG00000009536	Chelonoidis_abingdonii
ENSGAGP00000026315	ENSGAGG00000019178	Gopherus_agassizii
ENSCPBP00000018595	ENSCPBG00000013536	Chrysemys_picta_bellii
ENSPSIP00000016492	ENSPSIG00000014577	Pelodiscus_sinensis
ENSPVIP00000026119	ENSPVIG00000019510	Pogona_vitticeps
ENSACAP00000003715	ENSACAG00000003755	Anolis_carolinensis
ENSNSUP00000010543	ENSNSUG00000007980	Notechis_scutatus
ENSSMRP00000020012	ENSSMRG00000015484	Salvator_merianae
ENSSPUP00000002366	ENSSPUG00000001781	Sphenodon_punctatus
ENSLAFP00000014891	ENSLAFG00000017757	Loxodonta_africana
ENSPCAP00000005085	ENSPCAG00000005364	Procavia_capensis
ENSETEP00000016331	ENSETEG00000020103	Echinops_telfairi
ENSDNOP00000001933	ENSDNOG00000002486	Dasypus_novemcinctus
ENSCHOP00000011888	ENSCHOG00000013420	Choloepus_hoffmanni
ENSMSIP00000031892	ENSMSIG00000026687	Mus_spicilegus
MGP_SPRETEiJ_P0055968	MGP_SPRETEiJ_G0025066	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000028767	ENSMUSG00000027304	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0053870	MGP_CAROLIEiJ_G0024150	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0064850	MGP_PahariEiJ_G0025592	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000053231	ENSRNOG00000005183	Rattus_norvegicus
ENSMUGP00000010949	ENSMUGG00000009536	Meriones_unguiculatus
ENSMOCP00000025001	ENSMOCG00000021246	Microtus_ochrogaster
ENSPEMP00000007614	ENSPEMG00000009518	Peromyscus_maniculatus_bairdii
ENSCGRP00000010968	ENSCGRG00000007987	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001013488	ENSCGRG00001014611	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015031877	ENSCGRG00015024019	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000022094	ENSMAUG00000019628	Mesocricetus_auratus
ENSNGAP00000001245	ENSNGAG00000000897	Nannospalax_galili
ENSJJAP00000014578	ENSJJAG00000017002	Jaculus_jaculus
ENSDORP00000021382	ENSDORG00000015379	Dipodomys_ordii
ENSSTOP00000007490	ENSSTOG00000008346	Ictidomys_tridecemlineatus
ENSUPAP00010018468	ENSUPAG00010014636	Urocitellus_parryii
