ENSPTEP00000002862	ENSPTEG00000003364	Piliocolobus_tephrosceles	ENSPTET00000004456
ENSPTEP00000002083	ENSPTEG00000002395	Piliocolobus_tephrosceles	ENSPTET00000003157
ENSPTEP00000003978	ENSPTEG00000004705	Piliocolobus_tephrosceles	ENSPTET00000006239
F39B2.7.1	WBGene00009557	Caenorhabditis_elegans_strain_N2	F39B2.7.1
ENSPMAP00000001006	ENSPMAG00000000918	Petromyzon_marinus	ENSPMAT00000001010
ENSEBUP00000012249	ENSEBUG00000007810	Eptatretus_burgeri	ENSEBUT00000012825
ENSARWP00000023028	ENSARWG00000015693	Apteryx_rowi	ENSARWT00000026110
ENSNPEP00000002615	ENSNPEG00000002023	Nothoprocta_perdicaria	ENSNPET00000002667
ENSLSDP00000011331	ENSLSDG00000008305	Lonchura_striata_domestica
ENSJHYP00000006404	ENSJHYG00000005176	Junco_hyemalis
ENSCCEP00000001930	ENSCCEG00000002259	Cyanistes_caeruleus
ENSLCOP00000000325	ENSLCOG00000000307	Lepidothrix_coronata
ENSGALP00000058496	ENSGALG00000037256	Gallus_gallus
ENSCJPP00005013191	ENSCJPG00005011151	Coturnix_japonica
ENSNMEP00000002862	ENSNMEG00000003396	Numida_meleagris
ENSAPLP00000022465	ENSAPLG00000027060	Anas_platyrhynchos_platyrhynchos
ENSCPUP00000022707	ENSCPUG00000015418	Calidris_pugnax
ENSCPGP00000028471	ENSCPGG00000019577	Calidris_pygmaea
ENSCPRP00005001102	ENSCPRG00005000825	Crocodylus_porosus
ENSGAGP00000012551	ENSGAGG00000009639	Gopherus_agassizii
ENSCABP00000005604	ENSCABG00000004223	Chelonoidis_abingdonii
ENSCPBP00000016909	ENSCPBG00000012434	Chrysemys_picta_bellii
ENSPSIP00000017430	ENSPSIG00000015510	Pelodiscus_sinensis
ENSPVIP00000023799	ENSPVIG00000017965	Pogona_vitticeps
ENSNSUP00000023277	ENSNSUG00000016862	Notechis_scutatus
ENSNSUP00000023278	ENSNSUG00000016863	Notechis_scutatus
ENSSMRP00000029869	ENSSMRG00000022962	Salvator_merianae
ENSSPUP00000009421	ENSSPUG00000007326	Sphenodon_punctatus
ENSVURP00010012887	ENSVURG00010009927	Vombatus_ursinus
ENSPCIP00000042321	ENSPCIG00000018394	Phascolarctos_cinereus
ENSMEUP00000011875	ENSMEUG00000013022	Notamacropus_eugenii
ENSSHAP00000016982	ENSSHAG00000014438	Sarcophilus_harrisii
ENSMODP00000018872	ENSMODG00000015098	Monodelphis_domestica
ENSLAFP00000011705	ENSLAFG00000013978	Loxodonta_africana
ENSPCAP00000009663	ENSPCAG00000010382	Procavia_capensis
ENSETEP00000005668	ENSETEG00000006991	Echinops_telfairi
ENSCHOP00000002369	ENSCHOG00000002671	Choloepus_hoffmanni
ENSDNOP00000025056	ENSDNOG00000042002	Dasypus_novemcinctus
