ENSLCRP00005015554	ENSLCRG00005006566	Larimichthys_crocea
ENSLBEP00000017864	ENSLBEG00000013778	Labrus_bergylta
ENSCGOP00000001372	ENSCGOG00000000831	Cottoperca_gobio
ENSSDUP00000000078	ENSSDUG00000000120	Seriola_dumerili
ENSSLDP00000012363	ENSSLDG00000009836	Seriola_lalandi_dorsalis
ENSATEP00000035123	ENSATEG00000024137	Anabas_testudineus
ENSHCOP00000022474	ENSHCOG00000010192	Hippocampus_comes
ENSORLP00020029534	ENSORLG00020013530	Oryzias_latipes_ASM223471v1
ENSORLP00000026830	ENSORLG00000025730	Oryzias_latipes_ASM223467v1
ENSORLP00015007737	ENSORLG00015008531	Oryzias_latipes_ASM223469v1
ENSORLP00000042436	ENSORLG00000023126	Oryzias_latipes_ASM223467v1
ENSORLP00020029523	ENSORLG00020013512	Oryzias_latipes_ASM223471v1
ENSOMEP00000016999	ENSOMEG00000018669	Oryzias_melastigma
ENSLCAP00010006773	ENSLCAG00010003326	Lates_calcarifer
ENSSMAP00000011747	ENSSMAG00000007253	Scophthalmus_maximus	ENSSMAT00000011898
ENSBSLP00000005603	ENSBSLG00000003012	Betta_splendens
ENSMMOP00000004109	ENSMMOG00000003288	Mola_mola	ENSMMOT00000004185
ENSMZEP00005036167	ENSMZEG00005026987	Maylandia_zebra
ENSHBUP00000000100	ENSHBUG00000001253	Haplochromis_burtoni
ENSPLAP00000002876	ENSPLAG00000004254	Poecilia_latipinna
ENSPLAP00000008704	ENSPLAG00000011321	Poecilia_latipinna
ENSGAFP00000011206	ENSGAFG00000007601	Gambusia_affinis
ENSSPAP00000003476	ENSSPAG00000002679	Stegastes_partitus
ENSHCOP00000008001	ENSHCOG00000010173	Hippocampus_comes
ENSPMGP00000023560	ENSPMGG00000019052	Periophthalmus_magnuspinnatus
ENSHHUP00000008362	ENSHHUG00000005126	Hucho_hucho
ENSPKIP00000017391	ENSPKIG00000003327	Paramormyrops_kingsleyae
ENSCMIP00000024316	ENSCMIG00000010789	Callorhinchus_milii
