ENSPPAP00000036406	ENSPPAG00000040969	Pan_paniscus	ENSPPAT00000059298
ENSPPYP00000000278	ENSPPYG00000000266	Pongo_abelii	ENSPPYT00000000295
ENSCJAP00000006958	ENSCJAG00000003843	Callithrix_jacchus	ENSCJAT00000007355
ENSSBOP00000011618	ENSSBOG00000022625	Saimiri_boliviensis_boliviensis
ENSCCAP00000007052	ENSCCAG00000021262	Cebus_capucinus_imitator
ENSRROP00000003297	ENSRROG00000013086	Rhinopithecus_roxellana
ENSRBIP00000012486	ENSRBIG00000030198	Rhinopithecus_bieti
ENSCANP00000000356	ENSCANG00000001428	Colobus_angolensis_palliatus
ENSMMUP00000017890	ENSMMUG00000040888	Macaca_mulatta
ENSMNEP00000013559	ENSMNEG00000031021	Macaca_nemestrina
ENSMFAP00000045178	ENSMFAG00000000324	Macaca_fascicularis
ENSCATP00000046019	ENSCATG00000045356	Cercocebus_atys
ENSMLEP00000015778	ENSMLEG00000032080	Mandrillus_leucophaeus
ENSPANP00000042302	ENSPANG00000029394	Papio_anubis
ENSTGEP00000013646	ENSTGEG00000011076	Theropithecus_gelada
ENSPTRP00000054056	ENSPTRG00000041105	Pan_troglodytes
ENSPPAP00000001835	ENSPPAG00000008479	Pan_paniscus
ENSP00000421736	ENSG00000197721	Homo_sapiens
ENSGGOP00000003423	ENSGGOG00000003466	Gorilla_gorilla
ENSANAP00000008320	ENSANAG00000022192	Aotus_nancymaae
ENSCCAP00000031050	ENSCCAG00000033581	Cebus_capucinus_imitator
ENSMICP00000049242	ENSMICG00000045432	Microcebus_murinus
ENSMOCP00000021705	ENSMOCG00000018969	Microtus_ochrogaster
ENSMSIP00000018891	ENSMSIG00000016096	Mus_spicilegus
ENSSDAP00000016920	ENSSDAG00000015314	Spermophilus_dauricus
ENSSTOP00000023909	ENSSTOG00000021448	Ictidomys_tridecemlineatus
ENSPTIP00000024597	ENSPTIG00000020643	Panthera_tigris_altaica
