ENSXETP00000019225	ENSXETG00000001396	Xenopus_tropicalis
ENSAMXP00005006468	ENSAMXG00005003845	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSORLP00000000325	ENSORLG00000000265	Oryzias_latipes_ASM223467v1
ENSSDUP00000024707	ENSSDUG00000017950	Seriola_dumerili
ENSNBRP00000020569	ENSNBRG00000015826	Neolamprologus_brichardi
ENSAPOP00000019816	ENSAPOG00000023294	Acanthochromis_polyacanthus
ENSPREP00000006133	ENSPREG00000004277	Poecilia_reticulata
ENSLCRP00005049702	ENSLCRG00005018745	Larimichthys_crocea
ENSSPAP00000021825	ENSSPAG00000016488	Stegastes_partitus
ENSOMEP00000027453	ENSOMEG00000009929	Oryzias_melastigma
ENSACLP00000035116	ENSACLG00000023778	Astatotilapia_calliptera
ENSPFOP00000014304	ENSPFOG00000014276	Poecilia_formosa
ENSCGOP00000016219	ENSCGOG00000007804	Cottoperca_gobio
ENSATEP00000008107	ENSATEG00000005678	Anabas_testudineus
ENSORLP00015024370	ENSORLG00015000140	Oryzias_latipes_ASM223469v1
ENSGWIP00000053090	ENSGWIG00000025563	Gouania_willdenowi
ENSCVAP00000022069	ENSCVAG00000000894	Cyprinodon_variegatus
ENSLCAP00010033599	ENSLCAG00010015786	Lates_calcarifer
ENSDCDP00000039554	ENSDCDG00000026261	Denticeps_clupeoides	ENSDCDT00000050430
ENSMZEP00005029239	ENSMZEG00005021807	Maylandia_zebra
ENSPNYP00000009934	ENSPNYG00000007554	Pundamilia_nyererei
ENSCHAP00000006816	ENSCHAG00000004253	Clupea_harengus	ENSCHAT00000007708
ENSHHUP00000024900	ENSHHUG00000015664	Hucho_hucho
ENSGAFP00000009691	ENSGAFG00000006605	Gambusia_affinis
ENSFHEP00000004333	ENSFHEG00000005278	Fundulus_heteroclitus
ENSLACP00000022454	ENSLACG00000011314	Latimeria_chalumnae
ENSMMOP00000000650	ENSMMOG00000000560	Mola_mola
ENSAOCP00000007134	ENSAOCG00000010867	Amphiprion_ocellaris
ENSGACP00000001752	ENSGACG00000001350	Gasterosteus_aculeatus
ENSAPEP00000015983	ENSAPEG00000011386	Amphiprion_percula
ENSGACP00000019353	ENSGACG00000014658	Gasterosteus_aculeatus
ENSMALP00000001366	ENSMALG00000001036	Monopterus_albus
ENSLBEP00000010428	ENSLBEG00000008059	Labrus_bergylta
ENSSMAP00000020768	ENSSMAG00000012731	Scophthalmus_maximus
ENSSFOP00015030453	ENSSFOG00015019538	Scleropages_formosus
ENSCMIP00000034025	ENSCMIG00000014452	Callorhinchus_milii
ENSCSEP00000032614	ENSCSEG00000020923	Cynoglossus_semilaevis
ENSPMGP00000027602	ENSPMGG00000022269	Periophthalmus_magnuspinnatus
ENSPLAP00000004082	ENSPLAG00000005698	Poecilia_latipinna
ENSHCOP00000011965	ENSHCOG00000014916	Hippocampus_comes
ENSBSLP00000015989	ENSBSLG00000008454	Betta_splendens
ENSPNAP00000005073	ENSPNAG00000001717	Pygocentrus_nattereri
ENSPKIP00000027556	ENSPKIG00000009573	Paramormyrops_kingsleyae
ENSHBUP00000018051	ENSHBUG00000000603	Haplochromis_burtoni
ENSTNIP00000018700	ENSTNIG00000015626	Tetraodon_nigroviridis
ENSLOCP00000003629	ENSLOCG00000003066	Lepisosteus_oculatus
ENSTRUP00000041215	ENSTRUG00000016123	Takifugu_rubripes
ENSDARP00000121521	ENSDARG00000035579	Danio_rerio
ENSXCOP00000013767	ENSXCOG00000010419	Xiphophorus_couchianus
ENSEEEP00000048941	ENSEEEG00000023006	Electrophorus_electricus	ENSEEET00000049474
ENSMAMP00000005855	ENSMAMG00000003976	Mastacembelus_armatus
ENSSLDP00000019029	ENSSLDG00000014943	Seriola_lalandi_dorsalis
ENSCGOP00000026857	ENSCGOG00000012636	Cottoperca_gobio
ENSECRP00000032050	ENSECRG00000021713	Erpetoichthys_calabaricus
ENSKMAP00000002883	ENSKMAG00000002230	Kryptolebias_marmoratus
ENSGMOP00000006016	ENSGMOG00000005667	Gadus_morhua
ENSPMEP00000029369	ENSPMEG00000015062	Poecilia_mexicana
ENSXMAP00000002687	ENSXMAG00000002684	Xiphophorus_maculatus
ENSELUP00000004161	ENSELUG00000005333	Esox_lucius
ENSMALP00000009831	ENSMALG00000006999	Monopterus_albus
ENSIPUP00000010227	ENSIPUG00000006997	Ictalurus_punctatus	ENSIPUT00000010672
ENSAMXP00000012406	ENSAMXG00000012069	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000012406
ENSPRNP00000005881	ENSPRNG00000003536	Parambassis_ranga
ENSACIP00000003212	ENSACIG00000002567	Amphilophus_citrinellus
