ENSPSIP00000003743	ENSPSIG00000003549	Pelodiscus_sinensis
ENSKMAP00000028090	ENSKMAG00000020817	Kryptolebias_marmoratus
ENSSPUP00000005087	ENSSPUG00000003842	Sphenodon_punctatus	ENSSPUT00000005405
ENSPPYP00000021664	ENSPPYG00000019333	Pongo_abelii
ENSSPAP00000002539	ENSSPAG00000001960	Stegastes_partitus
ENSHBUP00000008607	ENSHBUG00000010183	Haplochromis_burtoni
ENSANAP00000015471	ENSANAG00000025583	Aotus_nancymaae
ENSMALP00000014891	ENSMALG00000010413	Monopterus_albus
ENSUMAP00000006195	ENSUMAG00000004888	Ursus_maritimus
ENSCVAP00000005043	ENSCVAG00000006415	Cyprinodon_variegatus
ENSPTEP00000028325	ENSPTEG00000027979	Piliocolobus_tephrosceles
ENSGAFP00000020542	ENSGAFG00000013846	Gambusia_affinis
ENSACAP00000019026	ENSACAG00000022596	Anolis_carolinensis	ENSACAT00000024082
ENSMFAP00000044524	ENSMFAG00000039578	Macaca_fascicularis
ENSUPAP00010015798	ENSUPAG00010012551	Urocitellus_parryii
ENSAPOP00000026848	ENSAPOG00000011043	Acanthochromis_polyacanthus
ENSACLP00000027307	ENSACLG00000018458	Astatotilapia_calliptera
ENSMUNP00000016202	ENSMUNG00000012468	Melopsittacus_undulatus
ENSSBOP00000022277	ENSSBOG00000027632	Saimiri_boliviensis_boliviensis
ENSMOCP00000015468	ENSMOCG00000014650	Microtus_ochrogaster
ENSDCDP00000014369	ENSDCDG00000007553	Denticeps_clupeoides
ENSUAMP00000021529	ENSUAMG00000016903	Ursus_americanus
ENSPSMP00000027158	ENSPSMG00000018977	Prolemur_simus
ENSORLP00000006702	ENSORLG00000005317	Oryzias_latipes_ASM223467v1
ENSPCAP00000005906	ENSPCAG00000006189	Procavia_capensis
ENSPRNP00000009207	ENSPRNG00000004905	Parambassis_ranga
ENSRNOP00000025382	ENSRNOG00000018651	Rattus_norvegicus
ENSSCAP00000005694	ENSSCAG00000004518	Serinus_canaria	ENSSCAT00000006514
ENSOGAP00000007356	ENSOGAG00000008213	Otolemur_garnettii
ENSMMMP00000023756	ENSMMMG00000020771	Marmota_marmota_marmota
ENSAMXP00000011615	ENSAMXG00000011291	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSLSDP00000024809	ENSLSDG00000017390	Lonchura_striata_domestica
ENSEASP00005029921	ENSEASG00005020228	Equus_asinus_asinus
ENSCHOP00000003594	ENSCHOG00000004050	Choloepus_hoffmanni
ENSTSYP00000032480	ENSTSYG00000028580	Carlito_syrichta
ENSPTIP00000006941	ENSPTIG00000008705	Panthera_tigris_altaica
MGP_SPRETEiJ_P0036276	MGP_SPRETEiJ_G0019483	Mus_spretus_strain_SPRET/EiJ
ENSORLP00015007197	ENSORLG00015008027	Oryzias_latipes_ASM223469v1
ENSCJAP00000027463	ENSCJAG00000014822	Callithrix_jacchus
ENSMICP00000021641	ENSMICG00000009600	Microcebus_murinus
ENSLOCP00000002749	ENSLOCG00000002341	Lepisosteus_oculatus
ENSCPOP00000018293	ENSCPOG00000019771	Cavia_porcellus
ENSGGOP00000007679	ENSGGOG00000007838	Gorilla_gorilla
ENSVURP00010025681	ENSVURG00010019665	Vombatus_ursinus
ENSCGRP00000022467	ENSCGRG00000016280	Cricetulus_griseus_CriGri_1.0
ENSPVIP00000018389	ENSPVIG00000014059	Pogona_vitticeps	ENSPVIT00000022859
ENSXETP00000048110	ENSXETG00000018280	Xenopus_tropicalis
ENSCPBP00000006533	ENSCPBG00000005173	Chrysemys_picta_bellii
ENSETEP00000006009	ENSETEG00000007401	Echinops_telfairi
MGP_CAROLIEiJ_P0034618	MGP_CAROLIEiJ_G0018603	Mus_caroli_strain_CAROLI_EIJ
ENSAOWP00000019495	ENSAOWG00000013201	Apteryx_owenii	ENSAOWT00000022091
ENSSTOP00000001752	ENSSTOG00000001961	Ictidomys_tridecemlineatus
ENSACAP00000000792	ENSACAG00000000770	Anolis_carolinensis	ENSACAT00000000817
ENSGWIP00000023654	ENSGWIG00000011498	Gouania_willdenowi
ENSPREP00000028393	ENSPREG00000019219	Poecilia_reticulata
ENSPNYP00000014851	ENSPNYG00000011207	Pundamilia_nyererei
ENSPLAP00000013797	ENSPLAG00000017354	Poecilia_latipinna
ENSODEP00000007558	ENSODEG00000005635	Octodon_degus
ENSECAP00000031612	ENSECAG00000019812	Equus_caballus
ENSMEUP00000008235	ENSMEUG00000009001	Notamacropus_eugenii
ENSTSYP00000000921	ENSTSYG00000000995	Carlito_syrichta
ENSDORP00000023721	ENSDORG00000011166	Dipodomys_ordii
ENSMUGP00000009063	ENSMUGG00000008061	Meriones_unguiculatus
ENSGACP00000010138	ENSGACG00000007638	Gasterosteus_aculeatus
ENSPMAP00000000305	ENSPMAG00000000269	Petromyzon_marinus
ENSNVIP00000017835	ENSNVIG00000013815	Neovison_vison
ENSAPEP00000004190	ENSAPEG00000003001	Amphiprion_percula
ENSFHEP00000004757	ENSFHEG00000005714	Fundulus_heteroclitus
ENSSSCP00000011685	ENSSSCG00000010957	Sus_scrofa_strain_reference
ENSIPUP00000013410	ENSIPUG00000009112	Ictalurus_punctatus
ENSLCRP00005030695	ENSLCRG00005011261	Larimichthys_crocea
ENSEEEP00000003614	ENSEEEG00000001795	Electrophorus_electricus
