ENSCAFP00020009375	ENSCAFG00020007595	Canis_lupus_dingo
ENSVVUP00000002393	ENSVVUG00000001895	Vulpes_vulpes
ENSUAMP00000021520	ENSUAMG00000016898	Ursus_americanus
ENSPTIP00000017379	ENSPTIG00000015840	Panthera_tigris_altaica
ENSBTAP00000066555	ENSBTAG00000050454	Bos_taurus
ENSCHIP00000031746	ENSCHIG00000025977	Capra_hircus
ENSEASP00005020590	ENSEASG00005014173	Equus_asinus_asinus
ENSCCNP00000018464	ENSCCNG00000018720	Castor_canadensis
ENSMUGP00000016044	ENSMUGG00000013782	Meriones_unguiculatus
ENSSHAP00000020728	ENSSHAG00000017579	Sarcophilus_harrisii
ENSGAGP00000002748	ENSGAGG00000002200	Gopherus_agassizii
ENSCABP00000011172	ENSCABG00000008351	Chelonoidis_abingdonii
ENSCPBP00000010580	ENSCPBG00000008115	Chrysemys_picta_bellii
ENSCPRP00005017629	ENSCPRG00005012278	Crocodylus_porosus
ENSSMRP00000007519	ENSSMRG00000006039	Salvator_merianae
ENSNSUP00000002351	ENSNSUG00000001982	Notechis_scutatus
ENSSPUP00000024197	ENSSPUG00000018544	Sphenodon_punctatus
ENSLCAP00010014966	ENSLCAG00010007093	Lates_calcarifer
ENSCSEP00000020870	ENSCSEG00000013326	Cynoglossus_semilaevis
ENSMZEP00005007705	ENSMZEG00005005883	Maylandia_zebra
ENSHHUP00000083433	ENSHHUG00000048419	Hucho_hucho
ENSAMXP00000027871	ENSAMXG00000030183	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSMZEP00005004357	ENSMZEG00005003392	Maylandia_zebra
ENSPLAP00000030332	ENSPLAG00000021315	Poecilia_latipinna
ENSSLDP00000021266	ENSSLDG00000016622	Seriola_lalandi_dorsalis
ENSPMGP00000015759	ENSPMGG00000012909	Periophthalmus_magnuspinnatus
ENSHHUP00000082269	ENSHHUG00000047807	Hucho_hucho
ENSCMIP00000044278	ENSCMIG00000018336	Callorhinchus_milii
