ENSSTOP00000025643	ENSSTOG00000001826	Ictidomys_tridecemlineatus
ENSAOWP00000004653	ENSAOWG00000003247	Apteryx_owenii
ENSCSAP00000017319	ENSCSAG00000000687	Chlorocebus_sabaeus
ENSTTRP00000016604	ENSTTRG00000021455	Tursiops_truncatus
ENSHGLP00100001942	ENSHGLG00100001517	Heterocephalus_glaber_HetGla_1.0
ENSPANP00000011510	ENSPANG00000018383	Papio_anubis
ENSVVUP00000005684	ENSVVUG00000004443	Vulpes_vulpes
ENSEASP00005021185	ENSEASG00005014517	Equus_asinus_asinus
ENSCAPP00000014090	ENSCAPG00000014547	Cavia_aperea
ENSRROP00000025556	ENSRROG00000036525	Rhinopithecus_roxellana
ENSSARP00000003233	ENSSARG00000003549	Sorex_araneus
ENSUAMP00000016081	ENSUAMG00000012827	Ursus_americanus
ENSDNVP00000013762	ENSDNVG00000009708	Dromaius_novaehollandiae
ENSNSUP00000000097	ENSNSUG00000000123	Notechis_scutatus
ENSMODP00000060408	ENSMODG00000006555	Monodelphis_domestica
ENSGAGP00000002387	ENSGAGG00000001938	Gopherus_agassizii
ENSCJPP00005011853	ENSCJPG00005010128	Coturnix_japonica	ENSCJPT00005017257
ENSPCAP00000001569	ENSPCAG00000001686	Procavia_capensis
ENSCHIP00000020451	ENSCHIG00000019097	Capra_hircus
ENSCCNP00000010412	ENSCCNG00000010910	Castor_canadensis
ENSSSCP00000055316	ENSSSCG00000003354	Sus_scrofa_strain_reference
ENSPTRP00000041901	ENSPTRG00000000028	Pan_troglodytes
ENSNMEP00000007135	ENSNMEG00000007196	Numida_meleagris	ENSNMET00000011861
ENSOANP00000027679	ENSOANG00000021720	Ornithorhynchus_anatinus
ENSLSDP00000007437	ENSLSDG00000005553	Lonchura_striata_domestica
ENSMLEP00000021665	ENSMLEG00000035035	Mandrillus_leucophaeus
ENSHGLP00000019117	ENSHGLG00000013709	Heterocephalus_glaber_HetGla_female_1.0
ENSCPOP00000007205	ENSCPOG00000008005	Cavia_porcellus
ENSMUNP00000020651	ENSMUNG00000015702	Melopsittacus_undulatus
ENSVPAP00000011787	ENSVPAG00000015448	Vicugna_pacos
ENSCABP00000000565	ENSCABG00000000510	Chelonoidis_abingdonii
ENSCPGP00000017506	ENSCPGG00000012281	Calidris_pygmaea
ENSSHAP00000009307	ENSSHAG00000008053	Sarcophilus_harrisii
ENSCGRP00000019080	ENSCGRG00000013897	Cricetulus_griseus_CriGri_1.0
ENSMPUP00000014252	ENSMPUG00000014361	Mustela_putorius_furo
ENSOGAP00000000421	ENSOGAG00000000469	Otolemur_garnettii
ENSGGOP00000008051	ENSGGOG00000008235	Gorilla_gorilla
ENSCJAP00000075905	ENSCJAG00000062748	Callithrix_jacchus
ENSVURP00010030882	ENSVURG00010023621	Vombatus_ursinus
ENSPANP00000029020	ENSPANG00000011414	Papio_anubis
ENSMFAP00000010819	ENSMFAG00000009740	Macaca_fascicularis
ENSMVIP00005015198	ENSMVIG00005010947	Manacus_vitellinus
ENSFCAP00000052338	ENSFCAG00000036684	Felis_catus
ENSMUGP00000003445	ENSMUGG00000003202	Meriones_unguiculatus
ENSPPYP00000023893	ENSPPYG00000002007	Pongo_abelii
ENSMVIP00005015205	ENSMVIG00005010953	Manacus_vitellinus
ENSDNOP00000014528	ENSDNOG00000018721	Dasypus_novemcinctus
ENSBIXP00000013935	ENSBIXG00000006992	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSSMRP00000011597	ENSSMRG00000009118	Salvator_merianae
ENSCHOP00000007548	ENSCHOG00000008535	Choloepus_hoffmanni
ENSHGLP00100018696	ENSHGLG00100013789	Heterocephalus_glaber_HetGla_1.0
ENSFALP00000009726	ENSFALG00000009319	Ficedula_albicollis
ENSMGAP00000002423	ENSMGAG00000002784	Meleagris_gallopavo
ENSMSIP00000017671	ENSMSIG00000015051	Mus_spicilegus
ENSSBOP00000005691	ENSSBOG00000019730	Saimiri_boliviensis_boliviensis
ENSNPEP00000008816	ENSNPEG00000006630	Nothoprocta_perdicaria
ENSAMEP00000014676	ENSAMEG00000013889	Ailuropoda_melanoleuca
ENSOPRP00000007685	ENSOPRG00000008401	Ochotona_princeps
ENSTSYP00000018211	ENSTSYG00000019454	Carlito_syrichta
ENSSPUP00000022011	ENSSPUG00000016884	Sphenodon_punctatus
ENSANAP00000029235	ENSANAG00000032407	Aotus_nancymaae
ENSCATP00000013180	ENSCATG00000030730	Cercocebus_atys
ENSBTAP00000006407	ENSBTAG00000004873	Bos_taurus
ENSMMUP00000049490	ENSMMUG00000006904	Macaca_mulatta
ENSDORP00000015831	ENSDORG00000019842	Dipodomys_ordii
ENSCLAP00000016489	ENSCLAG00000011337	Chinchilla_lanigera
ENSPANP00000019315	ENSPANG00000024923	Papio_anubis
ENSBMUP00000032271	ENSBMUG00000024071	Bos_mutus
MGP_PahariEiJ_P0081457	MGP_PahariEiJ_G0029253	Mus_pahari_strain_PAHARI_EIJ
ENSSCAP00000024166	ENSSCAG00000017297	Serinus_canaria
ENSTBEP00000007207	ENSTBEG00000008313	Tupaia_belangeri
ENSCGRP00001017628	ENSCGRG00001017635	Cricetulus_griseus_CHOK1GS_HDv1
ENSPVIP00000031117	ENSPVIG00000022876	Pogona_vitticeps
ENSECAP00000016177	ENSECAG00000018423	Equus_caballus
ENSMNEP00000035516	ENSMNEG00000040913	Macaca_nemestrina
ENSJJAP00000017337	ENSJJAG00000018923	Jaculus_jaculus
ENSPPAP00000034914	ENSPPAG00000040287	Pan_paniscus
MGP_CAROLIEiJ_P0066355	MGP_CAROLIEiJ_G0026905	Mus_caroli_strain_CAROLI_EIJ
ENSRNOP00000025531	ENSRNOG00000018691	Rattus_norvegicus
ENSMMUP00000074704	ENSMMUG00000060105	Macaca_mulatta
ENSPTEP00000014697	ENSPTEG00000016384	Piliocolobus_tephrosceles
ENSNVIP00000006966	ENSNVIG00000005514	Neovison_vison
ENSPCOP00000001045	ENSPCOG00000003325	Propithecus_coquereli
ENSCAFP00020014221	ENSCAFG00020011506	Canis_lupus_dingo
ENSNGAP00000021712	ENSNGAG00000020816	Nannospalax_galili
ENSPSMP00000018814	ENSPSMG00000013293	Prolemur_simus
ENSPSIP00000004191	ENSPSIG00000003952	Pelodiscus_sinensis
ENSXETP00000007931	ENSXETG00000007467	Xenopus_tropicalis
ENSMODP00000027785	ENSMODG00000015085	Monodelphis_domestica
ENSARWP00000006138	ENSARWG00000004366	Apteryx_rowi
ENSHGLP00000024609	ENSHGLG00000017546	Heterocephalus_glaber_HetGla_female_1.0
ENSACAP00000008930	ENSACAG00000009060	Anolis_carolinensis
ENSOGAP00000019751	ENSOGAG00000031362	Otolemur_garnettii
ENSMEUP00000002149	ENSMEUG00000002352	Notamacropus_eugenii
ENSNSUP00000000101	ENSNSUG00000000135	Notechis_scutatus
ENSPVAP00000017003	ENSPVAG00000024121	Pteropus_vampyrus
ENSZALP00000007068	ENSZALG00000006334	Zonotrichia_albicollis
ENSPTIP00000024245	ENSPTIG00000020409	Panthera_tigris_altaica
ENSPPRP00000018023	ENSPPRG00000009798	Panthera_pardus
ENSJHYP00000013858	ENSJHYG00000010727	Junco_hyemalis
ENSLAFP00000016946	ENSLAFG00000022021	Loxodonta_africana
ENSMOCP00000025360	ENSMOCG00000021504	Microtus_ochrogaster
ENSJJAP00000004381	ENSJJAG00000009122	Jaculus_jaculus
ENSTGEP00000013943	ENSTGEG00000011316	Theropithecus_gelada
ENSMMMP00000022947	ENSMMMG00000020112	Marmota_marmota_marmota
ENSOARP00000003896	ENSOARG00000003648	Ovis_aries
ENSSDAP00000003664	ENSSDAG00000003479	Spermophilus_dauricus
ENSAHAP00000007391	ENSAHAG00000005515	Apteryx_haastii
ENSMICP00000012985	ENSMICG00000014237	Microcebus_murinus
ENSCPUP00000014836	ENSCPUG00000010377	Calidris_pugnax
ENSAPLP00000006811	ENSAPLG00000007159	Anas_platyrhynchos_platyrhynchos
ENSSCAP00000024164	ENSSCAG00000017294	Serinus_canaria
MGP_SPRETEiJ_P0068947	MGP_SPRETEiJ_G0027899	Mus_spretus_strain_SPRET/EiJ
ENSCPUP00000014832	ENSCPUG00000010375	Calidris_pugnax
ENSUAMP00000016079	ENSUAMG00000012826	Ursus_americanus
ENSPEMP00000010741	ENSPEMG00000011619	Peromyscus_maniculatus_bairdii
ENSLACP00000021514	ENSLACG00000018904	Latimeria_chalumnae
ENSCANP00000032930	ENSCANG00000040135	Colobus_angolensis_palliatus
ENSPTIP00000024488	ENSPTIG00000020568	Panthera_tigris_altaica
ENSPCIP00000009483	ENSPCIG00000007749	Phascolarctos_cinereus
ENSTGEP00000013216	ENSTGEG00000010750	Theropithecus_gelada
ENSOCUP00000042595	ENSOCUG00000017589	Oryctolagus_cuniculus
ENSCMIP00000016821	ENSCMIG00000008076	Callorhinchus_milii
ENSGMOP00000008678	ENSGMOG00000008097	Gadus_morhua
ENSCCAP00000009121	ENSCCAG00000022310	Cebus_capucinus_imitator
ENSMAUP00000004842	ENSMAUG00000006536	Mesocricetus_auratus
ENSLCOP00000003180	ENSLCOG00000002411	Lepidothrix_coronata
ENSLCOP00000003182	ENSLCOG00000002412	Lepidothrix_coronata
ENSCPBP00000032661	ENSCPBG00000022903	Chrysemys_picta_bellii
ENSCPRP00005000846	ENSCPRG00005000584	Crocodylus_porosus
ENSUPAP00010020677	ENSUPAG00010016359	Urocitellus_parryii
ENSCAFP00000031653	ENSCAFG00000019264	Canis_lupus_familiaris
ENSNLEP00000000512	ENSNLEG00000000437	Nomascus_leucogenys
ENSBIXP00005008935	ENSBIXG00005013985	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCGRP00015019518	ENSCGRG00015015001	Cricetulus_griseus_CriGri-PICR
ENSRBIP00000011268	ENSRBIG00000029507	Rhinopithecus_bieti
ENSCJAP00000020398	ENSCJAG00000011043	Callithrix_jacchus
ENSTGUP00000003219	ENSTGUG00000003114	Taeniopygia_guttata
ENSBBBP00000022724	ENSBBBG00000016799	Bison_bison_bison
ENSFDAP00000009122	ENSFDAG00000017198	Fukomys_damarensis
ENSCABP00000000575	ENSCABG00000000516	Chelonoidis_abingdonii
ENSMLUP00000003922	ENSMLUG00000004307	Myotis_lucifugus
ENSABRP00000007635	ENSABRG00000007004	Anser_brachyrhynchus	ENSABRT00000011000
ENSODEP00000014029	ENSODEG00000010368	Octodon_degus
ENSP00000383611	ENSG00000221978	Homo_sapiens
ENSGALP00000002355	ENSGALG00000001551	Gallus_gallus	ENSGALT00000002357
ENSUMAP00000002166	ENSUMAG00000001941	Ursus_maritimus
ENSMUSP00000030944	ENSMUSG00000029068	Mus_musculus_strain_reference_(CL57BL6)
ENSCCEP00000020684	ENSCCEG00000018790	Cyanistes_caeruleus
ENSCCEP00000020683	ENSCCEG00000018789	Cyanistes_caeruleus
ENSPMJP00000018785	ENSPMJG00000014089	Parus_major
ENSODEP00000011877	ENSODEG00000008816	Octodon_degus
ENSLSDP00000002397	ENSLSDG00000001926	Lonchura_striata_domestica
