ENSBIXP00000020412	ENSBIXG00000023720	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSETEP00000009601	ENSETEG00000011835	Echinops_telfairi
ENSGMOP00000000900	ENSGMOG00000000891	Gadus_morhua
ENSNLEP00000002161	ENSNLEG00000001800	Nomascus_leucogenys
ENSCJPP00005018391	ENSCJPG00005014979	Coturnix_japonica
ENSUMAP00000013111	ENSUMAG00000009694	Ursus_maritimus
ENSUPAP00010016400	ENSUPAG00010013083	Urocitellus_parryii
ENSELUP00000040015	ENSELUG00000020380	Esox_lucius
ENSARWP00000001691	ENSARWG00000001343	Apteryx_rowi
ENSCGRP00001016715	ENSCGRG00001016968	Cricetulus_griseus_CHOK1GS_HDv1
ENSAMEP00000015425	ENSAMEG00000014642	Ailuropoda_melanoleuca
ENSCAFP00000024448	ENSCAFG00000016620	Canis_lupus_familiaris
ENSOARP00000004591	ENSOARG00000004290	Ovis_aries
ENSPMJP00000020175	ENSPMJG00000015035	Parus_major
ENSECAP00000010798	ENSECAG00000013051	Equus_caballus
ENSJHYP00000003532	ENSJHYG00000002906	Junco_hyemalis
ENSHGLP00000025412	ENSHGLG00000018105	Heterocephalus_glaber_HetGla_female_1.0
ENSOPRP00000005493	ENSOPRG00000005991	Ochotona_princeps
ENSCPUP00000010813	ENSCPUG00000007678	Calidris_pugnax
ENSPSMP00000020162	ENSPSMG00000014242	Prolemur_simus
ENSNBRP00000000826	ENSNBRG00000000737	Neolamprologus_brichardi
ENSCPOP00000029274	ENSCPOG00000023967	Cavia_porcellus
ENSCPRP00005026237	ENSCPRG00005018208	Crocodylus_porosus
ENSPEMP00000002034	ENSPEMG00000001913	Peromyscus_maniculatus_bairdii
ENSZALP00000007704	ENSZALG00000006815	Zonotrichia_albicollis
ENSUPAP00010001559	ENSUPAG00010001337	Urocitellus_parryii
ENSPRNP00000004998	ENSPRNG00000002866	Parambassis_ranga
MGP_SPRETEiJ_P0034202	MGP_SPRETEiJ_G0018752	Mus_spretus_strain_SPRET/EiJ
ENSPCOP00000028411	ENSPCOG00000026833	Propithecus_coquereli
MGP_SPRETEiJ_P0034214	MGP_SPRETEiJ_G0018754	Mus_spretus_strain_SPRET/EiJ
ENSAMXP00000036194	ENSAMXG00000041267	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPANP00000017181	ENSPANG00000010342	Papio_anubis
ENSMUGP00000029697	ENSMUGG00000024660	Meriones_unguiculatus
ENSCABP00000011884	ENSCABG00000008881	Chelonoidis_abingdonii
ENSHGLP00100002112	ENSHGLG00100001649	Heterocephalus_glaber_HetGla_1.0
ENSPMEP00000014012	ENSPMEG00000016371	Poecilia_mexicana
ENSGAFP00000027011	ENSGAFG00000018243	Gambusia_affinis
ENSTBEP00000003083	ENSTBEG00000003567	Tupaia_belangeri
ENSNMEP00000023585	ENSNMEG00000020103	Numida_meleagris
ENSCHOP00000004624	ENSCHOG00000005225	Choloepus_hoffmanni
ENSCAPP00000013108	ENSCAPG00000013812	Cavia_aperea
ENSSDAP00000009479	ENSSDAG00000008590	Spermophilus_dauricus
ENSCHAP00000013312	ENSCHAG00000007322	Clupea_harengus
ENSSSCP00000020070	ENSSSCG00000026389	Sus_scrofa_strain_reference
ENSAMXP00005048664	ENSAMXG00005022254	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSATEP00000000231	ENSATEG00000000214	Anabas_testudineus
ENSLAFP00000013776	ENSLAFG00000016720	Loxodonta_africana
ENSTNIP00000001364	ENSTNIG00000000429	Tetraodon_nigroviridis
ENSTRUP00000050621	ENSTRUG00000025531	Takifugu_rubripes
ENSMUSP00000129224	ENSMUSG00000090935	Mus_musculus_strain_reference_(CL57BL6)
ENSBTAP00000020908	ENSBTAG00000007586	Bos_taurus
ENSVURP00010014537	ENSVURG00010011154	Vombatus_ursinus
ENSAPLP00000024158	ENSAPLG00000015990	Anas_platyrhynchos_platyrhynchos
ENSMZEP00005013869	ENSMZEG00005010455	Maylandia_zebra
ENSMFAP00000003290	ENSMFAG00000001417	Macaca_fascicularis
ENSPFOP00000017208	ENSPFOG00000017143	Poecilia_formosa
ENSPVAP00000011820	ENSPVAG00000012538	Pteropus_vampyrus
ENSSMRP00000012522	ENSSMRG00000009769	Salvator_merianae
ENSRNOP00000009119	ENSRNOG00000006399	Rattus_norvegicus
ENSFDAP00000009770	ENSFDAG00000017695	Fukomys_damarensis
ENSPPAP00000000415	ENSPPAG00000001578	Pan_paniscus
ENSSMAP00000017885	ENSSMAG00000010972	Scophthalmus_maximus
ENSPEMP00000001562	ENSPEMG00000001343	Peromyscus_maniculatus_bairdii
ENSORLP00020002568	ENSORLG00020003326	Oryzias_latipes_ASM223471v1
ENSCGRP00015037582	ENSCGRG00015028162	Cricetulus_griseus_CriGri-PICR
ENSGALP00000043881	ENSGALG00000035537	Gallus_gallus
ENSMMOP00000012757	ENSMMOG00000009801	Mola_mola
ENSFALP00000005135	ENSFALG00000004932	Ficedula_albicollis
ENSSDAP00000021847	ENSSDAG00000019866	Spermophilus_dauricus
MGP_PahariEiJ_P0082815	MGP_PahariEiJ_G0029666	Mus_pahari_strain_PAHARI_EIJ
ENSTTRP00000011958	ENSTTRG00000012602	Tursiops_truncatus
ENSHHUP00000049732	ENSHHUG00000030068	Hucho_hucho
ENSFHEP00000003076	ENSFHEG00000003908	Fundulus_heteroclitus
ENSDCDP00000005669	ENSDCDG00000002748	Denticeps_clupeoides
ENSSHAP00000022384	ENSSHAG00000018947	Sarcophilus_harrisii
ENSDORP00000009821	ENSDORG00000010450	Dipodomys_ordii
ENSJJAP00000006368	ENSJJAG00000011059	Jaculus_jaculus
ENSSPUP00000003357	ENSSPUG00000002574	Sphenodon_punctatus
ENSTGUP00000011730	ENSTGUG00000011384	Taeniopygia_guttata
ENSSLDP00000005154	ENSSLDG00000004112	Seriola_lalandi_dorsalis
ENSLCAP00010050502	ENSLCAG00010023561	Lates_calcarifer
